gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912539010	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000691986	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Mitrephora	Mitrephora pictiflora		SPECIES	Mitrephora pictiflora Elmer	Mitrephora pictiflora Elmer	Elmer	PH	Cabalian, Leyte		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	10.28	125.22	0.2										3155066	3155066	PRESERVED_SPECIMEN	K	Herbarium	K000691986	41501			CC_BY_4_0		Ramos, M.			2023-01-24T23:55:41.215Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
912538968	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000691920	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Meiogyne	Meiogyne mindorensis		SPECIES	Oncodostigma mindorense (Merr.) Bân	Oncodostigma mindorense (Merr.) Bân	(Merr.) Bân	PH	Province of Laguna, Luzon		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	14.17	121.33	0.2										3158398	3158397	PRESERVED_SPECIMEN	K	Herbarium	K000691920	25388			CC_BY_4_0		Mabesa, C.			2023-01-24T23:59:11.290Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
912538929	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000691918	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Meiogyne	Meiogyne mindorensis		SPECIES	Oncodostigma mindorense (Merr.) Bân	Oncodostigma mindorense (Merr.) Bân	(Merr.) Bân	PH	Lamao R., Mt. Mariveles, prov. Bataan Central Luzon		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	14.53	120.48	0.2		300.0				1904-01-24T00:00:00	24	1	1904	3158398	3158397	PRESERVED_SPECIMEN	K	Herbarium	K000691918	512			CC_BY_4_0		Williams, R.S.			2023-01-25T00:06:47.638Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
912538785	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000691758	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Friesodielsia	Friesodielsia auriculata		SPECIES	Friesodielsia auriculata (Elmer) Steenis	Friesodielsia auriculata (Elmer) Steenis	(Elmer) Steenis	PH	Bohol		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	9.83	124.17	0.2										3156791	3156791	PRESERVED_SPECIMEN	K	Herbarium	K000691758	43245			CC_BY_4_0		Ramos, M.			2023-01-25T00:06:47.602Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
912464933	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000574845	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Orophea	Orophea cumingiana		SPECIES	Orophea cumingiana S.Vidal	Orophea cumingiana S.Vidal	S.Vidal	PH	Prov Benguet. Kias  Luzon		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	16.33	120.57	0.2										3157938	3157938	PRESERVED_SPECIMEN	K	Herbarium	K000574845	6434			CC_BY_4_0		Elmer, A.D.E.			2023-01-24T23:55:08.458Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
912464917	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000574830	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Pseuduvaria	Pseuduvaria luzoniensis		SPECIES	Orophea luzoniensis Merr.	Orophea luzoniensis Merr.	Merr.	PH	Bohol		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	9.83	124.17	0.2										3648661	3648534	PRESERVED_SPECIMEN	K	Herbarium	K000574830	43211			CC_BY_4_0		Ramos, M.			2023-01-25T00:00:39.298Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
724023387	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00625174	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae				FAMILY	Annonaceae	Annonaceae		PH	Sabang, jungle trail between CPS and underground river	Palawan	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	10.198056	118.918056			50.0	50.0			2012-05-29T00:00:00	29	5	2012	9291		PRESERVED_SPECIMEN	E	E	E00625174	CP317			CC_BY_NC_4_0		Puglisi, Carmen			2023-01-24T23:37:36.068Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
723902344	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00625154	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae				FAMILY	Annonaceae	Annonaceae		PH	Underground river inflow	Palawan	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	10.198056	118.918056			20.0	0.0			2012-05-30T00:00:00	30	5	2012	9291		PRESERVED_SPECIMEN	E	E	E00625154	CP323			CC_BY_NC_4_0		Puglisi, Carmen			2023-01-24T23:37:36.048Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
723647027	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00625168	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae				FAMILY	Annonaceae	Annonaceae		PH	Mt. St. Paul	Palawan	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	10.16	118.91			450.0	150.0			2012-05-03T00:00:00	3	5	2012	9291		PRESERVED_SPECIMEN	E	E	E00625168	MH1712			CC_BY_NC_4_0		Hughes, Mark			2023-01-24T23:40:54.909Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
723622931	bf2a4bf0-5f31-11de-b67e-b8a03c50a862	http://data.rbge.org.uk/herb/E00625165	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae				FAMILY	Annonaceae	Annonaceae		PH	Mt. St. Paul	Palawan	PRESENT		98e934b0-5f31-11de-b67e-b8a03c50a862	10.16	118.91			450.0	150.0			2012-05-03T00:00:00	3	5	2012	9291		PRESERVED_SPECIMEN	E	E	E00625165	MH1730			CC_BY_NC_4_0		Hughes, Mark			2023-01-24T23:37:36.132Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
