gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
912404433	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000485527	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia lianarum		SPECIES	Hornschuchia lianarum D.M.Johnson & N.A.Murray	Hornschuchia lianarum D.M.Johnson	D.M.Johnson	BR	Município de Barra do Choça. Estrada que liga a Rod. BR-116 a São Sebastião, 4 km a W da cidade.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862									1978-11-21T00:00:00	21	11	1978	5407564	5407564	PRESERVED_SPECIMEN	K	Herbarium	K000485527	11254	Johnson, D.M.		CC_BY_4_0		Mori, S.A.; Santos, T.S.; Thompson, C.B.	ISOTYPE		2023-01-24T23:54:43.546Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
912404393	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000485526	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia citriodora		SPECIES	Hornschuchia citriodora D.M.Johnson	Hornschuchia citriodora D.M.Johnson	D.M.Johnson	BR	Espírito Santo. Guarapari: rodovia do Sol, estrada que liga a BR-101 à Praia Setibana ES-060 a 6 km da BR-101.		PRESENT		061b4f20-f241-11da-a328-b8a03c50a862	-20.55	-40.45	0.2						1988-02-23T00:00:00	23	2	1988	5407561	5407561	PRESERVED_SPECIMEN	K	Herbarium	K000485526	2435	Johnson, D.M.		CC_BY_4_0		Pirani, J.R.; Mello-Silva, R.; Thomas, W.W.; Fernandes, J.B.			2023-01-25T00:00:21.632Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
864898672	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B100243155	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees		BR	Brazil: Vittoria, Bahia. Leg.: Sellow,F. s.n.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862													5407556	5407556	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 10 0243155				CC0_1_0		Sellow,F.			2023-01-24T22:37:43.414Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY
735468917	f4419c70-614f-11e2-897a-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees					PRESENT		021121c0-f040-11d8-b22f-b8a03c50a862													5407556	5407556	PRESERVED_SPECIMEN	ULM	Herbarium University Ulm	35215		Maas, P.J.M.		CC_BY_4_0					2023-01-25T12:41:31.785Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
735468911	f4419c70-614f-11e2-897a-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia obliqua		SPECIES	Hornschuchia obliqua Maas & van Setten	Hornschuchia obliqua Maas & Setten					PRESENT		021121c0-f040-11d8-b22f-b8a03c50a862													5407557	5407557	PRESERVED_SPECIMEN	ULM	Herbarium University Ulm	11094		Johnson D.M.		CC_BY_4_0					2023-01-25T12:41:40.989Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
735468910	f4419c70-614f-11e2-897a-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia polyantha		SPECIES	Hornschuchia polyantha Maas	Hornschuchia polyantha Maas					PRESENT		021121c0-f040-11d8-b22f-b8a03c50a862													5407559	5407559	PRESERVED_SPECIMEN	ULM	Herbarium University Ulm	11092		Johnson D.M.		CC_BY_4_0					2023-01-25T12:41:40.979Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
735468909	f4419c70-614f-11e2-897a-00145eb45e9a		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia leptandra		SPECIES	Hornschuchia leptandra D.M.Johnson	Hornschuchia leptandra D.M.Johnson					PRESENT		021121c0-f040-11d8-b22f-b8a03c50a862													5407563	5407563	PRESERVED_SPECIMEN	ULM	Herbarium University Ulm	11091		Johnson D.M.		CC_BY_4_0					2023-01-25T12:41:40.979Z		COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
439286978	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p032535	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia alba		SPECIES	Hornschuchia alba (A.St.-Hil.) R.E.Fr.	Hornschuchia alba (Saint-Hilaire) R.E.Fr.	(Saint-Hilaire) R.E.Fr.	BR			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407558	5407558	PRESERVED_SPECIMEN	MNHN	P	P032535		Johnson		CC_BY_4_0		Saint-Hilaire, A. de			2023-01-26T07:54:51.827Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_FUZZY
439257789	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01954536	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia obliqua		SPECIES	Hornschuchia obliqua Maas & van Setten	Hornschuchia obliqua Maas & Setten	Maas & Setten				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407557	5407557	PRESERVED_SPECIMEN	MNHN	P	P01954536				CC_BY_4_0					2023-01-26T07:55:15.250Z	StillImage	COLLECTION_MATCH_FUZZY
439022956	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01954539	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Hornschuchia	Hornschuchia bryotrophe		SPECIES	Hornschuchia bryotrophe Nees	Hornschuchia bryotrophe Nees	Nees				PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													5407556	5407556	PRESERVED_SPECIMEN	MNHN	P	P01954539				CC_BY_4_0					2023-01-26T07:55:21.215Z	StillImage	COLLECTION_MATCH_FUZZY
