specimen - institute;specimen - collection;specimen - code;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - cultivated;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;collector - collector;collector - other_collectors;collector - not_sure;collector - no_info;collect_number - number;collect_number - note_sure;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;geo - position;geo - precision;geo - not_sure;geo - no_info;owner - owner;owner - no_info;owner - not_sure;flower - flower;flower - info_color;flower - color_flowers;flower - not_sure;fruit - fruit;fruit - info_color;fruit - color_fruits;fruit - not_sure;Date deter - collect_date;Date deter - pas d'information;altitude - altitude;altitude - not_sure;altitude - no_info
MNHN;P;P00253435;Annonaceae;Goniothalamus;tamirensis;;Cambodge;null;;;false;Kampot;;;false;24/05/1870 - 24/05/1870;;null;Pierre, L.;;;null;744;;null;Pierre, L.;;null;in montibus Tamire in prov. Tpong Cambodiae;;false;10.7048 , 104.0109;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00253436;Annonaceae;Goniothalamus;tamirensis;;Cambodge;null;;;false;Kampong Speu;;;false;01/04/1870 - 30/04/1870;;null;Pierre, L.;;;null;744 b;;null;;;true;in montibus Aral ? in prov. Samrong tong, Cambodiae;;false;12.0325 , 104.171;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00253437;Annonaceae;Goniothalamus;tamirensis;;Cambodge;false;;;;Kampot;;;;01/07/1874 - 31/07/1874;;false;Pierre, L.;;;false;744 b;;false;;;true;basi montis Cam chay Cambodiae prope Kamput;;;10.97267 , 103.97078;;;;;;;"""Oui""";"""Non""";;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P00253438;Annonaceae;Goniothalamus;touranensis;;Viet Nam;false;;;;Đà Nẵng;;;;04/06/1927 - 13/06/1927;;false;Clemens, J.;Clemens, M.S.;;false;3390;;false;Saunders, R.M.K.;;false;Tourane, Annam, Indo China.;;;16.067777777777778 , 108.22083333333333;;;;;;;"""Oui""";"""Oui""";dull yellow / jaune terne;;"""Non""";;;;01/06/2003 - 30/06/2003;false;;;true
MNHN;P;P00253439;Annonaceae;Goniothalamus;touranensis;;Viet Nam;false;;;;Đà Nẵng;;;;08/07/1923 - 08/07/1923;;false;Poilane;;;false;6924;;false;Saunders, R.M.K.;;false;Annam : Ba na près Tourane. Forêt 1500 m alt.;;;15.998 , 107.989;;;;;;;"""Oui""";"""Oui""";vert;;"""Non""";;;;01/06/2003 - 30/06/2003;false;1500;;false
MNHN;P;P00260000;Annonaceae;Uvaria;ovalifolia;;Indonésie;false;;;;East Java;;;;21/02/1845 - 21/02/1845;;false;Zollinger;;;false;2700;;false;Zollinger;;false;Planta Javanica. ad rupes ins. Nusa Baran;;;-8.4766 , 113.339;;;;;;;"""Oui""";"""Oui""";violet;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P00260001;Annonaceae;Uvaria;musaria;;Indonésie;false;;;;Maluku;;;;01/07/1913 - 30/11/1913;;false;Robinson, C.B.;;;false;79;;false;;;true;Amboina;;;-3.62 , 128.183;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00260002;Annonaceae;Uvaria;montana;;Indonésie;null;;;false;;;;true;;;true;Blume;;;null;;;true;Blume;;null;Java;;false;;;;true;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P00260003;Annonaceae;Uvaria;micrantha;;Philippines;false;;;;National Capital Region (NCR);;;;01/01/1840 - 31/12/1840;;false;Calléry;;;false;;;true;Meade, C.;;false;Manille Pangasinan;;;14.52 , 121.054;;;;;;;"""Non""";;;;"""Non""";;;;01/01/2000 - 31/12/2000;false;;;true
MNHN;P;P00260004;Annonaceae;Uvaria;micrantha;;Philippines;null;;;false;National Capital Region (NCR);;;false;01/01/1840 - 31/12/1840;;null;Calléry;;;null;;;true;;;true;Manille. Pangasinan;;false;14.52 , 121.054;;;false;;;;"""Non""";;;;"""Non""";;;;;true;;;true
MNHN;P;P00260005;Annonaceae;Uvaria;micrantha;;Philippines;false;;;;Sorsogon;;;;01/09/1916 - 30/09/1916;;false;Elmer, A.D.E.;;;false;17399;;false;Meade, C.;;false;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;;;12.766 , 124.055;;;;;;;"""Non""";;;;"""Non""";;;;01/01/2000 - 31/12/2000;false;;;true
MNHN;P;P00260006;Annonaceae;Uvaria;micrantha;;Philippines;false;;;;Palawan;;;;01/05/1913 - 31/05/1913;;false;Merrill, E.D.;;;false;9271;;false;Meade, C.;;false;Philippines. Taytay. Palawan;;;10.8264031 , 119.5159199;;;;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/01/2000 - 31/12/2000;false;;;true
MNHN;P;P00260007;Annonaceae;Uvaria;micrantha;;Philippines;null;;;false;Palawan;;;false;01/05/1913 - 31/05/1913;;null;Merrill, E.D.;;;null;9271;;null;Meade, C.;;null;Philippines. Taytay. Palawan;;false;10.8264031 , 119.5159199;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/01/2000 - 31/12/2000;null;;;true
MNHN;P;P00260008;Annonaceae;Uvaria;micrantha;;Philippines;null;;;false;Palawan;;;false;01/09/1922 - 30/09/1922;;null;Ramos, M.;;;null;;;true;Meade, C.;;null;Philippines. Busuanga Island;;false;12.145 , 120.03;;;false;;;;"""Non""";;;;"""Oui""";"""Non""";;;01/01/2000 - 31/12/2000;null;;;true
MNHN;P;P00260009;Annonaceae;Uvaria;micrantha;;Philippines;false;;;;Tawi-Tawi;;;;01/07/1924 - 31/08/1924;;false;Ramos, M.;Edaño, G.;;false;44124;;false;Meade, C.;;false;Philippines. Tawitawi. Sulu Province;;;5.198 , 120.034;;;;;;;"""Non""";;;;"""Non""";;;;01/01/2000 - 31/12/2000;false;;;true
MNHN;P;P00260010;Annonaceae;Uvaria;micrantha;;Indonésie;null;;;false;Banten;;;false;25/12/1842 - 25/12/1842;;null;Zollinger;;;null;961;;null;Meade, C.;;null;Planta Javanica. Am Tjuruk (Wasserfall) Tjigalin bei Tjikoya.;;false;-6.3356 , 106.4118;;;false;;;;"""Oui""";"""Non""";;;"""Non""";;;;01/01/2000 - 31/12/2000;null;;;true
MNHN;P;P00260015;Annonaceae;Uvaria;lurida;;Indonésie;true;;;;West Java;;;;12/02/1846 - 12/02/1846;;false;Zollinger;;;false;1412;;false;Reveillard, C.;;false;Planta Javanica. HBB;;;-6.597 , 106.797;;;;;;;"""Oui""";"""Oui""";violet sombre;;"""Non""";;;;01/08/2002 - 31/08/2002;false;;;true
MNHN;P;P00260016;Annonaceae;Uvaria;lurida;;Indonésie;false;;;;;;;true;;;true;Teijsmann;;;false;3797;;false;;;true;Iter Javanicum secundum;;;;;;true;;;;"""Oui""";"""Non""";;;"""Non""";;;;;true;;;true
MNHN;P;P00260017;Annonaceae;Uvaria;lobbiana;;Indonésie;false;;;;North Sumatra;;;;;;true;Yates, H.S.;;;false;1719;;false;;;true;Sumatra (East coast). Asahan. Goerach Batoe.;;;2.855 , 99.664;;;;;;;"""Non""";;;;"""Oui""";"""Non""";;;;true;;;true
MNHN;P;P00260018;Annonaceae;Uvaria;littoralis;;Indonésie;true;;;;;;;true;12/11/1936 - 12/11/1936;;false;Forman, L.L.;;;false;599;;false;;;true;Java. Culta in Hort. Bogor sub No. XVI.E.3. Originally from Sumatra. 250 m. alt.;;false;;;;true;;;;"""Oui""";"""Oui""";rouge foncé;;"""Non""";;;;;true;250;;false
MNHN;P;P00260019;Annonaceae;Uvaria;littoralis;;Malaisie;false;;;;Sabah;;;;01/10/1922 - 31/03/1923;;false;Elmer, A.D.E.;;;false;20604;;false;;;true;Tawao, Elphinstone Province, British North Borneo;;;4.2435206 , 117.885331;;;;;;;"""Non""";;;;"""Non""";;;;;true;;;true
