specimen...institute;specimen...collection;specimen...code;specimen...family;specimen...genus;specimen...specific_epithet;unusable...cause;country...country;country...cultivated;country...guessed;country...not_sure;country...no_info;region1...region;region1...guessed;region1...not_sure;region1...no_info;collect_date...collect_date;collect_date...not_sure;collect_date...no_info;collector...collector;collector...other_collectors;collector...not_sure;collector...no_info;collect_number...number;collect_number...note_sure;collect_number...no_info;identifier...identifier;identifier...not_sure;identifier...no_info;locality...locality;locality...not_sure;locality...no_info;geo...position;geo...precision;geo...not_sure;geo...no_info;owner...owner;owner...no_info;owner...not_sure;flower...flower;flower...info_color;flower...color_flowers;flower...not_sure;fruit...fruit;fruit...info_color;fruit...color_fruits;fruit...not_sure;Date.deter...collect_date;Date.deter...pas.d.information;altitude...altitude;altitude...not_sure;altitude...no_info
MNHN;P;P00260003;Annonaceae;Uvaria;micrantha;;Philippines;false;NA;NA;;National Capital Region (NCR);NA;NA;;01/01/1840 - 31/12/1840;NA;false;Calléry;;NA;false;;NA;true;Meade, C.;NA;false;Manille Pangasinan;NA;;14.52 , 121.054;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/01/2000 - 31/12/2000;false;;NA;true
MNHN;P;P00260004;Annonaceae;Uvaria;micrantha;;Philippines;null;NA;NA;false;National Capital Region (NCR);NA;NA;false;01/01/1840 - 31/12/1840;NA;null;Calléry;;NA;null;;NA;true;;NA;true;Manille. Pangasinan;NA;false;14.52 , 121.054;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00260005;Annonaceae;Uvaria;micrantha;;Philippines;false;NA;NA;;Sorsogon;NA;NA;;01/09/1916 - 30/09/1916;NA;false;Elmer, A.D.E.;;NA;false;17399;NA;false;Meade, C.;NA;false;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;NA;;12.766 , 124.055;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/01/2000 - 31/12/2000;false;;NA;true
MNHN;P;P00260006;Annonaceae;Uvaria;micrantha;;Philippines;false;NA;NA;;Palawan;NA;NA;;01/05/1913 - 31/05/1913;NA;false;Merrill, E.D.;;NA;false;9271;NA;false;Meade, C.;NA;false;Philippines. Taytay. Palawan;NA;;10.8264031 , 119.5159199;NA;NA;;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/01/2000 - 31/12/2000;false;;NA;true
MNHN;P;P00260007;Annonaceae;Uvaria;micrantha;;Philippines;null;NA;NA;false;Palawan;NA;NA;false;01/05/1913 - 31/05/1913;NA;null;Merrill, E.D.;;NA;null;9271;NA;null;Meade, C.;NA;null;Philippines. Taytay. Palawan;NA;false;10.8264031 , 119.5159199;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;01/01/2000 - 31/12/2000;null;;NA;true
MNHN;P;P00260008;Annonaceae;Uvaria;micrantha;;Philippines;null;NA;NA;false;Palawan;NA;NA;false;01/09/1922 - 30/09/1922;NA;null;Ramos, M.;;NA;null;;NA;true;Meade, C.;NA;null;Philippines. Busuanga Island;NA;false;12.145 , 120.03;NA;NA;false;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;01/01/2000 - 31/12/2000;null;;NA;true
MNHN;P;P00260009;Annonaceae;Uvaria;micrantha;;Philippines;false;NA;NA;;Tawi-Tawi;NA;NA;;01/07/1924 - 31/08/1924;NA;false;Ramos, M.;Edaño, G.;NA;false;44124;NA;false;Meade, C.;NA;false;Philippines. Tawitawi. Sulu Province;NA;;5.198 , 120.034;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;01/01/2000 - 31/12/2000;false;;NA;true
MNHN;P;P00260020;Annonaceae;Uvaria;leytensis;;Philippines;false;NA;NA;;Isabela;NA;NA;;01/02/1926 - 31/03/1926;NA;false;Ramos, M.;Edaño, G.;NA;false;46784;NA;false;;NA;true;Philippines. San Mariano. Isabela Province. Luzon;NA;;16.9835964 , 122.0127684;NA;NA;;NA;NA;NA;\Non\;;;NA;\Non\;;;NA;;true;;NA;true
MNHN;P;P00260021;Annonaceae;Uvaria;leytensis;;Philippines;false;NA;NA;;Agusan del Norte;NA;NA;;01/09/1912 - 30/09/1912;NA;false;Elmer, A.D.E.;;NA;false;13880;NA;false;Elmer, A.D.E.;NA;false;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;NA;;9.1231657 , 125.532318;NA;NA;;NA;NA;NA;\Non\;;;NA;\Oui\;\Non\;;NA;;true;;NA;true
MNHN;P;P00260026;Annonaceae;Uvaria;lancifolia;;Philippines;false;NA;NA;;Zambales;NA;NA;;01/11/1924 - 31/12/1924;NA;false;Ramos, M.;Edaño, G.;NA;null;;NA;true;;NA;true;Philippines. Mt. Tapolao. Zambales Province. Luzon;NA;false;15.481 , 120.121;NA;NA;false;NA;NA;NA;\Oui\;\Non\;;NA;\Non\;;;NA;;true;;NA;true
