;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
8;<NA>;<NA>;;;<NA>;<NA>;recby_problem
9;<NA>;<NA>;;;<NA>;<NA>;recby_problem
10;<NA>;<NA>;;;<NA>;<NA>;recby_problem
11;<NA>;<NA>;;;<NA>;<NA>;recby_problem
12;<NA>;<NA>;;;<NA>;<NA>;recby_problem
13;<NA>;<NA>;;;<NA>;<NA>;recby_problem
14;<NA>;<NA>;;;<NA>;<NA>;recby_problem
220;<NA>;<NA>;;;<NA>;<NA>;recby_problem
221;<NA>;<NA>;;;<NA>;<NA>;recby_problem
222;<NA>;<NA>;;;<NA>;<NA>;recby_problem
223;<NA>;<NA>;;;<NA>;<NA>;recby_problem
224;<NA>;<NA>;;;<NA>;<NA>;recby_problem
731;<NA>;<NA>;;Johnson, DM;D.M. Johnson (OWU);<NA>;recby_problem
579;Amorim, AM;A. M. Amorim, P. Maas, C. M. v. Zuilen, J. F. Ramos & S. C. Sant' Ana;858;;<NA>;, P. Maas, C. M. v. Zuilen, J. F. Ramos;recby_problem
581;Amorim, AM;A. M. Amorim, P. Maas, C. M. v. Zuilen, L. A. Mattos Silva, T. S. Santos & S. C. Sant' Ana;794;;<NA>;, P. Maas, C. M. v. Zuilen, L. A. Mattos Silva, T. S. Santos;recby_problem
576;Amorim, AM;A. M. Amorim, P. Maas, C. M. v. Zuilen, T. S. Santos & S. C. Sant' Ana;827;;<NA>;, P. Maas, C. M. v. Zuilen, T. S. Santos;recby_problem
580;Amorim, AM;A. M. Amorim, P. Maas, C. M. v. Zuilen, T. S. Santos & S. C. Sant' Ana;827;;<NA>;, P. Maas, C. M. v. Zuilen, T. S. Santos;recby_problem
575;Carvalho, AM de;A. M. Carvalho, W. W. Thomas & T. S. Santos;3602;;<NA>;, W. W. Thomas;recby_problem
577;Carvalho, AM de;A. M. Carvalho, W. W. Thomas & T. S. Santos;3350;;<NA>;, W. W. Thomas;recby_problem
775;Saint-Hilaire, A;A. Saint-Hilaire;Saint-Hilaire s.n.;Johnson, DM;D.M. Johnson (OWU);#NAME?;recby_problem
298;Amorim, AM ;"Amorim, A. M.  (Amorim, André M.);T.S. Santos,P.J. Maas,S.C. Sant´Ana,J. Duarte,C.. Zuilen";827;;<NA>;morim, André M.);recby_problem
300;Amorim, AM ;"Amorim, A. M.  (Amorim, André M.);T.S. Santos,S.C. Sant Ana,P.J.M. Maas,J. Duarte,C.M. van Zuilen";827;Maas, PJM;P.J.M. Maas;morim, André M.);recby_problem
333;Amorim, AM ;"Amorim, A. M.  (Amorim, André M.);P.J. Maas,S.C. Sant´Ana,J.F. Ramos,C.M. Zuilen";858;Lopes, JC;Lopes, J.C.;morim, André M.);recby_problem
334;Amorim, AM ;"Amorim, A. M.  (Amorim, André M.);T.S. Santos,S.C. Sant Ana,L.A. Mattos Silva,P.J.M. Maas,C.M. van Zuilen";794;;<NA>;morim, André M.);recby_problem
905;Amorim, AM;Amorim, A. M.;4611;Sem Informação;Sem Informação;detby_problem;ção
328;Amorim, AM ;A. M. Amorim;4611;Mello-Silva, R de;R. de Mello-Silva;detby_problem;#NAME?
941;Amorim, AM ;A. M. Amorim;858;Mello-Silva, R de;R. de Mello-Silva;detby_problem;#NAME?
737;Amorim, AM ;"André M. A. Amorim; P.J.M. Maas, C.M. Van Zuilen, L.A. Mattos Silva, T.S. Santos & S.C. Sant´Ana";794;Maas, PJM, Johnson, DM;P.J.M. Maas !D.M. Joshson;André M. A. Amorim;recby_problem
232;Amorim, AM ;André M. Amorim et al.;858;;<NA>;André M. Amorim;recby_problem
735;Amorim, AM ;"André M. Amorim; P.J.M Maas, C.M. Van Zuilen, T.S.: Santos, S.C.Sant´Ana & J. Duarte";827;Maas, PJM;P. Maas;André M. Amorim;recby_problem
757;Amorim, AM ;André M. Amorim;Amorim 827;Johnson, DM;D.M. Johnson;André M. Amorim;recby_problem
758;Amorim, AM ;André M. Amorim;Amorim 794;Johnson, DM;D.M. Johnson;André M. Amorim;recby_problem
764;Amorim, AM ;André M. Amorim;Amorim 794;Maas, PJM;P.J.M. Maas;André M. Amorim;recby_problem
766;Amorim, AM ;André M. Amorim;Amorim 827;Johnson, DM;D.M. Johnson;André M. Amorim;recby_problem
768;Amorim, AM ;André M. Amorim;Amorim 858;Johnson, DM;D. Johnson;André M. Amorim;recby_problem
