recorded_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;Church, AC ;;;;;;;;;;;
;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;Church, AC ;;;;;;;;;;;
;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;A.C. Church;Church, AC ;;;;;;;;;;;
;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;J. F. Veldkamp;Veldkamp, JF ;;;;;;;;;;;
, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin;Burley, JS , -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin;, -. Turkirin
, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah;Widjaja, EA , -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah;, -. Megawati, -. Hamzah
