scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;huh_name;geo_col;wiki_url;barcode;colnum;specific_epithet;orig_recby;orig_detby
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;"Sintang, HPH Km 86-85; along river to south.";-0.823889;112.060833;Church, AC ;Church 1329;5;5;1994;nan;<NA>;MO;MO;101395200;0;0;0;Church;;0;;;;0;0;0;0;0;0;MO101395200;1329;borneensis;"A.C. Church;Mahyar, U. W.;Hamzah, Amis";<NA>
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;Church, AC ;Church 771;8;4;1994;nan;<NA>;MO;MO;101395218;0;0;0;Church;;0;;;;0;0;0;0;0;0;MO101395218;771;borneensis;"A.C. Church;Mahyar, Uway Warsita";<NA>
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;Church, AC ;Church 725;7;4;1994;nan;<NA>;MO;MO;101395207;0;0;0;Church;;0;;;;0;0;0;0;0;0;MO101395207;725;borneensis;"A.C. Church;Mahyar, Uway Warsita";<NA>
Artabotrys gracilis King;Artabotrys;ID;Borneo. Bukit Raya Expedition. Borneo, Bukit Raya, Batu Badinging, KCT 47 km. Km 96 ('Tumbang Sahu').;-1.25;113.83;Veldkamp, JF ;8577;7;2;1983;nan;<NA>;US;US;US 3212838;0;0;0;;;0;;;;0;0;0;0;0;0;US3212838;8577;gracilis;J. F. Veldkamp;<NA>
Fissistigma kingii (Boerl.) Burkill;Fissistigma;ID;Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Southern part of the reserve, Alas River valley, near the mouth of the Bengkong River, c. 50 km. S. of Kutacane.;3.0;97.83;Wilde, WJ de;18716;15;7;1979;nan;<NA>;US;US;US 2996687;0;0;0;;;0;;;;0;0;0;0;0;0;US2996687;18716;kingii;W. J. de Wilde & B. E. de Wilde-Duyfjes;<NA>
Annonaceae;<NA>;ID;Tumbang Tapi.;-1.02;113.0;Veldkamp;8347;21;1;1983;nan;<NA>;NSW;NSW;NSW562415;0;0;0;;;0;;;;0;0;0;0;0;0;NSW562415;8347;;Veldkamp;<NA>
Orophea Blume;Orophea;ID;Central Halmahera, Weda Bay, Loy Poloy.;0.5225;127.899167;Bidault, E;"Bidault, E; Mahroji, R; Fabanyo, B  1119 ";16;4;2013;Deroin, T;<NA>;<NA>;Botany;L.4372322;0;0;0;Bidault;;0;;;;0;0;0;0;0;0;L4372322;1119;;"Bidault E; Mahroji R; Fabanyo B";Deroin T
Artabotrys roseus Boerl.;Artabotrys;ID;Central Halmahera. Weda Bay. Casuarina.;0.526111;127.912222;Gushilman, I;"Gushilman, I; Mahroji, R; Lasut, SA; Fabanyo, B  503 ";24;3;2013;Rachman, IA;<NA>;<NA>;Botany;L.4372319;0;0;0;Gushilman;;0;;;;0;0;0;0;0;0;L4372319;503;roseus;"Gushilman I; Mahroji R; Lasut SA; Fabanyo B";Rachman IA
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903342;0;0;0;;;0;;;;0;0;0;0;0;0;MPU903342;nan;burahol;Molino, J.-F.;Molino
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903341;0;0;0;;;0;;;;0;0;0;0;0;0;MPU903341;nan;rumphii;Molino, J.-F.;Molino
