0
Church, AC 
Veldkamp, JF 
Wilde, WJ de
Veldkamp
Bidault, E
Gushilman, I
Molino, JF
Balgooy, MMJ van
Kostermans, AJGH
Okada, H
Jacobs, M
Wilde, WJJO de
Mols, JB
Vogel, EF de
Hallier, JG
Boschproefstation
Ambriansyah
Sidiyasa, K
Slik, JWF
Soepadmo, E
Arbainsyah
Nooteboom, HP
Jong, W de
Rossum, HIP van
Saimoendt
Andong
Johansson, JT
Dumas, JM
Jarvie, JK
Unknown
Widjaja, EA
Achmad
Burley, JS
Wardani, W
Wilkie, P
Megawati
Potter, D
Djarwaningsih, T
Laman, TG 
Kessler, PJA
Hamdi, AFO
Arifin, Z
Endert, FH
Leeuwenberg, AJM
Henar, GH
Waturandang, AG
Amiroeddin
Hasiboean, K
Thorenaar, A
Buwalda, P
Versteegh, C
Djaroki
Haan, GAL de
Forbes, HO
Budding, LFC
Pangkey, S
Burki, A
Verhoef, L
Burley, JS 
Schram, FAW
Schram, F
Bouwer, K
Kostermans, A
Veldkamp, JF
Kalkman, C
Velkamp, JF
Elbert, J
Mogea, J 
Meijer, W 
Koster, C
Vink, W
Teijsmann, JE
Moll, VW
Diepenhorst, H
Riedel, JGF
Coode, MJE
Bogoriensis, HB
Iboet
Helsdingen, H van
Kornassi
Sturler, WL de
Meijer, W
Church, AC
Leighton, M
Royen, P van
Boerlage, JG
Awa, D
Wiriadinata, H
Jawa, R
Laman, TG
Garden, BB
Sterck, EHM
Guigonis
Krukoff, BA
Forsten, EA
Beccari, O
Laumonier, Y
Mogea, JP
Tuke, ID
Ridsdale, CE
Takeuchi, WN
Merello, MC
Lestari, H
Mahroji, R
Haris, I
Afriastini, JJ
Geesink, R
Goverse, E
Steenis, CGGJ van
Lasut, SA
Callmander, MW
Bangun, TJF
Nagamasu, H
Giesen, W
Hansen, C
Chai, PPK
Backer, CA
Andriamahefarivo, LD
Franken, NAP
Boeea, RS
Utteridge, TMA
Raes, N
Puradyatmika, P
Dorst, LJW
Reksodihardjo, S
Pitopang, R
Yumte, K
Polak, AM
Dransfield, J
Bernard, C
Johns, RJ
Chairul
Elsener, A
Valkenburg, JLCH van
Gravendeel, B
Vriese, WH de
Turkirin
Raap, H
Koorders, SH
Noma, N
Durand, EM
Tjoa, A
Amdjah
Culmsee, H
Agung
Junghuhn, FW
Brass, LJ
Wasijat
Sinclair, J
Wirawan, N
Brouwer, K
Verheijen, JAJ
Murata, G
Ismail
Krispinus, F
Maradjo, P
Setiabudi
Sands, MJS
Brouwer, A
Bloembergen, S
Valeton, T
Rutten, LMR
Loiging, JA
Pulle, AA
Harreveld, P van
Saridan, A
Nitta, A
Lambach, PM
Brinkman, R
Argent, GCG
Grashoff, CWF
Kohyama
Wen, J
Sterk, E
Latupeirissa, ER
Triono, T
Torquebiau, E
Kasmin, O
Girmansyah, D
Mondi
Main
Koop, H
Tangkilisan, W
Atjeh
Atma
Whitmore, TC
Riswan, S
Mendum, M
Ningsih, R
Daalen, GCE van
Praetorius, CFE
Korthals, PW
Wit, WKJ de
Yamada, T
Rahayu, NM
Achmat
Schut, HW
Hochreutiner, BPG
Olivier, J
Suzuki, E
Rijksen, HD
Nadiah, I
Paymans, K
Atmodjo, P
Prawiroatmodjo, S
Zippelius, A
Soegandiredja
Hamzah, Z
Nedi
