scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;to_check;to_check_det
Friesodielsia Steenis;Friesodielsia;;0;0;Clemens, J;;;nan;;0;13;6;1932;nan;<NA>;;;;ID;0;0;Bornéo;0;114.0;1.0;G;Geneva Herbarium – General Collection (G);G-G-236042/1;G-G-236042/1;Clemens;0;Clemens, J. & M. S. Clemens (Coll. G);<NA>;;
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;rumphii;0;0;Molino, JF;;;nan;;0;15;12;1987;Molino, nan;<NA>;;;;ID;0;0;<NA>;0;100.73;-0.316;UM, UM;MPU, MPU;MPU903341, MPU1334891;MPU903341, MPU1334891;Molino;;;;;
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;burahol;0;0;Molino, JF;;;nan;;0;15;12;1987;Molino, nan;<NA>;;;;ID;0;0;<NA>;0;100.73;-0.316;UM, UM;MPU, MPU;MPU903342, MPU1334896;MPU903342, MPU1334896;Molino;;;;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;0;0;Molino, JF;;;nan;;0;9;12;1988;nan, nan;<NA>;;;;ID;0;0;<NA>;0;128.7;-3.5;UM, UM;MPU, MPU;MPU1291222, MPU1291241;MPU1291222, MPU1291241;Molino;;;;;
Melodorum latifolium (Dunal) Hook.f. & Thomson;Fissistigma;latifolium;0;0;Tukirin, S ;;;nan;;0;6;12;1990;Burley, JS;1991-01-01T00:00:00;1;1;1991;ID;0;0;CERAM: ca 40 km E of Masohi in Wae Ruatan/Wae Ruwata (Ruwa) catchment areas;0;129.25;-3.18333;BPBM;BISH;BISH613043;613043;Tukirin;0;"Burley, J.S. Tukirin; et al.";Burley, J.S.;;
Polyalthia Blume;Polyalthia;;0;0;nan;;nan;nan;nan;0;29;8;1981;nan;nan;;;;ID;0;0;Pinang-Pinang plot, Ulu Gadut, ca 15 km from Padang;0;100.633333;-0.909444;HYO;C;C1-258235;C1-258235;;0;;;;recby_problem
Artabotrys R.Br.;Artabotrys;;0;0;nan;;nan;nan;nan;0;25;8;1981;nan;nan;;;;ID;0;0;Pinang-Pinang plot, Ulu Gadut, ca 15 km from Padang;0;100.633333;-0.909444;HYO;C;C1-258241;C1-258241;;0;;;;recby_problem
Popowia pisocarpa (Blume) Endl.;Popowia;pisocarpa;0;0;nan;;nan;nan;nan;0;21;8;1981;nan;nan;;;;ID;0;0;Ulu Gadut valley, ca 15 km from Padang;0;100.513333;-0.909444;HYO;C;C1-258245;C1-258245;;0;;;;recby_problem
Orophea Blume;Orophea;;0;0;nan;;nan;nan;nan;0;20;8;1981;nan;nan;;;;ID;0;0;nr. Kpg. Longsat, ca 20km W from Sg. Dareh;0;101.333333;-0.966667;HYO;C;C1-258243;C1-258243;;0;;;;recby_problem
Orophea Blume;Orophea;;0;0;nan;;nan;nan;nan;0;13;8;1981;nan;nan;;;;ID;0;0;Gajabui plot, Ulu Gadut, ca 15 km from Padang;0;100.513333;-0.909722;HYO;C;C1-258242;C1-258242;;0;;;;recby_problem
Phaeanthus Hook.f. & Thomson;Phaeanthus;;0;0;nan;;nan;nan;nan;0;13;8;1981;nan;nan;;;;ID;0;0;Gajabui plot, Ulu Gadut, ca 15 km from Padang;0;100.513333;-0.909722;HYO;C;C1-258244;C1-258244;;0;;;;recby_problem
Cyathocalyx tsukayae H.Okada;Cyathocalyx;tsukayae;0;0;nan;;nan;nan;nan;0;24;12;2011;nan;nan;;;;ID;0;0;Kab. Kapuas Hulu, Putssibau, Betung Kurihun National Park;0;113.043889;1.213056;HYO;C;C1-248641;C1-248641;;0;;;;recby_problem
Popowia Endl.;Popowia;;0;0;nan;;nan;nan;nan;0;7;5;2016;nan;nan;;;;ID;0;0;a branch of upstream of Sg. Sibau;0;113.155;1.243056;HYO;C;C1-254806;C1-254806;;0;;;;recby_problem
Friesodielsia Steenis;Friesodielsia;;0;0;nan;;nan;nan;nan;0;6;5;2016;nan;nan;;;;ID;0;0;a branch of upstream of Sg. Sibau;0;113.155;1.243056;HYO;C;C1-254809;C1-254809;;0;;;;recby_problem
Uvaria L.;Uvaria;;0;0;nan;;nan;nan;nan;0;6;5;2016;nan;nan;;;;ID;0;0;a branch of upstream of Sg. Sibau;0;113.155;1.243056;HYO;C;C1-254808;C1-254808;;0;;;;recby_problem
