scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;orig_recby;orig_detby;to_check;to_check_det;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet
Pseuduvaria parvipetala Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;ID;Borneo. Bukit Raya. Tumbang Tapi.;-1.02;113.0;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8241;14;1;1983;;<NA>;US;US;US 3522865;0;0;0;;;0;;;;0;0;0;US3522865;8241;parvipetala
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;MY;Borneo. Batu Badinging, KCT, 47 km. Km 96 ('Tumbang Sahu');-1.25;113.83;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8524;4;2;1983;;<NA>;US;US;US 3522862;0;0;0;;;0;;;;0;0;0;US3522862;8524;rumphii
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;MY;Borneo. Tumbang Tapi.;-1.02;113.0;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8303;18;1;1983;;<NA>;US;US;US 3522866;0;0;0;;;0;;;;0;0;0;US3522866;8303;obliqua
Goniothalamus rufus Miq.;Goniothalamus;MY;Borneo. Tumbang Tubus.;-0.75;112.85;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8137;8;1;1983;;<NA>;US;US;US 3089905;0;0;0;;;0;;;;0;0;0;US3089905;8137;rufus
Polyalthia Blume;Polyalthia;MY;Borneo. Bukit Raya. Batu Badingding, KCT 47 km.;-1.25;113.83;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8511;2;3;1983;;<NA>;US;US;US 3522863;0;0;0;;;0;;;;0;0;0;US3522863;8511;
Popowia Endl.;Popowia;ID;Borneo, Tumbang Atey.;-1.12;113.03;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8432;28;1;1983;;<NA>;US;US;US 3125322;0;0;0;;;0;;;;0;0;0;US3125322;8432;
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;MY;Borneo. Tumbang Tapi.;-1.02;113.0;Veldkamp, JF;-. Veldkamp;<NA>;-. Veldkamp;recby_problem;8347;21;1;1983;;<NA>;US;US;US 3522874;0;0;0;;;0;;;;0;0;0;US3522874;8347;rumphii
Phaeanthus splendens Miq.;Phaeanthus;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR1924;0;0;0;;;0;;;;0;0;0;KR1924;nan;splendens
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR1761;0;0;0;;;0;;;;0;0;0;KR1761;nan;obliqua
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR1430;0;0;0;;;0;;;;0;0;0;KR1430;nan;
Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR2090;0;0;0;;;0;;;;0;0;0;KR2090;nan;manubriatum
Friesodielsia biglandulosa (Blume) Steenis;Friesodielsia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR2350;0;0;0;;;0;;;;0;0;0;KR2350;nan;biglandulosa
Fissistigma manubriatum (Hook.f. & Thomson) Merr.;Fissistigma;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR2091;0;0;0;;;0;;;;0;0;0;KR2091;nan;manubriatum
Huberantha rumphii (Blume ex Hensch.) Chaowasku;Hubera;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR2993;0;0;0;;;0;;;;0;0;0;KR2993;nan;rumphii
Popowia pisocarpa K.Schum.;Popowia;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR2398;0;0;0;;;0;;;;0;0;0;KR2398;nan;pisocarpa
Annonaceae;<NA>;ID;Jambi, Bukit Duabelas National Park;-1.85;102.650002;<NA>;<NA>;Katja Rembold;<NA>;recby_problem;;;;;Rembold, K;<NA>;<NA>;<NA>;KR1925;0;0;0;;;0;;;;0;0;0;KR1925;nan;
