0
Elmer, ADE
Merrill, ED
Ramos, M
Merrill
Bawan, F
Loher, A
Otanes, F
Ahern
Cenabre, AL
Escritor, L
Cumming
Reillo, J
Paraiso, E
Miranda, DP
Adduru, M
Gaudichaud
Whitford, HN
Fernando, A
Weber, CM
Curran, HM
Velasco, V
Klemme, W
Oliveros, SV
Robinson, CB
Stadtmiller, LR
Marche, A
Achacoso, I
Somonte, A
Agama, J
Sandique, JD
Barros, C
Jimenez, R
Rosenbluth, R
Martelino, A
Sablaya, M
Cuming
Bernardo, A
Podzorski, AC
Miras
Darling, FW
Ridsdale, CE
Barthe
Callery
Castillo, E
Tarrosa
Barnes, PT
Hombron
Vanoverbergh, M
Topacio, T
Meyer, R
Borden, TE
Sinclair, J
Mabesa, C
Elgricolin, V
Natividad, P
Guerrero, F
Mesa, A de
Cruz, F
Madulid, DA
Alvarez, RJ
Gardner
Sulit, M
Loher
Ridsdale
Ramos
Amarillas, FL
Malana
Alambra, F
