recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby
Elmer, ADE;17399;Meade, C;01/01/2000 - 31/12/2000;01/09/1916 - 30/09/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;P00260005;Philippines;Uvaria;micrantha;0;0;0;0;;;1;9;1916;1;1;2000;0;0;0;124.055;12.766;0;0;17399;P00260005;Elmer, A.D.E.;Meade, C.
Merrill, ED;9271;Meade, C;01/01/2000 - 31/12/2000;01/05/1913 - 31/05/1913;Palawan;Philippines. Taytay. Palawan;P00260006;Philippines;Uvaria;micrantha;0;0;0;0;;;1;5;1913;1;1;2000;0;0;0;119.5159199;10.8264031;0;0;9271;P00260006;Merrill, E.D.;Meade, C.
Merrill, ED;9271;Meade, C;01/01/2000 - 31/12/2000;01/05/1913 - 31/05/1913;Palawan;Philippines. Taytay. Palawan;P00260007;Philippines;Uvaria;micrantha;0;0;0;0;;;1;5;1913;1;1;2000;0;0;0;119.5159199;10.8264031;0;0;9271;P00260007;Merrill, E.D.;Meade, C.
Ramos, M;;Meade, C;01/01/2000 - 31/12/2000;01/09/1922 - 30/09/1922;Palawan;Philippines. Busuanga Island;P00260008;Philippines;Uvaria;micrantha;0;0;0;0;<NA>;<NA>;1;9;1922;1;1;2000;0;0;0;120.03;12.145;0;0;nan;P00260008;Ramos, M.;Meade, C.
Ramos, M;44124;Meade, C;01/01/2000 - 31/12/2000;01/07/1924 - 31/08/1924;Tawi-Tawi;Philippines. Tawitawi. Sulu Province;P00260009;Philippines;Uvaria;micrantha;0;0;0;0;;;1;7;1924;1;1;2000;0;0;0;120.034;5.198;0;0;44124;P00260009;Ramos, M.;Meade, C.
Ramos, M;46784;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P00260020;Philippines;Uvaria;leytensis;0;0;0;0;;;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;46784;P00260020;Ramos, M.;<NA>
Elmer, ADE;13880;Elmer, ADE;<NA>;01/09/1912 - 30/09/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;P00260021;Philippines;Uvaria;leytensis;0;0;0;0;;;1;9;1912;;;;0;0;0;125.532318;9.1231657;0;0;13880;P00260021;Elmer, A.D.E.;Elmer, A.D.E.
Ramos, M;;nan;<NA>;01/11/1924 - 31/12/1924;Zambales;Philippines. Mt. Tapolao. Zambales Province. Luzon;P00260026;Philippines;Uvaria;lancifolia;0;0;0;0;<NA>;<NA>;1;11;1924;;;;0;0;0;120.121;15.481;0;0;nan;P00260026;Ramos, M.;<NA>
Elmer, ADE;16152;Elmer, ADE;<NA>;01/05/1916 - 31/05/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;P00389825;Philippines;Mitrephora;multifolia;0;0;0;0;;;1;5;1916;;;;0;0;0;124.056;12.767;0;0;16152;P00389825;Elmer, A.D.E.;Elmer, A.D.E.
Elmer, ADE;13987;Kessler, P;01/05/2004 - 31/05/2004;01/10/1912 - 31/10/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;P00389826;Philippines;Pseuduvaria;unguiculata;0;0;0;0;;;1;10;1912;1;5;2004;0;0;0;125.532318;9.1231657;0;0;13987;P00389826;Elmer, A.D.E.;Kessler, P.
