recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;to_check;to_check_det
Ramos, M;;Meade, C;01/01/2000 - 31/12/2000;01/09/1922 - 30/09/1922;Palawan;Philippines. Busuanga Island;P00260008;Philippines;Uvaria;micrantha;0;0;0;0;<NA>;<NA>;1;9;1922;1;1;2000;0;0;0;120.03;12.145;0;0;nan;P00260008;Ramos, M.;Meade, C.;Ramos;;
Ramos, M;;nan;<NA>;01/11/1924 - 31/12/1924;Zambales;Philippines. Mt. Tapolao. Zambales Province. Luzon;P00260026;Philippines;Uvaria;lancifolia;0;0;0;0;<NA>;<NA>;1;11;1924;;;;0;0;0;120.121;15.481;0;0;nan;P00260026;Ramos, M.;<NA>;Ramos;;
Ramos, M;;Kessler, P;03/09/1985 - 03/09/1985;01/02/1917 - 31/03/1917;Ilocos Norte;Philippines. Bangui. Prov. of Ilocos Norte. Luzon;P00268516;Philippines;Pseuduvaria;grandiflora;0;0;0;0;<NA>;<NA>;1;2;1917;3;9;1985;0;0;0;120.7657563;18.5367387;0;0;nan;P00268516;Ramos, M.;Kessler, P.;Ramos;;
Otanes, F;;nan;<NA>;01/04/1914 - 30/06/1914;Pangasinan;Umingan, Province of Pangasinan, Luzon, Philippines.;P00133828;Philippines;Mitrephora;sp.;0;0;0;0;<NA>;<NA>;1;4;1914;;;;0;0;0;120.8334911;15.9292773;0;0;nan;P00133828;Otanes, F.;<NA>;Otanes;;
Ramos, M;;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/07/1914 - 31/08/1914;Batangas;Philippines. Province of Batangas. Luzon;P00133829;Philippines;Mitrephora;lanotan;0;0;0;0;<NA>;<NA>;1;7;1914;1;3;2001;0;0;0;120.92550256115466;13.8591144;0;0;nan;P00133829;Ramos, M.;Weerasooriya, A.D.;Ramos;;
Ramos, M;;nan;01/01/2004 - 31/12/2004;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Siargao Island;P00160919;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;6;1919;1;1;2004;0;0;0;126.05;9.905;0;0;nan;P00160919;Ramos, M.;<NA>;Ramos;;
Ramos, M;;Mols, JB;01/07/1998 - 31/07/1998;01/07/1915 - 31/08/1915;Sorsogon;Philippines. Province of Sorsogon, Luzon.;P00372667;Philippines;Phaeanthus;ebracteolatus;0;0;0;0;<NA>;<NA>;1;7;1915;1;7;1998;0;0;0;123.916667;12.833333;0;0;nan;P00372667;Ramos, M.;Mols, J.B.;Ramos;;
Ramos, M;;Mols, JB;01/07/1998 - 31/07/1998;01/04/1918 - 31/05/1918;Capiz;Philippines. Mt. Macosolon. Capiz Province. Panay;P00372673;Philippines;Phaeanthus;villosus;0;0;0;0;<NA>;<NA>;1;4;1918;1;7;1998;0;0;0;124.332;13.953;0;0;nan;P00372673;Ramos, M.;Mols, J.B.;Ramos;;
Ahern;;nan;<NA>;01/11/1904 - 31/12/1904;Rizal;Philippines. Bosoboso. Province of Rizal, Luzon;P00372684;Philippines;Polyalthia;flava;0;0;0;0;<NA>;<NA>;1;11;1904;;;;0;0;0;121.2395;14.639;0;0;nan;P00372684;Ahern;<NA>;Ahern;;
Ahern;;Mols, JB;01/03/2004 - 31/03/2004;01/04/1904 - 30/04/1904;Rizal;Philippine Forest. Antipolo, Province of Rizal, Luzon;P00160920;Philippines;Miliusa;vidalii;0;0;0;0;<NA>;<NA>;1;4;1904;1;3;2004;0;0;0;121.1758611;14.5870262;0;0;nan;P00160920;Ahern;Mols, J.B.;Ahern;;
