scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Uvaria leytensis (Elmer) Merr.;Uvaria;Uvaria concava;PH;Philippines, Island of Mindanao, Province of Agusan, Cabadbaran (Mt. Urdaneta);9.122127;125.537595;Elmer, A.D.E.;13880;;9;1912;;;;;;0;0;0;0;0;0;;;;0;0;0;;;<NA>;;;
Uvaria cordata (Dunal) Alston;Uvaria;Uvaria littoralis;PH;Philippines, Island of Mindanao, Province of Agusan, Cabadbaran (Mt. Urdaneta);9.122127;125.537595;Elmer, A.D.E.;13880;;9;1912;;;;;;0;0;0;0;0;0;;;;0;0;0;;;<NA>;;;
Orophea Blume;Orophea;;PH;Puerto Galera, Mindoro.;13.5;120.95;Ramos, M.;s.n.;;11;1925;;;MEL;MEL;MEL 2381942A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;;PH;Island Busuanga.;12.1;120.083333;Weber, C.M.;1550;;3;1912;Foreign Collection Project;2014-07-31T00:00:00;MEL;MEL;MEL 2381925A;0;0;0;0;0;0;31;07;2014;0;0;0;;MEL;MEL ;;MEL;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;PH;Mt Halcon, Mindoro.;13.266667;121.0;"Ramos, M.;Edaño, G.E.";40558;;3;1922;;;MEL;MEL;MEL 2129485A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;PH;Vicinity of Dupax, Province of Nueva Vizxaya, Luzon.;16.3;121.1;Mcgregor, R.C.;11176;;3;1912;;;MEL;MEL;MEL 2123985A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Uvaria L.;Uvaria;;PH;Alabat Island.;14.116667;122.05;"Ramos, M.;Edaño, G.E.";s.n.;;9;1926;National Herbarium of Victoria (MEL);2014-09-02T00:00:00;MEL;MEL;MEL 2383058A;0;0;0;0;0;0;02;09;2014;0;0;0;;MEL;MEL ;;MEL;
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;;PH;Pinamalayan, Mindoro.;13.033333;121.483333;Ramos, M.;41021;;6;1922;;;MEL;MEL;MEL 2123986A;0;0;0;0;0;0;;;;0;0;0;;MEL;MEL ;;MEL;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;Cananga odorata;PH;Tawitawi [=Tawi Tawi], Sulu Province.;5.25;120.15;"Ramos, M.;Edaño, G.E.";44129;;7;1924;Grimes, J.W.;2002-01-29T00:00:00;MEL;MEL;MEL 2123947A;0;0;0;0;0;0;29;01;2002;0;0;0;;MEL;MEL ;;MEL;
Dasymaschalon (Hook.f. & Thomson) Dalla Torre & Harms;Dasymaschalon;;PH;Casiguran, Tayabas Province, Luzon.;16.283333;122.116667;"Ramos, M.;Edaño, G.E.";45293;;5;1925;Jessup, L.W.;1986-04-10T00:00:00;MEL;MEL;MEL 2122661A;0;0;0;0;0;0;10;04;1986;0;0;0;;MEL;MEL ;;MEL;
