scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check;to_check_det
Uvaria L.;Uvaria;PH;<NA>;15.2628;120.8786;<NA>;;;;;;<NA>;NHMUK;BOT;BM000754062;0;0;0;;;0;;;;0;0;0;BM000754062;nan;;<NA>;<NA>;<NA>;recby_problem
Cyathocalyx apoensis (Elmer) J.Sinclair;Drepananthus;PH;Todaya (Mt. Apo), District of Davao.;7.0;125.26666;Elmer, ADE;Elmer 11290;;8;1909;;<NA>;MO;MO;2098446;0;0;0;Elmer;;0;;;;0;0;0;MO2098446;11290;apoensis;Adolph D.E. Elmer;<NA>;Adolph D.E. Elmer;recby_problem
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;PH;Aroman, Carmen, Cotabato Province, Mindanao;7.1709;124.4709;Añonuevo, P;Añonuevo, P PNH 13575 ;21;6;1950;;<NA>;<NA>;Botany;L.1767283;0;0;0;A;;0;;;;0;0;0;L1767283;13575;obliqua;Añonuevo P;Heusden ECH van;Añonuevo P;recby_problem
Popowia Endl.;Popowia;PH;Alah Valley, Banga Cotabato Province Mindanao.;6.423889;124.778333;Añonuevo, P;Añonuevo, P PNH 13635 ;6;9;1950;;1988-06-01T00:00:00;<NA>;Botany;L.1763793;0;0;0;A;;0;1;6;1988;0;0;0;L1763793;13635;;Añonuevo P;Kessler PJA;Añonuevo P;recby_problem
Anaxagorea A.St.-Hil.;Anaxagorea;PH;Tungao, Agusan Province Mindanao.;8.777222;125.571944;Añonuevo, P;Añonuevo, P PNH 13731 ;31;5;1950;;1988-10-01T00:00:00;<NA>;Botany;L.1755429;0;0;0;A;;0;1;10;1988;0;0;0;L1755429;13731;;Añonuevo P;Kessler PJA;Añonuevo P;recby_problem
Desmos chinensis Lour.;Desmos;PH;On ridge above camp two towards Cleopatra Needle by rock overhang.;10.116667;118.966667;Argent, GCG;25407;21;1;1998;;<NA>;E;E;E00210855;0;0;0;;;0;;;;0;0;0;E00210855;25407;chinensis;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;<NA>;Middleton, D.J., Wilkie, P.;recby_problem
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;PH;On path from camp two towards Cleopatra Needle.;10.116667;118.966667;Argent, GCG;25380;20;1;1998;;<NA>;E;E;E00210862;0;0;0;;;0;;;;0;0;0;E00210862;25380;enterocarpa;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;<NA>;Middleton, D.J., Wilkie, P.;recby_problem
Annonaceae;<NA>;PH;Barangay Banawang. Sitio Ulingan;14.616667;120.383333;Argent, GCG;99307;17;11;1999;;<NA>;E;E;E00271066;0;0;0;;;0;;;;0;0;0;E00271066;99307;;Argent, G.C.G., Wilkie, P., Mendum, M., Fuentes, R.;<NA>;Fuentes, R.;recby_problem
Annonaceae;<NA>;PH;"Luzon Isl; Masbate Prov. - 7-R Ranch, Sitio Kalunakan, Brgy. Matipuron, Milagros";12.2183;123.508;Barbon, EB;Collector Number: 12621;12;2;1994;;<NA>;BPBM;BISH;681540;0;0;0;Collector;;0;;;;0;0;0;BISH681540;12621;;"Barbon, E.B. Garcia; Fernando";<NA>;arcia;recby_problem
Polyalthia Blume;Polyalthia;PH;Luzon Island - Prov. - Isabela. So. Kapuntian, Brgy, San Jose, San Mariano;16.9853;122.034;Barbon, EB;Collector Number: PPI No 13103;10;7;1994;;<NA>;BPBM;BISH;664972;0;0;0;Collector;;0;;;;0;0;0;BISH664972;13103;;"Barbon, E.B. Romero; Fuentes";<NA>;omero;recby_problem
Uvaria L.;Uvaria;PH;So. Kapuntian, Brgy. San Jose, San Marino;16.995;122.038;Barbon, EB;Collector Number: 13151;13;7;1994;;<NA>;BPBM;BISH;681666;0;0;0;Collector;;0;;;;0;0;0;BISH681666;13151;;"Barbon, E.B. Romero; Fuentes";<NA>;omero;recby_problem
Polyalthia Blume;Polyalthia;PH;Philippines, Baguio, Mt. Prov.;16.417155;120.590998;Baskiñas, LC;Baskiñas, LC  79 ;22;12;1923;;2002-07-01T00:00:00;<NA>;Botany;L.1770021;0;0;0;Baski;;0;1;7;2002;0;0;0;L1770021;79;;Baskiñas LC;Kessler PJA;Baskiñas LC;recby_problem
