0
Ramos, M
Mabesa, C
Williams, RS
Elmer, ADE
Puglisi, C
Hughes, M
Tang, CC
Burley, JS
Reynoso, EJ
Palinoz, PP
Sulit, MD
Romero, EM
Soejarto, DD
Soejarto, DD 
Co, LL 
Domingo, DC
Merrill, ED
Canicosa, F
Gutierrez, HG 
Ridsdale, CE 
Co, L 
Oro, M 
Ahern
Escritor, L
Ponce, SS
Rafael, B
Gaerlan, FJM
Christenhusz, MJM
Fuentes, RE
Mendoza, DR
Barbon, EB
Frake, CO
Stone, BC
Conklin, HC
Jacobs, M
Argent, GCG
Rojo, JP
Mallonga, AC
Bicknell, EP
Garcia, HG
Fox, RB
Frake, C
Ridsdale, CE
Podzorski, AC
Castro, AP
Pipoly, JJ
Britton, BB
Martelino, A
Hernaez, BF
Alcasid, GL
Cid, FA
Majaducon, RS
Curran, HM
Coode, MJE
Madulid, DA
Whitford, HN
Co, L
Unknown
Robinson, CB
Varadarajan, GS
Cruz, F
Ruffo, CK
Hallier, JG
Vidal
Militante, PJ
Castro, M
Kondo, Y
Steiner, ML
Reillo, J
Santos, JV
Susara, JB
Clemens, MS
Price, MG
Sinclair, J
Dransfield, J
Rosenbluth, R
Cenabre, AL
Lagrimas, MQ
Gachalian, FS
Alvarez, RJ
Bawan, F
Gibot, V
Lazo, PP
Loreja, M
Gabot, V
Horgen, D
Taleon, AT
Stern, WL
Miranda, DP
Weber, CM
Williams, RS 
Elmer, ADE 
Ramos, M 
Barnes, PT
Cuming, H
Alvarez
Yen, DE
Wenzel, CA 
Tarrosa
Merrill
Ramos
Miranda, DP 
Sulit
