scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname
Orophea corymbosa (Blume) Miq.;Orophea;PH;Luzon;16.0;121.0;Cuming, H;;;;;nan;<NA>;G;Geneva Herbarium – General Collection (G);G-G-196237/1;0;0;0;;;0;;;;0;0;0;G-G-196237/1;nan;corymbosa;Cuming, H.;Kessler, P. J. A. (1986);Cuming
Uvaria L.;Uvaria;PH;nan;15.2628;120.8786;nan;;;;;nan;nan;NHMUK;BOT;BM000754062;0;0;0;nan;nan;0;;;;0;0;0;BM000754062;nan;;;;
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Mindanao - Camp Keithley, Lake Lanao, Mindanao;8.0;125.0;Clemens, MS;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-191210/2;0;0;0;nan;nan;0;;;;0;0;0;G-G-191210/2;nan;philippinensis;Clemens, M. S. (Coll. De Candolle);;
Goniothalamus philippinensis Merr.;Goniothalamus;PH;Mindanao - Camp Keithley, Lake Lanao, Mindanao;8.0;125.0;Clemens, MS;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-191210/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-191210/1;nan;philippinensis;Clemens, M. S. (Coll. Delessert 1909);;
Orophea corymbosa (Blume) Miq.;Orophea;PH;Luzon;16.0;121.0;Cuming, H;;;;;Kessler, PJA;nan;G;Geneva Herbarium – General Collection (G);G-G-196237/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-196237/1;nan;corymbosa;Cuming, H.;Kessler, P. J. A. (1986);
Orophea corymbosa (Blume) Miq.;Orophea;PH;Luzon;16.0;121.0;Cuming, H;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-196237/2;0;0;0;nan;nan;0;;;;0;0;0;G-G-196237/2;nan;corymbosa;Cuming, H. (Coll. Boissier et Barbey- Boissier);Kessler, P. J. A. (1986);
Orophea cumingiana S.Vidal;Orophea;PH;Palawan - Puerto Princesa (Mt. Pulgar)/Province of Palawan;9.51778;118.3975;Elmer, ADE;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-196362/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-196362/1;nan;cumingiana;Elmer, A. D. E. (Coll. De Candolle);Kessler, P. J. A. (1984);
Orophea unguiculata Elmer;Pseuduvaria;PH;Mindanao - Cabadbaran (Mt. Urdaneta) Province of Agusan;8.0;125.0;Elmer, ADE;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-196131/2;0;0;0;nan;nan;0;;;;0;0;0;G-G-196131/2;nan;unguiculata;Elmer, A. D. E. (Coll. De Candolle);Kessler, P. J. A. (1984);
Orophea cumingiana S.Vidal;Orophea;PH;Mindanao - Cabadbaran (Mt. Urdaneta), Prov. of Agusan;8.0;125.0;Elmer, ADE;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-195630/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-195630/1;nan;cumingiana;Elmer, A. D. E. (Coll. De Candolle);Kessler, P. J. A. (1984);
Orophea cumingiana S.Vidal;Orophea;PH;Palawan - Puerto Princesa (Mt. Pulgar)/Province of Palawan;9.51778;118.3975;Elmer, ADE;;;;;nan;nan;G;Geneva Herbarium – General Collection (G);G-G-196361/1;0;0;0;nan;nan;0;;;;0;0;0;G-G-196361/1;nan;cumingiana;Elmer, A. D. E. (Coll. De Candolle);Kessler, P. J. A. (1984);
