scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;"Sintang, HPH Km 86-85; along river to south.";-0.823889;112.060833;Church, AC ;Church 1329;5;5;1994;nan;nan;MO;MO;101395200;borneensis;0;0;Church;;0;0;0;0;0;0;0;MO101395200;1329;"A.C. Church;Mahyar, U. W.;Hamzah, Amis"
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;Church, AC ;Church 771;8;4;1994;nan;nan;MO;MO;101395218;borneensis;0;0;Church;;0;0;0;0;0;0;0;MO101395218;771;"A.C. Church;Mahyar, Uway Warsita"
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;Church, AC ;Church 725;7;4;1994;nan;nan;MO;MO;101395207;borneensis;0;0;Church;;0;0;0;0;0;0;0;MO101395207;725;"A.C. Church;Mahyar, Uway Warsita"
Artabotrys gracilis King;Artabotrys;ID;Borneo. Bukit Raya Expedition. Borneo, Bukit Raya, Batu Badinging, KCT 47 km. Km 96 ('Tumbang Sahu').;-1.25;113.83;Veldkamp, JF ;8577;7;2;1983;nan;nan;US;US;US 3212838;gracilis;0;0;;;0;0;0;0;0;0;0;US3212838;8577;J. F. Veldkamp
Fissistigma kingii (Boerl.) Burkill;Fissistigma;ID;Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Southern part of the reserve, Alas River valley, near the mouth of the Bengkong River, c. 50 km. S. of Kutacane.;3.0;97.83;Wilde, WJ de;18716;15;7;1979;nan;nan;US;US;US 2996687;kingii;0;0;;;0;0;0;0;0;0;0;US2996687;18716;W. J. de Wilde & B. E. de Wilde-Duyfjes
Annonaceae;nan;ID;Tumbang Tapi.;-1.02;113.0;Veldkamp;8347;21;1;1983;nan;nan;NSW;NSW;NSW562415;nan;0;0;;;0;0;0;0;0;0;0;NSW562415;8347;Veldkamp
Orophea Blume;Orophea;ID;Central Halmahera, Weda Bay, Loy Poloy.;0.5225;127.899167;Bidault, E;"Bidault, E; Mahroji, R; Fabanyo, B  1119 ";16;4;2013;Deroin T;nan;nan;Botany;L.4372322;nan;0;0;Bidault;;0;0;0;0;0;0;0;L4372322;1119;"Bidault E; Mahroji R; Fabanyo B"
Artabotrys roseus Boerl.;Artabotrys;ID;Central Halmahera. Weda Bay. Casuarina.;0.526111;127.912222;Gushilman, I;"Gushilman, I; Mahroji, R; Lasut, SA; Fabanyo, B  503 ";24;3;2013;Rachman IA;nan;nan;Botany;L.4372319;roseus;0;0;Gushilman;;0;0;0;0;0;0;0;L4372319;503;"Gushilman I; Mahroji R; Lasut SA; Fabanyo B"
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;nan;-0.316;100.73;Molino, JF;nan;15;12;1987;Molino;nan;UM;MPU;MPU903342;burahol;0;0;nan;nan;0;0;0;0;0;0;0;MPU903342;nan;Molino, J.-F.
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;nan;-0.316;100.73;Molino, JF;nan;15;12;1987;Molino;nan;UM;MPU;MPU903341;rumphii;0;0;nan;nan;0;0;0;0;0;0;0;MPU903341;nan;Molino, J.-F.
Popowia pisocarpa (Blume) Endl.;Popowia;ID;Kebun Raya Bogor.;-6.583333;106.783333;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5683 ";8;7;1986;nan;nan;nan;Botany;L  0299964;pisocarpa;0;0;Balgooy;;0;0;0;0;0;0;0;L0299964;5683;"Balgooy MMJ van; Setten AK van"
