det_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, DM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, DM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;Bazante, ML;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, J.C;Lopes, JC;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas, PJM;;;;;;;;;;;;;;;;;;;;;;;;;
;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas, PJM;;;;;;;;;;;;;;;;;;;;;;;;;
;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas PJM;Maas, PJM;;;;;;;;;;;;;;;;;;;;;;;;;
;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson, DM;;;;;;;;;;;;;;;;;;;;;;;
;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson, DM;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson DM;Johnson, DM;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;A. Amorim;Amorim, A ;;;;;;;;;
;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;M. Gomes;Gomes, M ;;;;;;;;;
;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, F.F.F.;Mazziero, FFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
