scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;;;;;;;;;;Maas, P.J.M.;;ULM;Herbarium University Ulm;35215;0;0;0;0;0;0;;;;0;0;0;35215;;;;;
Hornschuchia obliqua Maas & van Setten;Hornschuchia;Hornschuchia obliqua;;;;;;;;;;Johnson D.M.;;ULM;Herbarium University Ulm;11094;0;0;0;0;0;0;;;;0;0;0;11094;;;;;
Hornschuchia polyantha Maas;Hornschuchia;Hornschuchia polyantha;;;;;;;;;;Johnson D.M.;;ULM;Herbarium University Ulm;11092;0;0;0;0;0;0;;;;0;0;0;11092;;;;;
Hornschuchia leptandra D.M.Johnson;Hornschuchia;Hornschuchia leptandra;;;;;;;;;;Johnson D.M.;;ULM;Herbarium University Ulm;11091;0;0;0;0;0;0;;;;0;0;0;11091;;;;;
Hornschuchia citriodora D.M.Johnson;Hornschuchia;Hornschuchia citriodora;BR;;;;;;;;;;;;;Maas, P.J.M. et al. 8828 (U);0;0;0;0;0;0;;;;0;0;0;;M;Maas, P.J.M. et al. ;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Estrada ES-477 que liga a BR-101 à Rodovia do Sol (ES-60). Ca. de 6 km da BR-101. Mata ao lado da estrada, entrada pela Fazenda Bonanza;-20.533333;-40.416667;"Mello-Silva, R; Stannard, BL; Nic Lughadha, E; Assis, MC";1596;17;2;1999;Mello-Silva, R;1999-02-01T00:00:00;Instituto de Botânica;SP;334871A;0;0;0;0;0;0;01;02;1999;0;0;0;;A;A;;SP;
Hornschuchia Nees;Hornschuchia;;BR;Ilheus, Bahia, Brasil;;;Sant'Ana SC de;201;18;2;1992;;;K;Economic Botany Collection;74180;0;0;0;0;0;0;;;;0;0;0;74180;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Est. Espirito Santo, Linhares, Reserva Florestal da Companhia Vale do Rio Doce, Estrada Municipial MME, 1 km from BR 101.Sea level. 19°7' S, 40°4' W.;-19.11667;-40.06667;Maas,P.J.M., Maas,H. & Folli,D.A.;;13;2;1999;P.J.M. Maas 1999;;WU;Herbarium WU;0066007;0;0;0;0;0;0;;;;0;0;0;0066007;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Bahia;-11.0;-42.0;H. Kennedy;1020A;5;6;1956;RRC ID Flag;1956-01-01T00:00:00;F;Botany;V0222245F;0;0;0;0;0;0;01;01;1956;0;0;0;;V;V;;;
Hornschuchia myrtillus Nees;Hornschuchia;Hornschuchia myrtillus;BR;Brazil;-10.8339;-52.8731;C. F. P. Martius;;;;;;;F;Botany;;0;0;0;0;0;0;;;;0;0;0;;;<NA>;;;
Hornschuchia cauliflora Maas & van Setten;Hornschuchia;Hornschuchia cauliflora;BR;Bahia;-11.0;-42.0;M. Sobral;5749;;1;1997;RRC ID Flag;1997-01-01T00:00:00;F;Botany;V0222246F;0;0;0;0;0;0;01;01;1997;0;0;0;;V;V;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Espírito Santo;-20.0;-40.75;P. J. M. Maas;8829;13;2;1999;RRC ID Flag;1999-01-01T00:00:00;F;Botany;V0222244F;0;0;0;0;0;0;01;01;1999;0;0;0;;V;V;;;
Hornschuchia obliqua Maas & van Setten;Hornschuchia;Hornschuchia obliqua;BR;Bahia;-11.0;-42.0;A. M. Amorim;794;6;10;1992;RRC ID Flag;1992-01-01T00:00:00;F;Botany;V0222247F;0;0;0;0;0;0;01;01;1992;0;0;0;;V;V;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Bahia;-11.0;-42.0;H. Kennedy;1020A;;;;;;F;Botany;V0205829F;0;0;0;0;0;0;;;;0;0;0;;V;V;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Brazil;-10.8339;-52.8731;C. F. P. Martius;858;;;;;;F;Botany;;0;0;0;0;0;0;;;;0;0;0;;;<NA>;;;
Bocagea alba A.St.-Hil.;Hornschuchia;Hornschuchia alba;BR;Brazil;-10.8339;-52.8731;A. Saint-Hilaire;;;;;;;F;Botany;;0;0;0;0;0;0;;;;0;0;0;;;<NA>;;;
Hornschuchia myrtillus Nees;Hornschuchia;Hornschuchia myrtillus;BR;Reserva Natural Vale. Estrada Farinha Seca, R.F.L. 01/80, Bloco E, tratamento 2. Mata de Tabuleiro;-19.186361;-39.913972;"J.C. Lopes; G.S. Siqueira & R. Mello-Silva";122;3;12;2010;J.C. Lopes & R. Mello-Silva;2010-01-01T00:00:00;MBML;MBML-HERBARIO;49129;0;0;0;0;0;0;01;01;2010;0;0;0;49129;;;;;
Hornschuchia citriodora D.M.Johnson;Hornschuchia;Hornschuchia citriodora;BR;Reserva Natural Vale. M.M.E., R.F.L. 0089/86. Mata de Tabuleiro em recuperação;-19.132722;-40.084972;"J.C. Lopes; R. Mello-Silva & G. Siqueira";110;2;12;2010;J.C. Lopes & R. Mello-Silva;2010-01-01T00:00:00;MBML;MBML-HERBARIO;49035;0;0;0;0;0;0;01;01;2010;0;0;0;49035;;;;;
Hornschuchia Nees;Hornschuchia;;BR;Fazenda Luis Siqueira - distrito da Penha;-18.145872;-40.317167;"A. M. Assis; J. Freitas";3515;15;11;2012;;;MBML;MBML-HERBARIO;47032;0;0;0;0;0;0;;;;0;0;0;47032;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Picuã;-19.911667;-40.350278;"C.L. Dalmonech; T.F. Sagrillo";50;4;6;2011;L. Kollmann;2016-01-01T00:00:00;MBML;MBML-HERBARIO;44614;0;0;0;0;0;0;01;01;2016;0;0;0;44614;;;;;
Hornschuchia Nees;Hornschuchia;;BR;Estrada não pavimentada para São Rafael. Mata de encosta, ao lado direito da estrada;-19.411806;-40.476167;"P. Fiaschi; J.R. Pirani, J.H.L.E. Ottra & V. Augusto";3478;19;1;2011;;;MBML;MBML-HERBARIO;42352;0;0;0;0;0;0;;;;0;0;0;42352;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Reserva Biológica Duas Bocas. Boqueirão do Santilho, floresta na beira da estrada. Floresta Ombrófila Densa Montana.;-20.225556;-40.498611;"C. N. de Fraga; A.P.Fontana, R.Goldenberg, L.Kollmann, A.M.Amorim, L.Daneu & J.Meirelles";2480;11;4;2009;J.C. Lopes/13-X-2011;2011-10-13T00:00:00;MBML;MBML-HERBARIO;38885;0;0;0;0;0;0;13;10;2011;0;0;0;38885;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Reserva Biológica de Duas Bocas. Localidade de Duas Bocas, Trilha do Pescador. Floresta Ombrófila Densa Baixo Montana.;-20.278889;-40.478333;"P. Labiak; R.C.Forzza, L.Kollmann & C.N.Fraga";5000;20;10;2008;J.C. Lopes/13-X-2011;2011-10-13T00:00:00;MBML;MBML-HERBARIO;37745;0;0;0;0;0;0;13;10;2011;0;0;0;37745;;;;;
Hornschuchia Nees;Hornschuchia;;BR;Rochedo, Trilha do Córrego, propr.: Ailton Corteleti.;-18.955833;-40.801389;"V. Demuner; T. A. Cruz, M.Belizário.";4816;19;12;2007;;;MBML;MBML-HERBARIO;32572;0;0;0;0;0;0;;;;0;0;0;32572;;;;;
Hornschuchia Nees;Hornschuchia;;BR;Fazenda Caioaba, propr.: Claúdio Virloni.;-20.055833;-40.470333;"V. Demuner; T. A. Cruz, R. R. Vervloet e M. Belisario.";4412;25;10;2007;;;MBML;MBML-HERBARIO;32022;0;0;0;0;0;0;;;;0;0;0;32022;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Fazenda Caioaba, propr.:Virloni, Mata, trilha do corrego Caioaba;-20.059167;-40.470556;"L. F. S. Magnago; V. Demuner, M. Belizário, E. Bausen";489;5;1;2006;A. Lobão;2006-08-10T00:00:00;MBML;MBML-HERBARIO;30986;0;0;0;0;0;0;10;08;2006;0;0;0;30986;;;;;
Hornschuchia bryotrophe Nees;Hornschuchia;Hornschuchia bryotrophe;BR;Colina Verde (Morro do Agudo), propr.: Dona Maria.;-20.093889;-40.432222;"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.";3220;15;3;2007;A. Lobão;2010-01-01T00:00:00;MBML;MBML-HERBARIO;29481;0;0;0;0;0;0;01;01;2010;0;0;0;29481;;;;;
