scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby
Hornschuchia lianarum D.M.Johnson & N.A.Murray;Hornschuchia;BR;Município de Barra do Choça. Estrada que liga a Rod. BR-116 a São Sebastião, 4 km a W da cidade.;;;Mori, SA;11254;21;11;1978;Johnson, DM;<NA>;K;Herbarium;K000485527;0;0;0;;;0;;;;0;0;0;K000485527;11254;lianarum;"Mori, S.A.; Santos, T.S.; Thompson, C.B.";Johnson, D.M.
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Espírito Santo. Guarapari: rodovia do Sol, estrada que liga a BR-101 à Praia Setibana ES-060 a 6 km da BR-101.;-20.55;-40.45;Pirani, JR;2435;23;2;1988;Johnson, DM;<NA>;K;Herbarium;K000485526;0;0;0;;;0;;;;0;0;0;K000485526;2435;citriodora;"Pirani, J.R.; Mello-Silva, R.; Thomas, W.W.; Fernandes, J.B.";Johnson, D.M.
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Comboios.;;;Pereira, OJ;4019;28;10;1992;nan;<NA>;UFRB;HURB;29278;0;0;0;;;0;;;;0;0;0;HURB29278;4019;bryotrophe;"O.J.Pereira; J.M.L.Gomes & J.M.Simões";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Engenho de Conceição Velha;;;Tavares, S;51;9;12;1997;Bazante, ML;2022-09-01T00:00:00;UFPE;UFP;36952;0;0;0;;;0;1;9;2022;0;0;0;UFP36952;51;bryotrophe;"Tavares, S; Lima, D; Maciel, M; Alves, M";Bazante, ML
Hornschuchia alba (A.St.-Hil.) R.E.Fr.;Hornschuchia;<NA>;<NA>;;;Maas, PJM ;8818;;;;nan;<NA>;<NA>;Rio de Janeiro Botanical Garden Herbarium;RB00042092;0;0;0;;;0;;;;0;0;0;RB00042092;8818;alba;P.J.M. Maas;<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Reserva Biológica de Duas Bocas. Localidade de Duas Bocas, Trilha do Pescador. Floresta Ombrófila Densa Baixo Montana.;-20.278889;-40.478333;Labiak, PH ;5000;20;10;2008;Lopes, JC;<NA>;<NA>;MBML;MBML037745;0;0;0;;;0;;;;0;0;0;MBML037745;5000;bryotrophe;P.H. Labiak;Lopes, J.C.
Hornschuchia leptandra D.M.Johnson;Hornschuchia;BR;Algodão. Mata ombrófila densa.;-12.166667;-37.966667;Popovkin, AV;2069;27;10;2018;nan;<NA>;JBRJ;RB;RB01465550;0;0;0;;;0;;;;0;0;0;RB01465550;2069;leptandra;"Popovkin, A.V.; Dias, M.F.";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;ca 25,1km na estrada Itabela-Guaratinga, saindo da BR-101. Entrada em estrada de terra à direita, no sentido Itabela-Guaratinga.;-16.563389;-39.752639;Groppo, M;1808;24;1;2009;nan;2013-01-01T00:00:00;FFCLRP;SPFR;14162;0;0;0;;;0;1;1;2013;0;0;0;SPFR14162;1808;bryotrophe;"Groppo, M.; Bruniera, C.P.; Bueno, G.M.";Lopes, J.C
Hornschuchia Nees;Hornschuchia;BR;Rodovia ES-080, de Pancas a Colatina, entrada à dir., ca. 24 km antes de Colatina, bifurcação à esq. por 3 km. Pequeno fragmento de floresta ombrófila nas imediações do Rio Pancas.;-19.404722;-40.704167;Fiaschi, P;5238;15;2;2020;nan;<NA>;Universidade Federal de Santa Catarina;FLOR;70553;0;0;0;;;0;;;;0;0;0;FLOR70553;5238;;"Fiaschi, P.; Bilk, K.D.; Augustin, A.F.";<NA>
Hornschuchia polyantha Maas;Hornschuchia;BR;Brazil, Bahia, Mun. de Una, estrada Sao Jose-Una, coletas efetuadas no km 9 a partir da BR, Fda. Santa Rosa;;;Amorim, AM;"Amorim, AM; et al.  827 ";8;10;1992;nan;<NA>;<NA>;Botany;L  0299403;0;0;0;Amorim;;0;;;;0;0;0;L0299403;827;polyantha;"Amorim AM; et al.";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Brazil, Espirito Santo, Linhares, Reserva Florestal da Companhia Vale do Rio Doce, Estrada Municipal MME, 1 km from BR-101;;;Maas, PJM;"Maas, PJM; et al.  8829 ";13;2;1999;Maas, PJM;<NA>;<NA>;Botany;L  0299165;0;0;0;Maas;;0;;;;0;0;0;L0299165;8829;bryotrophe;"Maas PJM; et al.";Maas PJM
Hornschuchia alba (A.St.-Hil.) R.E.Fr.;Hornschuchia;BR;<NA>;;;Maas, PJM;"Maas, PJM; et al.  8818 ";8;2;1999;Maas, PJM;<NA>;<NA>;Botany;L  0712359;0;0;0;Maas;;0;;;;0;0;0;L0712359;8818;alba;"Maas PJM; et al.";Maas PJM
Hornschuchia citriodora D.M.Johnson;Hornschuchia;BR;Brazil, Espirito Santo, Linhares, Reserva Florestal da CVRD (Companhia Vale do Rio Doce). Estrada Municipal MME, 1 km from BR-101;-19.116667;-40.066667;Maas, PJM;"Maas, PJM; et al.  8828 ";13;2;1999;Maas, PJM;<NA>;<NA>;Botany;L  0299134;0;0;0;Maas;;0;;;;0;0;0;L0299134;8828;citriodora;"Maas PJM; et al.";Maas PJM
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Brazil, Bahia, Mun. de Uruçuca, Distrito de Serra Grande, 7.3 km na estrada Serra Grande - Itacare. Fda. Lagoa do Conjunto Fda. Santa Cruz;-14.416667;-39.016667;Amorim, AM;"Amorim, AM; et al.  794 ";6;10;1992;Johnson, DM;<NA>;<NA>;Botany;L  0299141;0;0;0;Amorim;;0;;;;0;0;0;L0299141;794;obliqua;"Amorim AM; et al.";Johnson DM
Hornschuchia leptandra D.M.Johnson;Hornschuchia;BR;Brazil, Bahia, Mun. de Itabuna, Reserva Florestal da CEPLAC, Quadra D, km 22 da Rod. Ilheus/Itabuna;;;Amorim, AM;"Amorim, AM; et al.  858 ";9;10;1992;Johnson, DM;<NA>;<NA>;Botany;L  0299213;0;0;0;Amorim;;0;;;;0;0;0;L0299213;858;leptandra;"Amorim AM; et al.";Johnson DM
Hornschuchia Nees;Hornschuchia;BR;CVRD.;;;Folli, DA;"Folli, DA; Maas, PJM  1699 ";1;10;1992;nan;<NA>;<NA>;Botany;L  0298946;0;0;0;Folli;;0;;;;0;0;0;L0298946;1699;;"Folli DA; Maas PJM";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Brazil, Bahia, Mun. Ibicarai, Rodovia BR-415, 40 km W de Itabuna;;;Mori, SA;"Mori, SA; et al.  9368 ";2;3;1978;nan;<NA>;<NA>;Botany;L  0299084;0;0;0;Mori;;0;;;;0;0;0;L0299084;9368;bryotrophe;"Mori SA; et al.";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;<NA>;;;Santos, TS dos;Santos, TS dos  1168 ;1;1;1967;nan;<NA>;<NA>;Botany;L  0298925;0;0;0;Santos;;0;;;;0;0;0;L0298925;1168;bryotrophe;Santos TS dos;<NA>
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Regiao Cacaueira da BahiaMunicípio de Cairú. Estrada Caíru/Ituberá, km 8 SW de Caíru.;;;Carvalho, AMV de;"Carvalho, AMV de; Gatti, J  798 ";26;7;1981;Johnson, DM;<NA>;<NA>;Botany;L  0299089;0;0;0;Carvalho;;0;;;;0;0;0;L0299089;798;obliqua;"Carvalho AMV de; Gatti J";Johnson DM
Hornschuchia Nees;Hornschuchia;BR;Rodovia Una-Ilhéus, floresta de tabuleiro na entrada à esquerda da rodovia (sentido Una).;-15.218889;-39.032778;Fernandes, T ;596;9;11;2019;nan;<NA>;JBRJ;RB;RB01452755;0;0;0;;;0;;;;0;0;0;RB01452755;596;;"T. Fernandes; F.R.N. Fraga, T. Lorenzetti & V. Rodisnky";<NA>
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Margem de estrada de terra, na beira da Reserva Biológica de Una;-15.223333;-39.031944;Constantino, MRL ;2466;14;11;2017;Amorim, A ;2022-03-01T00:00:00;JBRJ;RB;RB01452659;0;0;0;;;0;1;3;2022;0;0;0;RB01452659;2466;bryotrophe;"M.R.L. Constantino; J.E.Q. Faria & C.S. Caires";A. Amorim
Hornschuchia alba (A.St.-Hil.) R.E.Fr.;Hornschuchia;BR;Praia de Caravelas. Estrada de acesso a Casa 8. Parque Estadual da Costa do Sol;-22.811944;-41.951667;Verdi, M ;8152;10;12;2017;Gomes, M ;2018-07-24T00:00:00;JBRJ;RB;RB01449581;0;0;0;;;0;24;7;2018;0;0;0;RB01449581;8152;alba;"M. Verdi; C. Baez, E. Fernandez, R. Gomes";M. Gomes
Hornschuchia bryotrophe Nees;Hornschuchia;BR;<NA>;-19.528889;-40.449722;Mazziero, FFF;4245;11;11;2018;Mazziero, FFF;<NA>;MBM;MBM;MBM421151;0;0;0;;;0;;;;0;0;0;MBM421151;4245;bryotrophe;"Mazziero, F.F.F.;Bonin Junior, P.";Mazziero, F.F.F.
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Ca. 25,1 km na estrada Itabela-Guaratinga, saindo da BR 101, entrada em estrada de terra, no sentido Itabela-Guaratinga.;-16.563333;-39.7525;Groppo, M ;1808;24;1;2009;nan;2021-11-01T00:00:00;JBRJ;RB;RB01440856;0;0;0;;;0;1;11;2021;0;0;0;RB01440856;1808;bryotrophe;"M. Groppo; C.P. Bruniera; G.M. Bueno";A.Lobão
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Estrada de terra à esquerda entre a Reserva Ecológica Una;-15.223333;-39.031944;Faria, JEQ ;8260;14;10;2017;nan;2022-05-01T00:00:00;JBRJ;RB;RB01439802;0;0;0;;;0;1;5;2022;0;0;0;RB01439802;8260;bryotrophe;"J.E.Q. Faria; M.R.V. Zanatta & C.S. Caires";A. Lobão & L. Teixeita
Hornschuchia bryotrophe Nees;Hornschuchia;BR;Rodovia ES-356 (Marilândia x São Rafael). Distrito de Aparecida.;-19.408056;-40.473333;Cribari, RS;202;17;2;2021;nan;<NA>;UFES;VIES;49485;0;0;0;;;0;;;;0;0;0;VIES49485;202;bryotrophe;"Cribari, R.S.; Assis, A.M.";<NA>
