huh_name;scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;geo_col;wiki_url
Agama, José;0;Neo-uvaria;acuminatissima;0;0;Agama, J;;<NA>;nan;<NA>;01/10/1914 - 30/11/1914;1;10;1914;nan;<NA>;;;;0;Philippines;0;Philippines. Lanao District, Mindanao;0;124.113;7.912;0;0;P00267950;P00267950;Agama;Lanao del Norte;0;Agama, J.;<NA>;Malaysia, Philippines;0
Agama, José;0;Polyalthia;sp.;0;0;Agama, J;;<NA>;nan;<NA>;01/05/1914 - 31/05/1914;1;5;1914;nan;<NA>;;;;0;Philippines;0;Philippines. Palawan;0;118.75;10.0;0;0;P01983407;P01983407;Agama;Palawan;0;Agama, J.;<NA>;Malaysia, Philippines;0
Ahern, George Patrick;0;Polyalthia;flava;0;0;Ahern;;<NA>;nan;<NA>;01/11/1904 - 31/12/1904;1;11;1904;nan;<NA>;;;;0;Philippines;0;Philippines. Bosoboso. Province of Rizal, Luzon;0;121.2395;14.639;0;0;P00372684;P00372684;Ahern;Rizal;0;Ahern;<NA>;Philippines;0
Ahern, George Patrick;0;Miliusa;vidalii;0;0;Ahern;;<NA>;nan;<NA>;01/04/1904 - 30/04/1904;1;4;1904;Mols, JB;01/03/2004 - 31/03/2004;1;3;2004;0;Philippines;0;Philippine Forest. Antipolo, Province of Rizal, Luzon;0;121.1758611;14.5870262;0;0;P00160920;P00160920;Ahern;Rizal;0;Ahern;Mols, J.B.;Philippines;0
Ahern, George Patrick;0;Mitrephora;reflexa;0;0;Ahern;;<NA>;nan;<NA>;01/03/1905 - 31/03/1905;1;3;1905;nan;<NA>;;;;0;Philippines;0;Philippines. Province of Rizal, Luzon.;0;121.25;14.65;0;0;P00389822;P00389822;Ahern;Rizal;0;Ahern;<NA>;Philippines;0
Ai, L;0;Desmos;dubius;0;0;Ai, L;;<NA>;nan;<NA>;08/08/1922 - 08/08/1922;8;8;1922;Wun, NK;01/08/2010 - 31/08/2010;1;8;2010;0;Thaïlande;0;Doi Sutep;0;98.921;18.804000000000002;0;0;P00234249;P00234249;Ai;Chiang Mai(เชียงใหม่);0;Lung Ai;Ng Kwok Wun;<NA>;<NA>
Alvarez, Ramon J.;0;Cyathocalyx;globosus;0;0;Alvarez, RJ;;<NA>;nan;<NA>;01/08/1909 - 31/08/1909;1;8;1909;nan;<NA>;;;;0;Philippines;0;Philippines. Bataan Prov., Luzon.;0;120.417;14.667;0;0;P01981673;P01981673;Alvarez;Bataan;0;Alvarez, R.J.;<NA>;Philippines;0
Anderson;0;Annona;squamosa;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcuttensis.;0;88.288;22.558;0;0;P01983522;P01983522;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Cananga;odorata;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcuttensis.;0;88.288;22.558;0;0;P01986338;P01986338;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Desmos;chinensis;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcutta;0;88.289;22.558;0;0;P01753384;P01753384;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Fissistigma;wallichii;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcuttensis.;0;88.288;22.558;0;0;P00751015;P00751015;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Polyalthia;longifolia;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcutta;0;88.2911111111111;22.55666666666667;0;0;P01988667;P01988667;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Polyalthia;simiarum;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcuttensis.;0;88.288;22.558;0;0;P01988730;P01988730;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Uvaria;cordata;0;0;Anderson;;<NA>;nan;<NA>;01/01/1866 - 31/12/1866;1;1;1866;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcuttensis.;0;88.288;22.558;0;0;P00247955;P00247955;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
Anderson;0;Desmos;cochinchinensis;0;0;Anderson;;<NA>;nan;<NA>;<NA>;;;;nan;<NA>;;;;0;Inde;0;Cult. in Hort. Bot. Calcuttensis;0;88.288;22.558;0;0;P02007347;P02007347;Anderson;West Bengal;0;Anderson;<NA>;<NA>;<NA>
