recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;huh_name;geo_col;wiki_url;colnum;orig_bc;orig_recby;orig_detby
Pierre, L;744;Pierre, L;<NA>;24/05/1870 - 24/05/1870;Kampot;in montibus Tamire in prov. Tpong Cambodiae;P00253435;Cambodge;Goniothalamus;tamirensis;0;0;0;0;;;24;5;1870;;;;0;0;0;104.0109;10.7048;0;0;0;0;0;744;P00253435;Pierre, L.;Pierre, L.
Pierre, L;744 b;nan;<NA>;01/04/1870 - 30/04/1870;Kampong Speu;in montibus Aral ? in prov. Samrong tong, Cambodiae;P00253436;Cambodge;Goniothalamus;tamirensis;0;0;0;0;;b;1;4;1870;;;;0;0;0;104.171;12.0325;0;0;0;0;0;744;P00253436;Pierre, L.;<NA>
Pierre, L;744 b;nan;<NA>;01/07/1874 - 31/07/1874;Kampot;basi montis Cam chay Cambodiae prope Kamput;P00253437;Cambodge;Goniothalamus;tamirensis;0;0;0;0;;b;1;7;1874;;;;0;0;0;103.97078;10.97267;0;0;0;0;0;744;P00253437;Pierre, L.;<NA>
Clemens, J;3390;Saunders, RMK;01/06/2003 - 30/06/2003;04/06/1927 - 13/06/1927;Đà Nẵng;Tourane, Annam, Indo China.;P00253438;Viet Nam;Goniothalamus;touranensis;0;0;0;0;;;4;6;1927;1;6;2003;0;0;0;108.22083333333333;16.067777777777778;0;0;0;0;0;3390;P00253438;Clemens, J.;Saunders, R.M.K.
Poilane;6924;Saunders, RMK;01/06/2003 - 30/06/2003;08/07/1923 - 08/07/1923;Đà Nẵng;Annam : Ba na près Tourane. Forêt 1500 m alt.;P00253439;Viet Nam;Goniothalamus;touranensis;0;0;0;0;;;8;7;1923;1;6;2003;0;0;0;107.989;15.998;0;0;0;0;0;6924;P00253439;Poilane;Saunders, R.M.K.
Zollinger;2700;Zollinger;<NA>;21/02/1845 - 21/02/1845;East Java;Planta Javanica. ad rupes ins. Nusa Baran;P00260000;Indonésie;Uvaria;ovalifolia;0;0;0;0;;;21;2;1845;;;;0;0;0;113.339;-8.4766;0;0;0;0;0;2700;P00260000;Zollinger;Zollinger
Robinson, CB;79;nan;<NA>;01/07/1913 - 30/11/1913;Maluku;Amboina;P00260001;Indonésie;Uvaria;musaria;0;0;0;0;;;1;7;1913;;;;0;0;0;128.183;-3.62;0;0;0;0;0;79;P00260001;Robinson, C.B.;<NA>
Blume;;Blume;<NA>;<NA>;;Java;P00260002;Indonésie;Uvaria;montana;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;0;0;0;nan;P00260002;Blume;Blume
Elmer, ADE;17399;Meade, C;01/01/2000 - 31/12/2000;01/09/1916 - 30/09/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.;P00260005;Philippines;Uvaria;micrantha;0;0;0;0;;;1;9;1916;1;1;2000;0;0;0;124.055;12.766;0;0;0;0;0;17399;P00260005;Elmer, A.D.E.;Meade, C.
Merrill, ED;9271;Meade, C;01/01/2000 - 31/12/2000;01/05/1913 - 31/05/1913;Palawan;Philippines. Taytay. Palawan;P00260006;Philippines;Uvaria;micrantha;0;0;0;0;;;1;5;1913;1;1;2000;0;0;0;119.5159199;10.8264031;0;0;0;0;0;9271;P00260006;Merrill, E.D.;Meade, C.
Merrill, ED;9271;Meade, C;01/01/2000 - 31/12/2000;01/05/1913 - 31/05/1913;Palawan;Philippines. Taytay. Palawan;P00260007;Philippines;Uvaria;micrantha;0;0;0;0;;;1;5;1913;1;1;2000;0;0;0;119.5159199;10.8264031;0;0;0;0;0;9271;P00260007;Merrill, E.D.;Meade, C.
Ramos, M;;Meade, C;01/01/2000 - 31/12/2000;01/09/1922 - 30/09/1922;Palawan;Philippines. Busuanga Island;P00260008;Philippines;Uvaria;micrantha;0;0;0;0;<NA>;<NA>;1;9;1922;1;1;2000;0;0;0;120.03;12.145;0;0;0;0;0;nan;P00260008;Ramos, M.;Meade, C.
Ramos, M;44124;Meade, C;01/01/2000 - 31/12/2000;01/07/1924 - 31/08/1924;Tawi-Tawi;Philippines. Tawitawi. Sulu Province;P00260009;Philippines;Uvaria;micrantha;0;0;0;0;;;1;7;1924;1;1;2000;0;0;0;120.034;5.198;0;0;0;0;0;44124;P00260009;Ramos, M.;Meade, C.
Zollinger;961;Meade, C;01/01/2000 - 31/12/2000;25/12/1842 - 25/12/1842;Banten;Planta Javanica. Am Tjuruk (Wasserfall) Tjigalin bei Tjikoya.;P00260010;Indonésie;Uvaria;micrantha;0;0;0;0;;;25;12;1842;1;1;2000;0;0;0;106.4118;-6.3356;0;0;0;0;0;961;P00260010;Zollinger;Meade, C.
Zollinger;1412;Reveillard, C;01/08/2002 - 31/08/2002;12/02/1846 - 12/02/1846;West Java;Planta Javanica. HBB;P00260015;Indonésie;Uvaria;lurida;0;0;0;0;;;12;2;1846;1;8;2002;0;0;0;106.797;-6.597;0;0;0;0;0;1412;P00260015;Zollinger;Reveillard, C.
Teijsmann;3797;nan;<NA>;<NA>;;Iter Javanicum secundum;P00260016;Indonésie;Uvaria;lurida;0;0;0;0;;;;;;;;;0;0;0;;;0;0;0;0;0;3797;P00260016;Teijsmann;<NA>
Yates, HS;1719;nan;<NA>;<NA>;North Sumatra;Sumatra (East coast). Asahan. Goerach Batoe.;P00260017;Indonésie;Uvaria;lobbiana;0;0;0;0;;;;;;;;;0;0;0;99.664;2.855;0;0;0;0;0;1719;P00260017;Yates, H.S.;<NA>
Forman, LL;599;nan;<NA>;12/11/1936 - 12/11/1936;;Java. Culta in Hort. Bogor sub No. XVI.E.3. Originally from Sumatra. 250 m. alt.;P00260018;Indonésie;Uvaria;littoralis;0;0;0;0;;;12;11;1936;;;;0;0;0;;;0;0;0;0;0;599;P00260018;Forman, L.L.;<NA>
Elmer, ADE;20604;nan;<NA>;01/10/1922 - 31/03/1923;Sabah;Tawao, Elphinstone Province, British North Borneo;P00260019;Malaisie;Uvaria;littoralis;0;0;0;0;;;1;10;1922;;;;0;0;0;117.885331;4.2435206;0;0;0;0;0;20604;P00260019;Elmer, A.D.E.;<NA>
Ramos, M;46784;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P00260020;Philippines;Uvaria;leytensis;0;0;0;0;;;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;0;0;0;46784;P00260020;Ramos, M.;<NA>
Elmer, ADE;13880;Elmer, ADE;<NA>;01/09/1912 - 30/09/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. Island of Mindanao.;P00260021;Philippines;Uvaria;leytensis;0;0;0;0;;;1;9;1912;;;;0;0;0;125.532318;9.1231657;0;0;0;0;0;13880;P00260021;Elmer, A.D.E.;Elmer, A.D.E.
