recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url
Agama, J;;nan;<NA>;01/10/1914 - 30/11/1914;Lanao del Norte;Philippines. Lanao District, Mindanao;P00267950;Philippines;Neo-uvaria;acuminatissima;0;0;0;0;<NA>;<NA>;1;10;1914;;;;0;0;0;124.113;7.912;0;0;nan;P00267950;Agama, J.;<NA>;Agama;Agama, José;Malaysia, Philippines;0
Agama, J;;nan;<NA>;01/05/1914 - 31/05/1914;Palawan;Philippines. Palawan;P01983407;Philippines;Polyalthia;sp.;0;0;0;0;<NA>;<NA>;1;5;1914;;;;0;0;0;118.75;10.0;0;0;nan;P01983407;Agama, J.;<NA>;Agama;Agama, José;Malaysia, Philippines;0
Ahamad;;Sinclair, J;<NA>;29/05/1949 - 29/05/1949;North-West;Malay Peninsula. Choa Chu Kang, Singapore.;P01954630;Singapour;Fissistigma;manubriatum;0;0;0;0;<NA>;<NA>;29;5;1949;;;;0;0;0;103.743728;1.3892601;0;0;nan;P01954630;Ahamad;Sinclair, J.;Ahamad;Haji Mahamad, Aini bin;Malaysia;0
Ahern;;nan;<NA>;01/11/1904 - 31/12/1904;Rizal;Philippines. Bosoboso. Province of Rizal, Luzon;P00372684;Philippines;Polyalthia;flava;0;0;0;0;<NA>;<NA>;1;11;1904;;;;0;0;0;121.2395;14.639;0;0;nan;P00372684;Ahern;<NA>;Ahern;Ahern, George Patrick;Philippines;0
Ahern;;Mols, JB;01/03/2004 - 31/03/2004;01/04/1904 - 30/04/1904;Rizal;Philippine Forest. Antipolo, Province of Rizal, Luzon;P00160920;Philippines;Miliusa;vidalii;0;0;0;0;<NA>;<NA>;1;4;1904;1;3;2004;0;0;0;121.1758611;14.5870262;0;0;nan;P00160920;Ahern;Mols, J.B.;Ahern;Ahern, George Patrick;Philippines;0
Ahern;;nan;<NA>;01/03/1905 - 31/03/1905;Rizal;Philippines. Province of Rizal, Luzon.;P00389822;Philippines;Mitrephora;reflexa;0;0;0;0;<NA>;<NA>;1;3;1905;;;;0;0;0;121.25;14.65;0;0;nan;P00389822;Ahern;<NA>;Ahern;Ahern, George Patrick;Philippines;0
Ai, L;;Wun, NK;01/08/2010 - 31/08/2010;08/08/1922 - 08/08/1922;Chiang Mai(เชียงใหม่);Doi Sutep;P00234249;Thaïlande;Desmos;dubius;0;0;0;0;<NA>;<NA>;8;8;1922;1;8;2010;0;0;0;98.921;18.804000000000002;0;0;nan;P00234249;Lung Ai;Ng Kwok Wun;Ai;Ai, L;<NA>;<NA>
Alvarez, RJ;;nan;<NA>;01/08/1909 - 31/08/1909;Bataan;Philippines. Bataan Prov., Luzon.;P01981673;Philippines;Cyathocalyx;globosus;0;0;0;0;<NA>;<NA>;1;8;1909;;;;0;0;0;120.417;14.667;0;0;nan;P01981673;Alvarez, R.J.;<NA>;Alvarez;Alvarez, Ramon J.;Philippines;0
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P00247955;Inde;Uvaria;cordata;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.288;22.558;0;0;nan;P00247955;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P01986338;Inde;Cananga;odorata;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.288;22.558;0;0;nan;P01986338;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcutta;P01988667;Inde;Polyalthia;longifolia;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.2911111111111;22.55666666666667;0;0;nan;P01988667;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P01988730;Inde;Polyalthia;simiarum;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.288;22.558;0;0;nan;P01988730;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;<NA>;West Bengal;Cult. in Hort. Bot. Calcuttensis;P02007347;Inde;Desmos;cochinchinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;88.288;22.558;0;0;nan;P02007347;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcutta;P01753384;Inde;Desmos;chinensis;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.289;22.558;0;0;nan;P01753384;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P01983522;Inde;Annona;squamosa;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.288;22.558;0;0;nan;P01983522;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Anderson;;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P00751015;Inde;Fissistigma;wallichii;0;0;0;0;<NA>;<NA>;1;1;1866;;;;0;0;0;88.288;22.558;0;0;nan;P00751015;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>
Backer, CA;;Backer, CA;<NA>;01/10/1903 - 31/10/1903;Jakarta;Archipel. Ind. Java. Batavia. Kondangdia.;P01983925;Indonésie;Polyalthia;micrantha;0;0;0;0;<NA>;<NA>;1;10;1903;;;;0;0;0;106.82873163612408;-6.191853;0;0;nan;P01983925;Backer, C.A.;Backer, C.A.;Backer;Backer, Cornelis Andries B.;Indonesia, Netherlands, Singapore;0
Balansa;;nan;<NA>;<NA>;;Tonkin.;P02082348;Viet Nam;<NA>;indet.;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02082348;Balansa;<NA>;Balansa;Balansa;<NA>;<NA>
Balansa;;Kessler, P;09/09/1985 - 09/09/1985;<NA>;;Tonkin;P01967204;Viet Nam;Orophea;sp.;0;0;0;0;<NA>;<NA>;;;;9;9;1985;0;0;0;;;0;0;nan;P01967204;Balansa;Kessler, P.;Balansa;Balansa;<NA>;<NA>
Balansa;;nan;<NA>;<NA>;;Tonkin.;P02007353;Viet Nam;Desmos;cochinchinensis;0;0;0;0;<NA>;<NA>;;;;;;;0;0;0;;;0;0;nan;P02007353;Balansa;<NA>;Balansa;Balansa;<NA>;<NA>
Balansa, B;;nan;<NA>;15/06/1886 - 15/06/1886;Quảng Ninh;Tonkin. Tankeuïn, près de Quang-yen, dans les jardins.;P02006218;Viet Nam;Xylopia;vielana;0;0;0;0;<NA>;<NA>;15;6;1886;;;;0;0;0;106.8025;20.942;0;0;nan;P02006218;Balansa, B.;<NA>;Balansa;Balansa, Benedict;Algeria, Indonesia, Morocco, New Caledonia, Paraguay, Singapore, Vietnam;0
Barthe;;Wun, NK;01/08/2010 - 31/08/2010;01/01/1857 - 31/12/1857;Hong Kong(香港);Chine. Hong-Kong;P00234173;Chine;Desmos;chinensis;0;0;0;0;<NA>;<NA>;1;1;1857;1;8;2010;0;0;0;114.163;22.279;0;0;nan;P00234173;Barthe;Ng Kwok Wun;Barthe;Barthe;<NA>;<NA>
Barthe;;Kessler, P;26/10/1989 - 26/10/1989;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P02034807;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;nan;P02034807;Barthe;Kessler, P.;Barthe;Barthe;<NA>;<NA>
