scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. Eil. Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1036 ;9;4;1919;Heusden, ECH van;<NA>;<NA>;Botany;L.1770285;0;0;0;Achmad;;0;;;;0;0;0;L1770285;1036;burahol;Achmad;Heusden ECH van;Achmad;<NA>;<NA>;<NA>;Stelechocarpus;burahol
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. Eil. Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1036 ;9;4;1919;Heusden, ECH van;<NA>;<NA>;Botany;L.1770286;0;0;0;Achmad;;0;;;;0;0;0;L1770286;1036;burahol;Achmad;Heusden ECH van;Achmad;<NA>;<NA>;<NA>;Stelechocarpus;burahol
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. Eil Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;Weerasooriya, AD;2001-03-01T00:00:00;<NA>;Botany;L.1762097;0;0;0;Achmad;;0;1;3;2001;0;0;0;L1762097;1298;simeuluensis;Achmad;Weerasooriya AD;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. Eil Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;Weerasooriya, AD;2001-03-01T00:00:00;<NA>;Botany;L.1762096;0;0;0;Achmad;;0;1;3;2001;0;0;0;L1762096;1298;simeuluensis;Achmad;Weerasooriya AD;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. Eil Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;Weerasooriya, AD;2001-03-01T00:00:00;<NA>;Botany;L.1762100;0;0;0;Achmad;;0;1;3;2001;0;0;0;L1762100;1298;simeuluensis;Achmad;Weerasooriya AD;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;<NA>;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;nan;<NA>;<NA>;Botany;U.1073735;0;0;0;Achmad;;0;;;;0;0;0;U1073735;1298;simeuluensis;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;<NA>;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;nan;<NA>;<NA>;Botany;U.1073736;0;0;0;Achmad;;0;;;;0;0;0;U1073736;1298;simeuluensis;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;<NA>;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;nan;<NA>;<NA>;Botany;U.1073737;0;0;0;Achmad;;0;;;;0;0;0;U1073737;1298;simeuluensis;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Mitrephora;simeuluensis
Polyalthia Blume;Polyalthia;ID;Eil. Simaloer bij Sumatra, Landschap Tapah;-2.05;101.3;Achmad;Achmad  1476 ;29;10;1919;nan;<NA>;<NA>;Botany;L.1764069;0;0;0;Achmad;;0;;;;0;0;0;L1764069;1476;;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Polyalthia;
Polyalthia Blume;Polyalthia;ID;Eil. Simaloer bij Sumatra, Landschap Tapah;-2.05;101.3;Achmad;Achmad  1476 ;29;10;1919;nan;<NA>;<NA>;Botany;L.1764070;0;0;0;Achmad;;0;;;;0;0;0;L1764070;1476;;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Polyalthia;
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Simaloer bij Sumatra;2.58;96.08;Achmad;Achmad  22 ;10;10;1917;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754034;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754034;22;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Simaloer bij Sumatra;2.58;96.08;Achmad;Achmad  22 ;10;10;1917;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754035;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754035;22;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Simaloer bij Sumatra;2.58;96.08;Achmad;Achmad  230 ;9;2;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754036;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754036;230;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Simaloer bij Sumatra;2.58;96.08;Achmad;Achmad  230 ;9;2;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754038;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754038;230;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Simaloer bij Sumatra;2.58;96.08;Achmad;Achmad  230 ;9;2;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754037;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754037;230;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;ID;Indonesia, Sumatra, eiland Simaloer;2.58;96.08;Achmad;Achmad  275 ;1;1;1918;Su, YCF;2001-12-01T00:00:00;<NA>;Botany;L.1764288;0;0;0;Achmad;;0;1;12;2001;0;0;0;L1764288;275;reticulata;Achmad;Su YCF;Achmad;<NA>;<NA>;<NA>;Pseuduvaria;reticulata
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;ID;Indonesia, Sumatra, eiland Simaloer;2.58;96.08;Achmad;Achmad  275 ;1;1;1918;Su, YCF;2001-12-01T00:00:00;<NA>;Botany;L.1764232;0;0;0;Achmad;;0;1;12;2001;0;0;0;L1764232;275;reticulata;Achmad;Su YCF;Achmad;<NA>;<NA>;<NA>;Pseuduvaria;reticulata
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;ID;Indonesia, Sumatra, eiland Simaloer;2.58;96.08;Achmad;Achmad  275 ;1;1;1918;Su, YCF;2001-12-01T00:00:00;<NA>;Botany;L.1764229;0;0;0;Achmad;;0;1;12;2001;0;0;0;L1764229;275;reticulata;Achmad;Su YCF;Achmad;<NA>;<NA>;<NA>;Pseuduvaria;reticulata
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;ID;Indonesia, Sumatra, eiland Simaloer;2.58;96.08;Achmad;Achmad  275 ;1;1;1918;Su, YCF;2001-12-01T00:00:00;<NA>;Botany;L.1764231;0;0;0;Achmad;;0;1;12;2001;0;0;0;L1764231;275;reticulata;Achmad;Su YCF;Achmad;<NA>;<NA>;<NA>;Pseuduvaria;reticulata
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Sumaloer bij Sumatra;2.58;96.08;Achmad;Achmad  347 ;4;4;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754052;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754052;347;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Sumaloer bij Sumatra;2.58;96.08;Achmad;Achmad  347 ;4;4;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754051;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754051;347;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Sumaloer bij Sumatra;2.58;96.08;Achmad;Achmad  433 ;7;5;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754047;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754047;433;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Cyathocalyx carinatus (Ridl.) J.Sinclair;Drepananthus;ID;Sumaloer bij Sumatra;2.58;96.08;Achmad;Achmad  433 ;7;5;1918;Wang, R;2004-01-01T00:00:00;<NA>;Botany;L.1754046;0;0;0;Achmad;;0;1;1;2004;0;0;0;L1754046;433;carinatus;Achmad;Wang R;Achmad;<NA>;<NA>;<NA>;Drepananthus;carinatus
Polyalthia Blume;Polyalthia;ID;Archipel. Ind. Eil: Simaloer bij Sumatra.;2.5816665;96.0816665;Achmad;Achmad  440 ;8;5;1918;nan;<NA>;<NA>;Botany;L.1764047;0;0;0;Achmad;;0;;;;0;0;0;L1764047;440;;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Polyalthia;
Polyalthia Blume;Polyalthia;ID;Eil. Simaloer bij Sumatra;2.5816665;96.0816665;Achmad;Achmad  440 ;1;1;1918;nan;<NA>;<NA>;Botany;L.1763665;0;0;0;Achmad;;0;;;;0;0;0;L1763665;440;;Achmad;<NA>;Achmad;<NA>;<NA>;<NA>;Polyalthia;
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;Sumatra, Eil. Simaloer;2.583333;96.083333;Achmad;Achmad  479 ;8;6;1918;Smith, JJ;<NA>;<NA>;Botany;L.1762640;0;0;0;Achmad;;0;;;;0;0;0;L1762640;479;lateriflora;Achmad;Smith JJ;Achmad;<NA>;<NA>;<NA>;Polyalthia;lateriflora
Polyalthia lateriflora (Blume) Kurz;Polyalthia;ID;Sumatra, Eil. Simaloer;2.583333;96.083333;Achmad;Achmad  479 ;8;6;1918;Smith, JJ;<NA>;<NA>;Botany;L  0197493;0;0;0;Achmad;;0;;;;0;0;0;L0197493;479;lateriflora;Achmad;Smith JJ;Achmad;<NA>;<NA>;<NA>;Polyalthia;lateriflora
