;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
0;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
1;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
2;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
3;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
8;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin & et al.;1902;;<NA>;, -. Turkirin;recby_problem
9;E. A. Widjaja, -. Megawati, -. Hamzah;E. A. Widjaja, -. Megawati, -. Hamzah & W. Santoso;EAW9472;;<NA>;, -. Megawati, -. Hamzah;recby_problem
12;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
13;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
18;East Kalimantan Bogor Edinburgh (2016);East Kalimantan Bogor Edinburgh (2016);68;;<NA>; (2016);recby_problem
19;East Kalimantan Bogor Edinburgh (2016);East Kalimantan Bogor Edinburgh (2016);92;;<NA>; (2016);recby_problem
20;East Kalimantan Bogor Edinburgh (2016);East Kalimantan Bogor Edinburgh (2016);153;;<NA>; (2016);recby_problem
112;Neth. Ind. For. Service;Neth. Ind. For. Service;Neth. Ind. For. Service bb 16521 ;;"Johnson DM; Murray NA";Neth. Ind. For. Service;recby_problem
135;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
136;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
137;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
138;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
139;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
140;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
141;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
142;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
143;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
144;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
145;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
146;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
147;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
148;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
149;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
150;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
151;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
152;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
153;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
154;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
155;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
156;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
157;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
158;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
159;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
160;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
161;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
162;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
163;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
164;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
165;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
166;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
167;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
168;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
169;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
170;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
171;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
172;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
173;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
174;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
175;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
176;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
177;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
178;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
179;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
180;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
181;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
182;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
183;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
184;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
185;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
186;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
187;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
188;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
189;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
190;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
191;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
192;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
193;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
194;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
195;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
196;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
197;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
198;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
199;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
200;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
201;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
202;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
203;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
204;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
205;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
206;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
207;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
208;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
209;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
210;<NA>;<NA>;;;Katja Rembold;<NA>;recby_problem
289;<NA>;<NA>; bb 17683 ;;Kessler PJA;<NA>;recby_problem
294;<NA>;<NA>; bb 18196 ;;Steenis CGGJ van;<NA>;recby_problem
305;<NA>;<NA>; bb 16046 ;;Steenis CGGJ van;<NA>;recby_problem
307;<NA>;<NA>; bb 16969 ;;Steenis CGGJ van;<NA>;recby_problem
310;<NA>;<NA>; bb 17970 ;;Steenis CGGJ van;<NA>;recby_problem
315;<NA>;<NA>; bb 17336 ;;Steenis CGGJ van;<NA>;recby_problem
318;<NA>;<NA>; bb 24968 ;;<NA>;<NA>;recby_problem
329;<NA>;<NA>; bb 17335 ;;Steenis CGGJ van;<NA>;recby_problem
343;<NA>;<NA>; bb 17396 ;;Kessler PJA;<NA>;recby_problem
348;<NA>;<NA>; bb 21682 ;;Weerasooriya AD;<NA>;recby_problem
350;<NA>;<NA>; bb 15677 ;;<NA>;<NA>;recby_problem
351;Huta Galung A;Huta Galung A;Huta Galung, A bb 19332 ;;<NA>; A;recby_problem
352;<NA>;<NA>; bb 16519 ;;Steenis CGGJ van;<NA>;recby_problem
356;<NA>;<NA>; bb 16856 ;;Steenis CGGJ van;<NA>;recby_problem
359;<NA>;<NA>; bb 16104 ;;Steenis CGGJ van;<NA>;recby_problem
365;<NA>;<NA>; bb 14832 ;;<NA>;<NA>;recby_problem
370;<NA>;<NA>; bb 17503 ;;<NA>;<NA>;recby_problem
383;<NA>;<NA>; bb 13490 ;;Steenis CGGJ van;<NA>;recby_problem
386;<NA>;<NA>; bb 18190 ;;Steenis CGGJ van;<NA>;recby_problem
407;Kostermans, A.J.G.H.;"Kostermans, A.J.G.H.;Anta";50;;Sauquet, H.;H.;recby_problem
410;Kostermans, A.J.G.H.;"Kostermans, A.J.G.H.;Anta";264;;Sauquet, H.;H.;recby_problem
414;De Vogel, E.F.;De Vogel, E.F.;5627;;<NA>;, E.F.;recby_problem
416;<NA>;<NA>;3786;;<NA>;<NA>;recby_problem
417;W. J. J. O. de Wilde;W. J. J. O. de Wilde;20834;;<NA>;W. J. J. O. de Wilde;recby_problem
1743;-. Veldkamp;-. Veldkamp;8241;;<NA>;-. Veldkamp;recby_problem
1750;S. Tan, H. Balslev, I. Nielsen;S. Tan, H. Balslev, I. Nielsen & A. D. Poulsen;39;;<NA>;, H. Balslev, I. Nielsen;recby_problem
1758;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin & et al.;1896;;<NA>;, -. Turkirin;recby_problem
1762;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin & et al.;1829;;<NA>;, -. Turkirin;recby_problem
1777;-. Veldkamp;-. Veldkamp;8524;;<NA>;-. Veldkamp;recby_problem
1778;-. Veldkamp;-. Veldkamp;8303;;<NA>;-. Veldkamp;recby_problem
1783;-. Veldkamp;-. Veldkamp;8137;;<NA>;-. Veldkamp;recby_problem
1789;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin & et al.;1968;;<NA>;, -. Turkirin;recby_problem
1792;J. F. Veldkamp, H. P. Nooteboom, A. Brader, J. Mogea;J. F. Veldkamp, H. P. Nooteboom, A. Brader, J. Mogea & et al.;8264;;<NA>;, H. P. Nooteboom, A. Brader, J. Mogea;recby_problem
1794;-. Veldkamp;-. Veldkamp;8511;;<NA>;-. Veldkamp;recby_problem
1795;-. Veldkamp;-. Veldkamp;8432;;<NA>;-. Veldkamp;recby_problem
1807;-. Veldkamp;-. Veldkamp;8347;;<NA>;-. Veldkamp;recby_problem
1811;J. S. Burley, -. Turkirin;J. S. Burley, -. Turkirin & et al.;1942;;<NA>;, -. Turkirin;recby_problem
1855;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr, RC  s.n. ;;"Setten AK van; Heusden ECH van";Bakhuizen van den Brink Jr RC;recby_problem
1856;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen, WM  11295 ;;Moeljono S; WM;recby_problem
1860;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen, WM  9030 ;;Johnson DM; WM;recby_problem
1867;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen, WM  10619 ;;Diels FLE; WM;recby_problem
1868;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen, WM  11209 ;;Diels FLE; WM;recby_problem
1875;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr RC;Bakhuizen van den Brink Jr, RC  1827 ;;Heusden ECH van;Bakhuizen van den Brink Jr RC;recby_problem
1889;Docters van Leeuwen WM;Docters van Leeuwen WM;Docters van Leeuwen, WM  9003 ;;Diels FLE; WM;recby_problem
1891;Bünnemeijer HAB;Bünnemeijer HAB;Bünnemeijer, HAB  3210 ;;<NA>;Bünnemeijer HAB;recby_problem
