recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;to_check;to_check_det;genus_old;specific_epithet_old
Curran, HM;10572;Kessler, P;01/11/2003 - 30/11/2003;01/06/1908 - 30/06/1908;Albay;Philippines. Albay Prov., Luzon.;P01982963;Philippines;Polyalthia;sp.;0;0;0;0;;;1;6;1908;1;11;2003;0;0;0;123.55;13.216667;0;0;10572;P01982963;Curran, H.M.;Kessler, P.;Curran;;;Polyalthia;sp.
Curran, HM;10572;Kessler, P;<NA>;01/06/1908 - 30/06/1908;Albay;Philippines. Albay Prov., Luzon.;P01982962;Philippines;Polyalthia;sp.;0;0;0;0;;;1;6;1908;;;;0;0;0;123.55;13.216667;0;0;10572;P01982962;Curran, H.M.;Kessler, P.;Curran;;;Polyalthia;sp.
Elmer, ADE;15902;nan;<NA>;01/03/1916 - 31/08/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon, Luzon;P01986104;Philippines;Friesodielsia;bakeri;0;0;0;0;;;1;3;1916;;;;0;0;0;124.055;12.766;0;0;15902;P01986104;Elmer, A.D.E.;<NA>;Elmer;;;Friesodielsia;bakeri
Elmer, ADE;15902;nan;<NA>;01/04/1916 - 30/04/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), province of Sorsogon. Island of Luzon;P01986106;Philippines;Friesodielsia;bakeri;0;0;0;0;;;1;4;1916;;;;0;0;0;124.055;12.766;0;0;15902;P01986106;Elmer, A.D.E.;<NA>;Elmer;;;Friesodielsia;bakeri
Elmer, ADE;6369;nan;<NA>;01/05/1904 - 31/05/1904;Benguet;Philippines. Twin Peaks, Province of Benguet, Luzon.;P00248477;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1904;;;;0;0;0;120.56801515000001;16.2837264;0;0;6369;P00248477;Elmer, A.D.E.;<NA>;Elmer;;;Uvaria;rufa
Elmer, ADE;6369;nan;<NA>;01/05/1904 - 31/05/1904;Benguet;Philippines. Twin Peaks, Province of Benguet, Luzon.;P00248478;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1904;;;;0;0;0;120.56801515000001;16.2837264;0;0;6369;P00248478;Elmer, A.D.E.;<NA>;Elmer;;;Uvaria;rufa
Gaudichaud;26;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P01956189;Philippines;<NA>;indet.;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;26;P01956189;Gaudichaud;<NA>;Gaudichaud;;;<NA>;indet.
Gaudichaud;26;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P01956190;Philippines;<NA>;indet.;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;26;P01956190;Gaudichaud;<NA>;Gaudichaud;;;<NA>;indet.
Gaudichaud;26;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P01956191;Philippines;<NA>;indet.;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;26;P01956191;Gaudichaud;<NA>;Gaudichaud;;;<NA>;indet.
Gaudichaud;286;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P00260061;Philippines;Uvaria;cordata;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;286;P00260061;Gaudichaud;<NA>;Gaudichaud;;;Uvaria;cordata
Gaudichaud;286;nan;<NA>;01/11/1836 - 30/11/1836;National Capital Region (NCR);Manille;P00260062;Philippines;Uvaria;cordata;0;0;0;0;;;1;11;1836;;;;0;0;0;120.9809674;14.5907332;0;0;286;P00260062;Gaudichaud;<NA>;Gaudichaud;;;Uvaria;macrophylla
