;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
8;Calléry;Calléry;;;Meade, C.;Calléry;recby_problem
9;Calléry;Calléry;;;<NA>;Calléry;recby_problem
207;Fénix, E.;Fénix, E.;29992;;<NA>;Fénix, E.;recby_problem
360;<NA>;<NA>;2735;;<NA>;<NA>;recby_problem
815;Calléry;Calléry;6;;<NA>;Calléry;recby_problem
816;Calléry;Calléry;6;;<NA>;Calléry;recby_problem
817;Calléry;Calléry;19;;<NA>;Calléry;recby_problem
818;Calléry;Calléry;29;;<NA>;Calléry;recby_problem
1130;Edaño, G.;Edaño, G.;26907;;<NA>;Edaño, G.;recby_problem
1191;McGregor, R.C.;McGregor, R.C.;18547;;Kessler, P.;McGregor, R.C.;recby_problem
1197;McGregor, R.C.;McGregor, R.C.;;;van Heusden, E.C.H.;McGregor, R.C.;recby_problem
1212;McGregor, R.C.;McGregor, R.C.;26227;;<NA>;McGregor, R.C.;recby_problem
1224;Calléry;Calléry;;;Kessler, P.;Calléry;recby_problem
1231;Fénix, E.;Fénix, E.;1284;;<NA>;Fénix, E.;recby_problem
1238;Edaño, G.;Edaño, G.;;;<NA>;Edaño, G.;recby_problem
1259;Fénix, E.;Fénix, E.;;;Kessler, P.;Fénix, E.;recby_problem
1793;McGregor, R.C.;McGregor, R.C.;18783;;Kessler, P.;McGregor, R.C.;recby_problem
1797;McGregor, R.C.;McGregor, R.C.;;;Kessler, P.;McGregor, R.C.;recby_problem
2151;Edaño, G.;Edaño, G.;;;van Setten, A.K.;Edaño, G.;recby_problem
2154;Edaño, G.;Edaño, G.;;;<NA>;Edaño, G.;recby_problem
2249;Fénix, E.;Fénix, E.;28413;;<NA>;Fénix, E.;recby_problem
2850;McGregor, R.C.;McGregor, R.C.;;;<NA>;McGregor, R.C.;recby_problem
3472;Revel-MacDonald, N.;Revel-MacDonald, N.;235;;<NA>;Revel-MacDonald, N.;recby_problem
4343;McGregor, R.C.;McGregor, R.C.;;;Maas, P.J.M. et Westra, L.Y.T.;McGregor, R.C.;recby_problem
4345;Serviñas, V.;Serviñas, V.;16876;;Maas, P.J.M. & Westra, L.Y.T.;Serviñas, V.;recby_problem
4349;Calléry;Calléry;8;;Maas, P.J.M. & Westra, L.Y.T.;Calléry;recby_problem
4439;Edaño, G.;Edaño, G.;41670;;van Heusden, E.C.H.;Edaño, G.;recby_problem
4582;Strong Clemens, M.;Strong Clemens, M.;;;Rainer, H.;, M.;recby_problem
4723;Edaño, G.;Edaño, G.;;;<NA>;Edaño, G.;recby_problem
4842;Langlassé, E.;Langlassé, E.;127;;<NA>;Langlassé, E.;recby_problem
5046;Fénix, E.;Fénix, E.;;;Kessler, P.;Fénix, E.;recby_problem
