scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname
Polyalthia mindorensis Merr.;Polyalthia;PH;"7 km southwest Puerto Galera; west of marble quarry; Mt. Talipanan";13.4667;120.917;Burley, JS;Collector Number: 179;28;4;1987;Burley, JS;<NA>;BPBM;BISH;620169;0;0;0;Collector;;0;;;;0;0;0;BISH620169;179;mindorensis;Burley, J.S.;J.S.Burley;Burley
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"7 km southwest Puerto Galera; west of marble quarry; Mt. Talipanan";13.4667;120.917;Burley, JS;Collector Number: 181;28;4;1987;Burley, JS;<NA>;BPBM;BISH;620167;0;0;0;Collector;;0;;;;0;0;0;BISH620167;181;ophthalmicus;Burley, J.S.;J.S.Burley;Burley
Miliusa vidalii J.Sinclair;Miliusa;PH;Makiling forest.;14.135833;121.19;Palinoz, PP;Palinoz, PP  1630 ;10;8;1972;nan;<NA>;<NA>;Botany;L.3993724;0;0;0;Palinoz;;0;;;;0;0;0;L3993724;1630;vidalii;Palinoz PP;<NA>;Palinoz
Miliusa vidalii J.Sinclair;Miliusa;PH;Makiling forest.;14.135833;121.19;Palinoz, PP;Palinoz, PP  1630 ;10;8;1972;nan;<NA>;<NA>;Botany;L.3993723;0;0;0;Palinoz;;0;;;;0;0;0;L3993723;1630;vidalii;Palinoz PP;<NA>;Palinoz
Neo-uvaria viridifolia (Elmer) Chaowasku;Neo-Uvaria;PH;Philippines, Cabadbaran (Mt. Urdaneta), Province of Agusan, Island of Mindanao.;9.123611;125.534444;Elmer, ADE;Elmer, ADE  14184 ;1;10;1912;Chaowasku, T;<NA>;<NA>;Botany;U  0045418;0;0;0;Elmer;;0;;;;0;0;0;U0045418;14184;acuminatissima;Elmer ADE;Chaowasku T;Elmer
Goniothalamus elmeri Merr.;Goniothalamus;PH;Philippines, Luzon, Bataan Province, Lamao.;14.51;120.607777;Edaño, GE;Edaño, GE PNH 4169 ;1;11;1947;nan;nan;nan;Botany;L.3966178;0;0;0;Eda;nan;0;;;;0;0;0;L3966178;4169;elmeri;Edaño, GE;Merrill ED;
Maasia glauca (Hassk.) Mols, Kessler & Rogstad;Maasia;PH;Philippines, Mindanao, Davao Province, Mt. Hamiguitan.;6.745277;126.173611;Edaño, GE;Edaño, GE PNH 11127 ;1;8;1949;nan;nan;nan;Botany;L.1761228;0;0;0;Eda;nan;0;;;;0;0;0;L1761228;11127;glauca;Edaño, GE;;
Mitrephora sorsogonensis Elmer ex Weeras. & R.M.K.Saunders;Mitrephora;PH;Philippines, Luzon, Ilocos Norte Province, Mt. Quebrada.;18.490833;120.803056;Edaño, GE;Edaño, GE PNH 17901 ;28;2;1953;nan;2001-03-01T00:00:00;nan;Botany;L.1762102;0;0;0;Eda;nan;0;1;3;2001;0;0;0;L1762102;17901;sorsogonensis;Edaño, GE;Weerasooriya AD;
Mitrephora sorsogonensis Elmer ex Weeras. & R.M.K.Saunders;Mitrephora;PH;Philippines, Luzon, Ilocos Norte Province, Mt. Quebrada.;18.490833;120.803056;Edaño, GE;Edaño, GE PNH 17901 ;28;2;1953;nan;2001-03-01T00:00:00;nan;Botany;L.1762103;0;0;0;Eda;nan;0;1;3;2001;0;0;0;L1762103;17901;sorsogonensis;Edaño, GE;Weerasooriya AD;
Enicosanthum Becc.;Enicosanthum;PH;Philippines, Samar, Mt. Capotoan.;12.1528;124.9351;Edaño, GE;Edaño, GE PNH 15566 ;1;1;1952;nan;nan;nan;Botany;L.1754319;0;0;0;Eda;nan;0;;;;0;0;0;L1754319;15566;;Edaño, GE;Sinclair J;
Enicosanthum Becc.;Enicosanthum;PH;Philippines, Samar, Mt. Capotoan.;12.1528;124.9351;Edaño, GE;Edaño, GE PNH 15566 ;1;1;1952;nan;nan;nan;Botany;L.1754318;0;0;0;Eda;nan;0;;;;0;0;0;L1754318;15566;;Edaño, GE;Sinclair J;
