scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;genus_old;specific_epithet_old
Annonaceae;<NA>;PH;<NA>;13.968889;122.529444;Barbon, EB;"Barbon, EB; Garcia, HG; Fernando, L PPI 12287 ";16;9;1993;nan;<NA>;<NA>;Botany;U.1075651;0;0;0;Barbon;;0;;;;0;0;0;U1075651;12287;;"Barbon EB; Garcia HG; Fernando L";<NA>;Barbon;<NA>;
Annonaceae;<NA>;PH;<NA>;13.968889;122.529444;Barbon, EB;"Barbon, EB; Garcia, HG; Fernando, L PPI 12287 ";16;9;1993;nan;<NA>;<NA>;Botany;U.1075650;0;0;0;Barbon;;0;;;;0;0;0;U1075650;12287;;"Barbon EB; Garcia HG; Fernando L";<NA>;Barbon;<NA>;
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;PH;Luzon, Bulacan, Angat Watershed Area, Norzagaray.;14.85;121.166667;Barbon, EB;"Barbon, EB; et al. PPI 22509 ";25;5;1996;Kessler, PJA;2000-09-01T00:00:00;<NA>;Botany;L.1762376;0;0;0;Barbon;;0;1;9;2000;0;0;0;L1762376;22509;;"Barbon EB; et al.";Kessler PJA;Barbon;Mitrephora;
Mitrephora (Blume) Hook.f. & Thomson;Mitrephora;PH;Luzon, Bulacan, Angat Watershed Area, Norzagaray.;14.85;121.166667;Barbon, EB;"Barbon, EB; et al. PPI 22509 ";25;5;1996;Kessler, PJA;2000-09-01T00:00:00;<NA>;Botany;L.1762377;0;0;0;Barbon;;0;1;9;2000;0;0;0;L1762377;22509;;"Barbon EB; et al.";Kessler PJA;Barbon;Mitrephora;
Polyalthia mindorensis Merr.;Polyalthia;PH;E Mindoro, W of marble Quarry, Mt. Talipanan, 7km SW of Puerto Galera;13.5006;120.9548;Burley, JS;Burley, JS  179 ;28;4;1987;nan;<NA>;<NA>;Botany;L.1767138;0;0;0;Burley;;0;;;;0;0;0;L1767138;179;mindorensis;Burley JS;<NA>;Burley;Polyalthia;mindorensis
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;"Philippines, East Mindoro, near Marble Quarry on Mt. Talipanan, 7 km SW of Puerto Galera, c. 13.28 N; 120.55 E.";13.466667;120.916667;Burley, JS;Burley, JS  181 ;28;4;1987;Mols, JB;<NA>;<NA>;Botany;L.1758768;0;0;0;Burley;;0;;;;0;0;0;L1758768;181;ophthalmicus;Burley JS;Mols JB;Burley;Phaeanthus;ophthalmicus
Goniothalamus elmeri Merr.;Goniothalamus;PH;"Mindoro: Summit ridge Mt Alinyaban; 6 km SW Puerto Galera";13.4667;120.917;Burley, JS;Collector Number: 209;30;4;1987;Burley, JS;1987-01-01T00:00:00;BPBM;BISH;620749;0;0;0;Collector;;0;1;1;1987;0;0;0;BISH620749;209;elmeri;Burley, J.S.;Burley, J.S.;Burley;Goniothalamus;elmeri
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;6 km SW of Puerto Galera, summit ridge of Mt. Alinyaban.;13.466667;120.916667;Burley, JS;Burley, JS  209 ;30;4;1987;nan;<NA>;<NA>;Botany;WAG.1567043;0;0;0;Burley;;0;;;;0;0;0;WAG1567043;209;elmeri;Burley JS;<NA>;Burley;Goniothalamus;
Anaxagorea A.St.-Hil.;Anaxagorea;PH;Samar, Tagaslian Borogan.;11.438374000000001;125.313701;Castro, AP;"Castro, AP; Añonuevo, P PNH 5832 ";12;6;1948;Kessler, PJA;1988-10-01T00:00:00;<NA>;Botany;L.1755424;0;0;0;Castro;;0;1;10;1988;0;0;0;L1755424;5832;;"Castro AP; Añonuevo P";Kessler PJA;Castro;Anaxagorea;
Anaxagorea A.St.-Hil.;Anaxagorea;PH;Samar, Tagaslian Borogan.;11.438374000000001;125.313701;Castro, AP;"Castro, AP; Añonuevo, P PNH 5832 ";12;6;1948;Kessler, PJA;1988-10-01T00:00:00;<NA>;Botany;L.1755426;0;0;0;Castro;;0;1;10;1988;0;0;0;L1755426;5832;;"Castro AP; Añonuevo P";Kessler PJA;Castro;Anaxagorea;
