scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;coll_surname;genus_old;specificEpithet_old
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. Eil. Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1036 ;9;4;1919;Heusden ECH van;nan;nan;Botany;L.1770285;burahol;0;0;Achmad;;0;0;0;0;0;0;0;L1770285;1036;Achmad;Achmad;Stelechocarpus;burahol
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;Indonesia. Eil. Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1036 ;9;4;1919;Heusden ECH van;nan;nan;Botany;L.1770286;burahol;0;0;Achmad;;0;0;0;0;0;0;0;L1770286;1036;Achmad;Achmad;Stelechocarpus;burahol
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;nan;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;nan;nan;nan;Botany;U.1073735;simeuluensis;0;0;Achmad;;0;0;0;0;0;0;0;U1073735;1298;Achmad;Achmad;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;nan;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;nan;nan;nan;Botany;U.1073736;simeuluensis;0;0;Achmad;;0;0;0;0;0;0;0;U1073736;1298;Achmad;Achmad;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;nan;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;nan;nan;nan;Botany;U.1073737;simeuluensis;0;0;Achmad;;0;0;0;0;0;0;0;U1073737;1298;Achmad;Achmad;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. Eil Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;Weerasooriya AD;2001-03-01T00:00:00;nan;Botany;L.1762097;simeuluensis;0;0;Achmad;;0;0;0;0;0;0;0;L1762097;1298;Achmad;Achmad;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. Eil Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;Weerasooriya AD;2001-03-01T00:00:00;nan;Botany;L.1762096;simeuluensis;0;0;Achmad;;0;0;0;0;0;0;0;L1762096;1298;Achmad;Achmad;Mitrephora;simeuluensis
Mitrephora simeuluensis Weeras. & R.M.K.Saunders;Mitrephora;ID;Indonesia. Eil Simaloer, Sumatra.;2.58;96.08;Achmad;Achmad  1298 ;9;8;1919;Weerasooriya AD;2001-03-01T00:00:00;nan;Botany;L.1762100;simeuluensis;0;0;Achmad;;0;0;0;0;0;0;0;L1762100;1298;Achmad;Achmad;Mitrephora;simeuluensis
Polyalthia Blume;Polyalthia;ID;Eil. Simaloer bij Sumatra, Landschap Tapah;-2.05;101.3;Achmad;Achmad  1476 ;29;10;1919;nan;nan;nan;Botany;L.1764069;nan;0;0;Achmad;;0;0;0;0;0;0;0;L1764069;1476;Achmad;Achmad;Polyalthia;nan
Polyalthia Blume;Polyalthia;ID;Eil. Simaloer bij Sumatra, Landschap Tapah;-2.05;101.3;Achmad;Achmad  1476 ;29;10;1919;nan;nan;nan;Botany;L.1764070;nan;0;0;Achmad;;0;0;0;0;0;0;0;L1764070;1476;Achmad;Achmad;Polyalthia;nan
