scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;to_check
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;"Sintang, HPH Km 86-85; along river to south.";-0.823889;112.060833;A.C. Church;Church 1329;5;5;1994;<NA>;<NA>;MO;MO;101395200;0;0;0;Church;;0;;;;0;0;0;MO101395200;1329;borneensis;"A.C. Church;Mahyar, U. W.;Hamzah, Amis";<NA>;<NA>
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;A.C. Church;Church 771;8;4;1994;<NA>;<NA>;MO;MO;101395218;0;0;0;Church;;0;;;;0;0;0;MO101395218;771;borneensis;"A.C. Church;Mahyar, Uway Warsita";<NA>;<NA>
Anaxagorea borneensis (Becc.) J.Sinclair;Anaxagorea;ZZ;Sintang, H.P.H. km 70, NE of camp off main logging roadand enirons. Growing in open disturbed area.;-0.865;112.225;A.C. Church;Church 725;7;4;1994;<NA>;<NA>;MO;MO;101395207;0;0;0;Church;;0;;;;0;0;0;MO101395207;725;borneensis;"A.C. Church;Mahyar, Uway Warsita";<NA>;<NA>
Artabotrys gracilis King;Artabotrys;ID;Borneo. Bukit Raya Expedition. Borneo, Bukit Raya, Batu Badinging, KCT 47 km. Km 96 ('Tumbang Sahu').;-1.25;113.83;J. F. Veldkamp;8577;7;2;1983;<NA>;<NA>;US;US;US 3212838;0;0;0;;;0;;;;0;0;0;US3212838;8577;gracilis;J. F. Veldkamp;<NA>;<NA>
Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Tigapulu Mts., Riau Province, 5 km W. of Talanglakat on Rengat-Jambi Road, Bukit Karampal area.;-0.77;102.53;J. S. Burley, -. Turkirin;1902;5;12;1988;<NA>;<NA>;US;US;US 3253274;0;0;0;;;0;;;;0;0;0;US3253274;1902;suaveolens;J. S. Burley, -. Turkirin & et al.;<NA>;<NA>
Artabotrys suaveolens (Blume) Blume;Artabotrys;ID;Protected forest Wolasi, Wolan Subdistrict, Konawe Selatan District, S.E. Sulawesi.;-4.22572;122.736;E. A. Widjaja, -. Megawati, -. Hamzah;EAW9472;14;4;2011;<NA>;<NA>;US;US;US 3665529;0;0;0;EAW;;0;;;;0;0;0;US3665529;9472;suaveolens;E. A. Widjaja, -. Megawati, -. Hamzah & W. Santoso;<NA>;<NA>
Fissistigma kingii (Boerl.) Burkill;Fissistigma;ID;Gunung Leuser Nature Reserve, Atjeh, North Sumatra. Southern part of the reserve, Alas River valley, near the mouth of the Bengkong River, c. 50 km. S. of Kutacane.;3.0;97.83;W. J. de Wilde;18716;15;7;1979;<NA>;<NA>;US;US;US 2996687;0;0;0;;;0;;;;0;0;0;US2996687;18716;kingii;W. J. de Wilde & B. E. de Wilde-Duyfjes;<NA>;<NA>
Annonaceae;<NA>;ID;Tumbang Tapi.;-1.02;113.0;Veldkamp;8347;21;1;1983;<NA>;<NA>;NSW;NSW;NSW562415;0;0;0;;;0;;;;0;0;0;NSW562415;8347;;Veldkamp;<NA>;<NA>
Annonaceae;<NA>;ID;Foothills of Gunung Beriun;1.298611;117.545556;East Kalimantan Bogor Edinburgh (2016);68;23;11;2016;<NA>;<NA>;E;E;E01122221;0;0;0;;;0;;;;0;0;0;E01122221;68;;East Kalimantan Bogor Edinburgh (2016);<NA>;<NA>
Polyalthia Blume;Polyalthia;ID;Trail from basecamp of Gua Tewet;1.025833;117.2575;East Kalimantan Bogor Edinburgh (2016);92;26;11;2016;<NA>;<NA>;E;E;E01122208;0;0;0;;;0;;;;0;0;0;E01122208;92;;East Kalimantan Bogor Edinburgh (2016);<NA>;<NA>
