scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy;to_check
Goniothalamus amuyon (Blanco) Merr.;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Tang, C. C. 20100907 (HKU);amuyon;0;0;nan;nan;0;0;0;0;0;0;0;0;T20100907;nan;;<NA>
Goniothalamus elmeri Merr.;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Rosario et al. 11-014 (University of Santo Tomas Herbarium);elmeri;0;0;nan;nan;0;0;0;0;0;0;0;0;R11;nan;;<NA>
Goniothalamus (Blume) Hook.f. & Thomson;Goniothalamus;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Tang, C. C. TCC10 (HKU);nan;0;0;nan;nan;0;0;0;0;0;0;0;0;T10;nan;;<NA>
Drepananthus longiflorus C.B.Rob.;Drepananthus;PH;Mindoro;;;<NA>;nan;;;;nan;;nan;nan;C.E.Ridsdale 1258 (NY);acuminatus;0;0;nan;nan;0;0;0;0;0;0;0;0;C1258;nan;;<NA>
Pseuduvaria philippinensis Merr.;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Ramos, M. BSN 24449 (SING);philippinensis;0;0;nan;nan;0;0;0;0;0;0;0;0;R24449;nan;;<NA>
Pseuduvaria mindorensis Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Ridsdale, C.E. 883 (L);mindorensis;0;0;nan;nan;0;0;0;0;0;0;0;0;R883;nan;;<NA>
Pseuduvaria luzonensis (Merr.) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;de la Fuentes, R. 38732 (L);luzonensis;0;0;nan;nan;0;0;0;0;0;0;0;0;F38732;nan;;<NA>
Pseuduvaria unguiculata (Elmer) Y.C.F.Su & R.M.K.Saunders;Pseuduvaria;PH;nan;;;<NA>;nan;;;;nan;;nan;nan;Escritor, L. BS 20834 (L);unguiculata;0;0;nan;nan;0;0;0;0;0;0;0;0;E20834;nan;;<NA>
Drepananthus apoensis Elmer;Drepananthus;PH;Todaya (Mt. Apo), Island of Mindanao;;;A. D. E. Elmer;10843;;6;1909;H. G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476655;apoensis;0;0;;;0;0;0;0;0;0;0;0;BRIT476655;10843;A. D. E. Elmer;A. D. E. Elmer
Orophea submaculata Elmer;Orophea;PH;Puerto Princesa (Mt. Pulgar), Island of Palawan;;;A. D. E. Elmer;13018;;4;1911;H.G. Bedell;1988-01-01T00:00:00;BRIT;nan;BRIT476605;cumingiana;0;0;;;0;0;0;0;0;0;0;0;BRIT476605;13018;A. D. E. Elmer;A. D. E. Elmer
