coll_surname;colnum;sufix;col_year;ddlong;ddlat;long bigger than 0.1;lat bigger than 0.1
Carvalho;3602;;1991;253.95144353299708;34.65238222553897;True;True
Carvalho;3649;;1991;381.16121603916304;51.99089396523092;True;True
Carvalho;6132;;1995;508.4243690055373;69.22444903097433;True;True
Kallunki;342;;1993;272.7004166666667;70.38374999999999;True;True
Kallunki;356;;1993;534.6674999999999;124.5496333333333;True;True
Kallunki;428;;1993;256.524962869335;37.75041666666668;True;True
Pirani;2435;;1988;148.74568181818182;38.39113636363636;True;True
Pirani;3074;;1994;540.6398208154446;130.97693591146802;True;True
Pirani;51389;;1992;0.2222224444445026;0.0;True;False
Santos;3099;;1976;514.2469269855613;76.00333333333333;True;True
Thomas;10742;;1995;254.39753581020668;36.4115420405175;True;True
Thomas;11019;;1995;305.14540700582717;41.606506965777804;True;True
Thomas;9086;;1992;387.7179783672223;51.34518809222225;True;True
