scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;orig_detby;coll_surname;to_check;to_check_det;genus_old;specific_epithet_old
Hornschuchia myrtillus Nees;Hornschuchia;BR;Estrada Itanhaém a Batinga, ca. 16 km. Ramal a direita, dando acesso à Faz. Pedra Grande, de Prop. de  Etevaldo Rezende da Silva;-17.138064800000002;-40.426108799999994;Amorim, AM ;4611;29;12;2004;nan;2009-01-01T00:00:00;NY;NY;NY01873567;0;0;0;;;0;1;1;2009;0;0;0;NY01873567;4611;myrtillus;A. M. Amorim;R. de Mello-Silva;Amorim;;;Hornschuchia;myrtillus
Hornschuchia myrtillus Nees;Hornschuchia;BR;Estrada Itanhaém a Batinga, ca. 16 km. Ramal a direita, dando acesso à Faz. Pedra Grande, de Prop. de  Etevaldo Rezende da Silva;-17.138064800000002;-40.426108799999994;Amorim, AM ;4611;29;12;2004;nan;2009-01-01T00:00:00;NY;NY;01873567;0;0;0;;;0;1;1;2009;0;0;0;NY01873567;4611;myrtillus;A. M. Amorim;R. de Mello-Silva;Amorim;;;Hornschuchia;myrtillus
Hornschuchia Nees;Hornschuchia;BR;Estrada Itanhém a Batinga, ca. 16 km. Ramal a direita, dando acesso à Faz. Pedra Grande, de Prop. de Etevaldo Rezende da Silva.;-17.138064800000002;-40.426108799999994;Amorim, AM;4611;29;12;2004;nan;<NA>;Comissão Executiva do Plano da Lavoura Cacaueira;CEPEC;106981;0;0;0;;;0;;;;0;0;0;CEPEC106981;4611;myrtillus;Amorim, A. M.;Sem Informação;Amorim;;;Hornschuchia;
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana;-14.421496500000002;-39.0472335;Amorim, AM ;794;6;10;1992;Johnson, DM ;1994-01-01T00:00:00;NY;NY;NY00395802;0;0;0;;;0;1;1;1994;0;0;0;NY00395802;794;obliqua;A. M. Amorim;D. M. Johnson;Amorim;;;Hornschuchia;obliqua
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana;-14.421496500000002;-39.0472335;Amorim, AM ;794;6;10;1992;Johnson, DM ;1994-01-01T00:00:00;NY;NY;395802;0;0;0;;;0;1;1;1994;0;0;0;NY395802;794;obliqua;A. M. Amorim;D. M. Johnson;Amorim;;;Hornschuchia;obliqua
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Mpio. de Urucuca. Distr. de Serra Grande. 7.3 km na estrada Seerra Grande - Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Mata Higrófila Sul Bainana.;-14.41666;-39.01666;Amorim;Amorim 794;6;10;1992;Johnson, DM;1994-01-01T00:00:00;MO;MO;3403506;0;0;0;Amorim;;0;1;1;1994;0;0;0;MO3403506;794;obliqua;Amorim;D.M.Johnson;Amorim;;;Hornschuchia;obliqua
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana;-14.421496500000002;-39.0472335;Amorim, AM ;794;6;10;1992;Maas, PJM ;1992-01-01T00:00:00;NY;NY;NY00395803;0;0;0;;;0;1;1;1992;0;0;0;NY00395803;794;obliqua;A. M. Amorim;P. J. M. Maas;Amorim;;;Hornschuchia;obliqua
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana;-14.421496500000002;-39.0472335;Amorim, AM ;794;6;10;1992;Maas, PJM ;1992-01-01T00:00:00;NY;NY;395803;0;0;0;;;0;1;1;1992;0;0;0;NY395803;794;obliqua;A. M. Amorim;P. J. M. Maas;Amorim;;;Hornschuchia;obliqua
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Brazil, Bahia, Mun. de Uruçuca, Distrito de Serra Grande, 7.3 km na estrada Serra Grande - Itacare. Fda. Lagoa do Conjunto Fda. Santa Cruz;-14.416666999999999;-39.016667;Amorim, AM;"Amorim, AM; et al.  794 ";6;10;1992;Johnson, DM;<NA>;<NA>;Botany;L  0299141;0;0;0;Amorim;;0;;;;0;0;0;L0299141;794;obliqua;"Amorim AM; et al.";Johnson DM;Amorim;;;Hornschuchia;obliqua
Hornschuchia obliqua Maas & van Setten;Hornschuchia;BR;Brazil, Bahia, Mun. de Uruçuca, Distrito de Serra Grande, 7.3 km na estrada Serra Grande - Itacare. Fda. Lagoa do Conjunto Fda. Santa Cruz;-14.416666999999999;-39.016667;Amorim, AM;"Amorim, AM; et al.  794 ";6;10;1992;Johnson, DM;<NA>;<NA>;Botany;U.1073639;0;0;0;Amorim;;0;;;;0;0;0;U1073639;794;obliqua;"Amorim AM; et al.";Johnson DM;Amorim;;;Hornschuchia;obliqua
