;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
2;Sellow,F.;Sellow,F.;;;<NA>;Sellow,F.;recby_problem
7;Saint-Hilaire, A. de;Saint-Hilaire, A. de;;;Johnson;Saint-Hilaire, A. de;recby_problem
8;<NA>;<NA>;;;<NA>;<NA>;recby_problem
9;<NA>;<NA>;;;<NA>;<NA>;recby_problem
10;<NA>;<NA>;;;<NA>;<NA>;recby_problem
11;<NA>;<NA>;;;<NA>;<NA>;recby_problem
12;<NA>;<NA>;;;<NA>;<NA>;recby_problem
13;<NA>;<NA>;;;<NA>;<NA>;recby_problem
14;<NA>;<NA>;;;<NA>;<NA>;recby_problem
220;<NA>;<NA>;;;<NA>;<NA>;recby_problem
221;<NA>;<NA>;;;<NA>;<NA>;recby_problem
222;<NA>;<NA>;;;<NA>;<NA>;recby_problem
223;<NA>;<NA>;;;<NA>;<NA>;recby_problem
224;<NA>;<NA>;;;<NA>;<NA>;recby_problem
226;Anunciação, E.S.;Anunciação, E.S.;64;;<NA>;Anunciação, E.S.;recby_problem
228;Queiroz, L.P.de;Queiroz, L.P.de;16727;;<NA>;P.de;recby_problem
232;André M. Amorim;André M. Amorim et al.;858;;<NA>;André M. Amorim;recby_problem
234;José Floriano Barêa Pastore;José Floriano Barêa Pastore;2129;;<NA>;José Floriano Barêa Pastore;recby_problem
245;Carvalho, A.M.de;Carvalho, A.M.de;3649;;A.Amorim;M.de;recby_problem
246;Carvalho, A.M.de;Carvalho, A.M.de;3602;;A.Amorim;M.de;recby_problem
271;R. de Mello-Silva;R. de Mello-Silva;1174;;R. de Mello-Silva;-Silva;recby_problem
281;M. A. P. z. Wied-Neuwied;M. A. P. z. Wied-Neuwied;s.n.;;<NA>;M. A. P. z. Wied-Neuwied;recby_problem
286;M. A. P. z. Wied-Neuwied;M. A. P. z. Wied-Neuwied;s.n.;;<NA>;M. A. P. z. Wied-Neuwied;recby_problem
293;R. P. Belém;R. P. Belém;936;;D. M. Johnson;ém;recby_problem
298;Amorim, A. M.  (Amorim, André M.);"Amorim, A. M.  (Amorim, André M.);T.S. Santos,P.J. Maas,S.C. Sant´Ana,J. Duarte,C.. Zuilen";827;;<NA>;morim, André M.);recby_problem
299;Carvalho, A. M.  (Carvalho, André Maurício Vieira de/  de Carvalho, André Maurício Vieira/  André Maurício Carvalho);"Carvalho, A. M.  (Carvalho, André Maurício Vieira de/  de Carvalho, André Maurício Vieira/  André Maurício Carvalho);T.S. Santos,W.W. Thomas";3350;;<NA>;arvalho, André Maurício Vieira de/  de Carvalho, André Maurício Vieira/  André Maurício Carvalho);recby_problem
300;Amorim, A. M.  (Amorim, André M.);"Amorim, A. M.  (Amorim, André M.);T.S. Santos,S.C. Sant Ana,P.J.M. Maas,J. Duarte,C.M. van Zuilen";827;;P.J.M. Maas;morim, André M.);recby_problem
301;Carvalho, A. M.  (Carvalho, André Maurício Vieira de/  de Carvalho, André Maurício Vieira/  André Maurício Carvalho);"Carvalho, A. M.  (Carvalho, André Maurício Vieira de/  de Carvalho, André Maurício Vieira/  André Maurício Carvalho);T.S. Santos,W.W. Thomas";3602;;<NA>;arvalho, André Maurício Vieira de/  de Carvalho, André Maurício Vieira/  André Maurício Carvalho);recby_problem
314;R. P. Belém;R. P. Belém;936;;D. M. Johnson;ém;recby_problem
315;R. de Mello-Silva;R. de Mello-Silva;1174;;R. de Mello-Silva;-Silva;recby_problem
326;R. de Mello-Silva;R. de Mello-Silva;1596;;R. de Mello-Silva;-Silva;recby_problem
327;R. de Mello-Silva;R. de Mello-Silva;1596;;R. de Mello-Silva;-Silva;recby_problem
330;J. R. Pirani, W. W. Thomas, R. Mello-Silva;"J. R. Pirani, W. W. Thomas, R. Mello-Silva;J. Fernandes";2435;;<NA>;, W. W. Thomas, R. Mello-Silva;recby_problem
333;Amorim, A. M.  (Amorim, André M.);"Amorim, A. M.  (Amorim, André M.);P.J. Maas,S.C. Sant´Ana,J.F. Ramos,C.M. Zuilen";858;;Lopes, J.C.;morim, André M.);recby_problem
334;Amorim, A. M.  (Amorim, André M.);"Amorim, A. M.  (Amorim, André M.);T.S. Santos,S.C. Sant Ana,L.A. Mattos Silva,P.J.M. Maas,C.M. van Zuilen";794;;<NA>;morim, André M.);recby_problem
351;S. C. Sant'Ana;S. C. Sant'Ana;201;;Lopes, J.C.;'Ana;recby_problem
360;R. Mello-Silva;R. Mello-Silva;1596;;R. de Mello-Silva;-Silva;recby_problem
387;R. P. Belém;R. P. Belém;879;;D. M. Johnson;ém;recby_problem
388;R. P. Belém;R. P. Belém;936;;D. M. Johnson;ém;recby_problem
418;Lobão, A.Q.;Lobão, A.Q.;1532;;Lobão, A.Q.;Lobão, A.Q.;recby_problem
419;Lobão, A.Q.;Lobão, A.Q.;1531;;Lobão, A.Q.;Lobão, A.Q.;recby_problem
