recorded_by;colnum;sufix;col_year;ddlong;ddlat;long bigger than 0.1;lat bigger than 0.1
Agama, J;nan;nan;1914;2.838142522884888;2.9832417872369095;True;True
Bon;nan;nan;1890;19.67407155030824;28.027508132652006;True;True
Brand, D;nan;nan;1960;13.036383911249962;6.633903125000001;True;True
Cavalerie;nan;nan;1914;21.69015316563061;23.397456048659237;True;True
Chaper, M;nan;nan;1890;76.72185771848105;70.68283022466633;True;True
Counillon;nan;nan;1890;14.072785861431056;12.626673306666326;True;True
Deschamps;nan;nan;1890;287.1675593963887;0.19377267199297984;True;True
Dien, P van;nan;nan;1932;2.444149951249993;11.596687201250004;True;True
Hombron;nan;nan;1838;175.77778595456678;29.516550981660018;True;True
King;nan;nan;1893;1.2033175555555646;6.449256551250007;True;True
Otanes, F;nan;nan;1914;0.04470183055989859;6.078324537836913;False;True
Paraiso, E;nan;nan;1915;0.6076700231351503;1.6186065487528416;True;True
Pierre, L;nan;nan;1864;83.689453125;0.009730124999999746;True;False
Poilane;nan;nan;1923;0.011122861249999819;0.13598112499999981;False;True
Poilane, E;nan;nan;1932;2.444149951249993;11.596687201249999;True;True
Ramos, M;nan;nan;1915;0.4999667652984105;0.2561247070373223;True;True
Ramos, M;nan;nan;1918;0.6139288430193904;0.7979983124608825;True;True
Ramos, M;nan;nan;1919;1.1294869546074713;0.0026773121488935783;True;False
Schmid, M;nan;nan;1961;1.14484941525115;0.00330369312108917;True;False
Tixier, P;nan;nan;1960;13.036383911249962;6.633903125000003;True;True
