scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;orig_recby;orig_detby;country_iso3;global_id;childData_id;accSpecies_id;colnum_fullprefix;status;accepted_name;ipni_no;.val;.equ;.zer;.cap;.cen;.con;.gbf;.inst;.summary;sp_idx;ipni_species_author;region;tmp_det_date;expert_det;recby_regex;Unnamed: 0;modified;geo_issues
0.0;Neo-Uvaria;sp.;0;0;Achacoso, I;26807;nan;26807;nan;01/04/1917 - 30/04/1917;1;4;1917;Kessler, P;01/01/1989 - 31/12/1989;1;1;1989;PH;Philippines;0;Philippines. Province of Antique. Panay;0;122.08;11.17;0;0;P00267940;P00267940;Achacoso;Achacoso, I.;Philippines;0;;nan;;;;;;;nan;nan;nan;;;;;;;;;;;nan;;;nan;;;nan;nan
0.0;Polyalthia;sp.;0;0;Ambri;W 440;W;440;nan;10/10/1990 - 10/10/1990;10;10;1990;nan;nan;;;;not found;Indonésie;0;E. Kalimantan, Wanariset research I area, off km 3,2 m. Wanariset-semoi road. Alt. 70 m m.;0;116.834;-0.933;0;0;P02132575;P02132575;Ambri;Ambri;Indonesia;0;0.0;Ambri;;not found;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;nan;East Kalimantan;;nan;;;nan;nan
0.0;nan;indet.;0;0;Ambriansyah;272;nan;272;nan;11/11/1991 - 11/11/1991;11;11;1991;nan;nan;;;;not found;Indonésie;0;East Kalimantan, Indonesia. Inhutani area, off km 11, Inhutani Semoi road. Alt. 70;0;116.834;-0.933;0;0;P01965537;P01965537;Ambriansyah;Ambriansyah;Indonesia;0;0.0;Ambriansyah;;not found;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;nan;East Kalimantan;;nan;;;nan;nan
0.0;Polyalthia;sp.;0;0;Ambriansyah, A;1534;nan;1534;nan;03/02/1996 - 03/02/1996;3;2;1996;nan;nan;;;;not found;Indonésie;0;Indonesia, Central Kalimantan. Camp 92 ODA Sangai area;0;112.63;-2.15;0;0;P02132572;P02132572;Ambriansyah;Ambriansyah, A;nan;nan;0.0;Ambriansyah, A.;;not found;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;nan;Central Kalimantan;;nan;;;nan;nan
0.0;Polyalthia;sp.;0;0;Ambriansyah, A;1563;nan;1563;nan;18/03/1996 - 18/03/1996;18;3;1996;nan;nan;;;;not found;Indonésie;0;Indonesia, East Kalimantan, KPC area Bengalon, near plot P-3. Alt. 90 m.;0;117.53255;0.8012;0;0;P02132573;P02132573;Ambriansyah;Ambriansyah, A;nan;nan;0.0;Ambriansyah, A.;;not found;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;nan;East Kalimantan;;nan;;;nan;nan
0.0;Polyalthia;sp.;0;0;Chevalier, A;31339, 31339;nan;31339;nan;07/02/1914 - 12/02/1914;7;2;1914;Kessler, P, Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;VN;Viet Nam;0;Indochine. Cochinchine : Jardin Botanique de Saïgon;0;106.7003;10.7824;0, 0;0, 0;P02006000, P02006001;P02006000, P02006001;Chevalier;Chevalier, Auguste Jean Baptiste;Congo, Democratic Republic of the, Vietnam;http://en.wikipedia.org/wiki/Auguste_Jean_Baptiste_Chevalier;;nan;;VNM;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;nan;;;nan;;;nan;nan
0.0;Polyalthia;sp.;0;0;Curran, HM;10132;nan;10132;nan;01/03/1908 - 31/03/1908;1;3;1908;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippines. Paete - Piapi. Laguna - Sayabas Prov;0;121.4815784;14.3641222;0;0;P01982960;P01982960;Curran;Curran, HM;nan;nan;0.0;Curran, H.M.;Kessler, P.;PHL;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;nan;Laguna;;nan;;;nan;nan
0.0;Mitrephora;guilloveana;0;0;Hombron;nan;nan;nan;nan;01/01/1838 - 31/12/1840;1;1;1838;nan;nan;;;;not found;Salomon, Îles;0;Ile St. Georges. Archipel des iles Salomon.;0;159.576;-8.462;0;0;P01988087;P01988087;Hombron;Hombron, Jacques Bernard;French Polynesia, Malaysia, Philippines, Reunion;0;0.0;Hombron;;not found;;;;;nan;nan;nan;;;;;;;;;;Mitrephora guilloveana;nan;Isabel;;nan;;;nan;nan
0.0;nan;indet.;0;0;Kostermans, A;13933;nan;13933;nan;18/09/1957 - 18/09/1957;18;9;1957;nan;nan;;;;not found;Indonésie;0;East Borneo. Berouw, Mt. Ilas Bungaan. 400 m alt.;0;117.4535;2.149;0;0;P02001262;P02001262;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;0.0;Kostermans, A.;;not found;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;nan;East Kalimantan;;nan;;;nan;nan
0.0;nan;indet.;0;0;Newman, MF;LAO 737;LAO;737;nan;30/10/2005 - 30/10/2005;30;10;2005;nan;nan;;;;LA;Laos, République démocratique populaire;0;Lao P.D.R. Khammouan : Nong Sa Mek, south of Ban Mak Pheuang. Altitude : 564 m;0;105.36333333333332;17.852777777777778;0;0;P01963759;P01963759;Newman;Newman, Mark Fleming;Angola, Argentina, Brazil, Indonesia, Laos, Malaysia, Mexico, Philippines, Thailand, United States of America, Venezuela, Vietnam;0;0.0;Newman, M.F.;;LAO;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;nan;Khammouan;;nan;;;nan;nan
0.0;nan;indet.;0;0;Newman, MF;LAO 808;LAO;808;nan;02/11/2005 - 02/11/2005;2;11;2005;nan;nan;;;;LA;Laos, République démocratique populaire;0;Lao P.D.R., Khammouan : Ban Mak Pheuang. area around school house. Altitude: 550 m;0;105.3497222222222;17.833055555555557;0;0;P01963652;P01963652;Newman;Newman, Mark Fleming;Angola, Argentina, Brazil, Indonesia, Laos, Malaysia, Mexico, Philippines, Thailand, United States of America, Venezuela, Vietnam;0;0.0;Newman, M.F.;;LAO;;;;;nan;nan;nan;;;;;;;;;;<NA> indet.;nan;Khammouan;;nan;;;nan;nan
0.0;Polyalthia;sp.;0;0;Phusomsaeng, S;1570;nan;1570;nan;10/06/1973 - 10/06/1973;10;6;1973;nan;nan;;;;not found;Thaïlande;0;Thailand. Trang;0;99.6114944;7.5607389;0;0;P02006034;P02006034;Phusomsaeng;Phusomsaeng, S.;Thailand;0;0.0;Phusomsaeng, S.;;not found;;;;;nan;nan;nan;;;;;;;;;;Polyalthia sp.;nan;Trang(ตรัง);;nan;;;nan;nan
0.0;Alphonsea;sp.;0;0;Poilane;13539, 13539;nan;13539;nan;02/07/1927 - 02/07/1927;2;7;1927;Kessler, P, Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;VN;Viet Nam;0;Annam : haut cours de la rivière de Quangtri entre L. La Lay et L. Ra ro.;0;106.891;16.602;0, 0;0, 0;P01921643, P01921645;P01921643, P01921645;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;;nan;;VNM;;;;;nan;nan;nan;;;;;;;;;;Alphonsea sp.;nan;;;nan;;;nan;nan
0.0;Marsypopetalum;sp.;0;0;Poilane;19622;nan;19622;nan;12/10/1931 - 12/10/1931;12;10;1931;Kessler, P;01/05/2009 - 31/05/2009;1;5;2009;VN;Viet Nam;0;Cochinchine : route col. n° 20 kil 46 pro: de Bienhoa Dinh quan;0;107.349;11.1922;0;0;P00404601;P00404601;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;0.0;Poilane;Kessler, P.;VNM;;;;;nan;nan;nan;;;;;;;;;;Marsypopetalum sp.;nan;Đồng Nai;;nan;;;nan;nan
0.0;Cyathocalyx;sp.;0;0;Poilane;19853, 19853, 19853;nan;19853;nan;23/10/1931 - 23/10/1931;23;10;1931;Kessler, P, Kessler, P, Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;VN;Viet Nam;0;Annam : Blao. kil 108 de la route col. n° 20. Prov.: Haut Donaï. 800 m alt.;0;107.742;11.480666666666666;0, 0, 0;0, 0, 0;P01984375, P01984376, P01984377;P01984375, P01984376, P01984377;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;;nan;;VNM;;;;;nan;nan;nan;;;;;;;;;;Cyathocalyx sp.;nan;;;nan;;;nan;nan
0.0;Goniothalamus;sp.;0;0;Poilane;9130;nan;9130;nan;12/12/1923 - 12/12/1923;12;12;1923;Kessler, P;26/10/1984 - 26/10/1984;26;10;1984;VN;Viet Nam;0;Localité     Annam : Ca-Na pro: Phanrang. 700 m alt.;0;108.844;11.377;0;0;P01954544;P01954544;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;0.0;Poilane;Kessler, P.;VNM;;;;;nan;nan;nan;;;;;;;;;;Goniothalamus sp.;nan;Ninh Thuận;;nan;;;nan;nan
0.0;Goniothalamus;sp.;0;0;Poilane;9195;nan;9195;nan;20/12/1923 - 20/12/1923;20;12;1923;Kessler, P;26/10/1989 - 26/10/1989;26;10;1989;VN;Viet Nam;0;Annam : Ca-na pro: Phanrang. 600 m alt.;0;108.8437;11.377;0;0;P01982092;P01982092;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;0.0;Poilane;Kessler, P.;VNM;;;;;nan;nan;nan;;;;;;;;;;Goniothalamus sp.;nan;Ninh Thuận;;nan;;;nan;nan
0.0;Ellipeia;sp.;0;0;Poilane, E;18338;nan;18338;nan;13/09/1930 - 13/09/1930;13;9;1930;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;VN;Viet Nam;0;Annam : Dak Tô pro: Kontum. 1000 m alt.;0;107.840036;14.6612477;0;0;P01986501;P01986501;Poilane;Poilane, Eugène;Cambodia, Laos, Vietnam;0;0.0;Poilane, E.;Kessler, P.;VNM;;;;;nan;nan;nan;;;;;;;;;;Ellipeia sp.;nan;Kon Tum;;nan;;;nan;nan
