scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx;genus_old;specific_epithet_old
0.0;Polyalthia;nan;nan;Adduru, M;108;nan;108.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0;0;P01983360, BM0-00885795;P01983360;Adduru;Adduru, M.;;PHL;SYNONYM;Monoon barnesii;https://ipni.org/n/74503-1;;Cagayan;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;;Polyalthia;nan
0.0;Polyalthia;nan;nan;Adduru, M;108, 108, 108, 108, 108, 108, 108.0, 108;nan;108.0;nan;01/05/1917 - 18/06/1917;1;5;1917;, , , , , , , ;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0, 0, 0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0, 0.0, 0;P01983360, BM0-00885795, P01983360, BM0-00885795, P01983360, BM0-00885795, P01983360, BM0-00885795, P01983360, BM0-00885795, P01983360, BM0-00885795, P01983360, BM0-00885795, P01983360, BM0-00885795;P01983360, P01983360, P01983360, P01983360, P01983360, P01983360, P01983360, P01983360;Adduru;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;;Polyalthia;nan
nan;Drepathus;acuminatus;nan;Burley, John Stuart;Collector Number: 178;Collector;178.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620170, BM0-00885795;620170;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Drepathus acuminatus;https://ipni.org/n/77109466-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-10-17;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;(C.B.Rob.) Survesw. & R.M.K.Saunders;;;Drepathus acuminatus;Drepathus;acuminatus
nan;Drepathus;acuminatus;nan;Burley, John Stuart;Collector Number: 178;Collector;178.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620170, BM0-00885795;620170;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Drepathus acuminatus;https://ipni.org/n/77109466-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-07-55;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;(C.B.Rob.) Survesw. & R.M.K.Saunders;;;Drepathus acuminatus;Drepathus;acuminatus
nan;Polyalthia;mindorensis;nan;Burley, John Stuart;Collector Number: 179;Collector;179.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620169, BM0-00885795;620169;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Polyalthia mindorensis;https://ipni.org/n/77070439-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-10-17;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;Merr.;;;Polyalthia mindorensis;Polyalthia;mindorensis
nan;Polyalthia;mindorensis;nan;Burley, John Stuart;Collector Number: 179;Collector;179.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620169, BM0-00885795;620169;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Polyalthia mindorensis;https://ipni.org/n/77070439-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-07-55;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;Merr.;;;Polyalthia mindorensis;Polyalthia;mindorensis
nan;Phaeanthus;ophthalmicus;nan;Burley, John Stuart;Collector Number: 181;Collector;181.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620167, BM0-00885795;620167;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Phaeanthus ophthalmicus;https://ipni.org/n/74450-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-10-17;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;(Roxb. ex G.Don) J.Sinclair;;;Phaeanthus ophthalmicus;Phaeanthus;ophthalmicus
nan;Phaeanthus;ophthalmicus;nan;Burley, John Stuart;Collector Number: 181;Collector;181.0;nan;nan;28;4;1987;Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM;BISH;BISH620167, BM0-00885795;620167;Burley;Burley, J.S.;J.S.Burley;PHL;ACCEPTED;Phaeanthus ophthalmicus;https://ipni.org/n/74450-1;;;nan;1.0;;nan;Burley, JS;s_2023-04-28_09-07-55;;;;nan;Burley, John Stuart;Indonesia, United States of America;nan;(Roxb. ex G.Don) J.Sinclair;;;Phaeanthus ophthalmicus;Phaeanthus;ophthalmicus
nan;Uvaria;concava;nan;Elmer, Adolph Daniel Edward;13015, 13015;nan;13015.0;nan;nan;;4;1911;Turner, IM, Turner, IM;nan;;;;PH;Philippines;nan;Puerto Princesa (Mount Pulgar);nan;119.200154;10.2204165;NHMUK, NHMUK;BOT, BOT;BM0-00885795, BM0-00885795;BM0-00885795, BM0-00885795;Elmer;nan;;PHL;ACCEPTED;Uvaria concava;https://ipni.org/n/75624-1;;;nan;1.0;;nan;;s_2023-04-28_09-10-17;;;;nan;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;nan;Teijsm. & Binn.;;;Uvaria concava;Uvaria;concava
nan;Uvaria;concava;nan;Elmer, Adolph Daniel Edward;13015, 13015;nan;13015.0;nan;nan;;4;1911;Turner, IM, Turner, IM;nan;;;;PH;Philippines;nan;Puerto Princesa (Mount Pulgar);nan;119.200154;10.2204165;NHMUK, NHMUK;BOT, BOT;BM0-00885795, BM0-00885795;BM0-00885795, BM0-00885795;Elmer;nan;;PHL;ACCEPTED;Uvaria concava;https://ipni.org/n/75624-1;;;nan;1.0;;nan;;s_2023-04-28_09-07-55;;;;nan;Elmer, Adolph Daniel Edward;Indonesia, Philippines, United States of America;nan;Teijsm. & Binn.;;;Uvaria concava;Uvaria;concava
nan;nan;nan;nan;Hughes, M;MH1712;MH;1712.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625168, BM0-00885795;E00625168;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-10-17;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Hughes, M;MH1712;MH;1712.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625168, BM0-00885795;E00625168;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-07-55;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Hughes, M;MH1730;MH;1730.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625165, BM0-00885795;E00625165;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-10-17;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Hughes, M;MH1730;MH;1730.0;nan;nan;3;5;2012;nan;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E;E;E00625165, BM0-00885795;E00625165;Hughes;Hughes, Mark;;PHL;nan;nan;nan;;;nan;1.0;;nan;Hughes, M;s_2023-04-28_09-07-55;;;;nan;Hughes, M;nan;nan;nan;;;<NA> ;nan;nan
nan;nan;nan;nan;Puglisi, Carmen;CP317;CP;317.0;nan;nan;29;5;2012;nan;nan;;;;PH;Philippines;nan;Sabang, jungle trail between CPS and underground river;nan;118.918056;10.198056;E;E;E00625174, BM0-00885795;E00625174;Puglisi;Puglisi, Carmen;;PHL;nan;nan;nan;;;nan;1.0;;nan;Puglisi, C;s_2023-04-28_09-10-17;;;;nan;Puglisi, Carmen;nan;nan;nan;;;<NA> ;nan;nan
