recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specific_epithet_old
Anderson;28;Kessler, P;01/02/1990 - 28/02/1990;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P01956362;Inde;Alphonsea;ventricosa;0;0;0;0;;;1;1;1866;1;2;1990;0;0;0;88.2976909376153;22.557974711835556;0;0;28;P01956362;Anderson;Kessler, P.;Anderson;Anderson;<NA>;<NA>;Alphonsea;ventricosa
Anderson;28;Kessler, P;25/10/1989 - 25/10/1989;01/01/1866 - 31/12/1866;West Bengal;[Cult. in Hort. Bot. Calcuttensis];P01956363;Inde;Alphonsea;ventricosa;0;0;0;0;;;1;1;1866;25;10;1989;0;0;0;88.2976909376153;22.557974711835556;0;0;28;P01956363;Anderson;Kessler, P.;Anderson;Anderson;<NA>;<NA>;Alphonsea;ventricosa
Anderson;28;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis;P01988887;Inde;Alphonsea;ventricosa;0;0;0;0;;;1;1;1866;;;;0;0;0;88.2976909376153;22.557974711835556;0;0;28;P01988887;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>;Polyalthia;cerasoides
Anderson;28;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis;P01984650;Inde;Alphonsea;ventricosa;0;0;0;0;;;1;1;1866;;;;0;0;0;88.2976909376153;22.557974711835556;0;0;28;P01984650;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>;Xylopia;obtusifolia
Anderson;28;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Jardin botanique de Calcutta;P01967124;Inde;Alphonsea;ventricosa;0;0;0;0;;;1;1;1866;;;;0;0;0;88.2976909376153;22.557974711835556;0;0;28;P01967124;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>;Miliusa;roxburghiana
Anderson;28;nan;<NA>;01/01/1866 - 31/12/1866;West Bengal;Cult. in Hort. Bot. Calcuttensis.;P01967125;Inde;Alphonsea;ventricosa;0;0;0;0;;;1;1;1866;;;;0;0;0;88.2976909376153;22.557974711835556;0;0;28;P01967125;Anderson;<NA>;Anderson;Anderson;<NA>;<NA>;Miliusa;roxburghiana
Arbainsyah;2029;nan;<NA>;26/09/1996 - 26/09/1996;East Kalimantan;Indonesia, East Kalimantan, Semoi road Km 5 from Wanariset. Inhutani area.;P02132615;Indonésie;Monocarpia;sp.;0;0;0;0;;;26;9;1996;;;;0;0;0;116.834;-0.934;0;0;2029;P02132615;Arbainsyah;<NA>;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;Monocarpia;sp.
Arbainsyah;2029;nan;<NA>;26/09/1996 - 26/09/1996;East Kalimantan;Indonesia, East Kalimantan, Semoi road Km 5 from Wanariset. Inhutani area.;P02132616;Indonésie;Monocarpia;sp.;0;0;0;0;;;26;9;1996;;;;0;0;0;116.834;-0.934;0;0;2029;P02132616;Arbainsyah;<NA>;Arbainsyah;Arbainsyah, Rajuli M.;Indonesia;0;Monocarpia;sp.
Arifin, Z;1765;nan;<NA>;15/04/1996 - 15/04/1996;East Kalimantan;Indonesia, East Kalimantan, KPC area Bengalon, Rantau Palung, km 6. Alt. 77 m.;P01984477;Indonésie;Artabotrys;sp.;0;0;0;0;;;15;4;1996;;;;0;0;0;117.50778333333334;0.7937916666666667;0;0;1765;P01984477;Arifin, Z.;<NA>;Arifin;Arifin, Z.;Indonesia;0;Artabotrys;sp.
Arifin, Z;1765;nan;<NA>;15/04/1996 - 15/04/1996;East Kalimantan;Indonesia, East Kalimantan, KPC area Bengalon, Rantau Palung, km 6. Alt. 77 m.;P01984478;Indonésie;Artabotrys;sp.;0;0;0;0;;;15;4;1996;;;;0;0;0;117.50778333333334;0.7937916666666667;0;0;1765;P01984478;Arifin, Z.;Arifin, Z. & Arbainsyah;Arifin;Arifin, Z.;Indonesia;0;Artabotrys;sp.
