;recorded_by;orig_recby;colnum_full;det_by;orig_detby;to_check;to_check_det
8;Calléry;Calléry;;;Meade, C.;Calléry;recby_problem
9;Calléry;Calléry;;;<NA>;Calléry;recby_problem
38;Pételot;Pételot;2006;;Pételot;Pételot;recby_problem
40;Pételot;Pételot;4861;;Weerasooriya, A.D.;Pételot;recby_problem
41;Pételot;Pételot;940;;Pételot;Pételot;recby_problem
43;Bèjeaud;Bèjeaud;530;;Weerasooriya, A.D.;Bèjeaud;recby_problem
44;<NA>;<NA>;;;Weerasooriya, A.D.;<NA>;recby_problem
48;Pételot;Pételot;6356;;Weerasooriya, A.D.;Pételot;recby_problem
75;Calléry;Calléry;;;<NA>;Calléry;recby_problem
76;Calléry;Calléry;47;;<NA>;Calléry;recby_problem
78;Calléry;Calléry;150;;<NA>;Calléry;recby_problem
83;<NA>;<NA>;;;<NA>;<NA>;recby_problem
116;van Beusekom, C.F.;van Beusekom, C.F.;2762;;Su, Y.C.F.;van Beusekom, C.F.;recby_problem
134;van Beusekom, C.F.;van Beusekom, C.F.;541;;Su, Y.C.F.;van Beusekom, C.F.;recby_problem
143;Pételot;Pételot;906;;Nguyen, T.B.;Pételot;recby_problem
146;Pételot;Pételot;6421;;Utteridge, T.M.A.;Pételot;recby_problem
147;Pételot;Pételot;6057;;Utteridge, T.M.A.;Pételot;recby_problem
149;McClure, F.A.;McClure, F.A.;9697;;<NA>;McClure, F.A.;recby_problem
162;<NA>;<NA>;;;<NA>;<NA>;recby_problem
183;<NA>;<NA>;;;<NA>;<NA>;recby_problem
192;<NA>;<NA>;3731;;Theo et Boichard;<NA>;recby_problem
193;<NA>;<NA>;3731;;Theo et Boichard;<NA>;recby_problem
207;Fénix, E.;Fénix, E.;29992;;<NA>;Fénix, E.;recby_problem
228;van Beusekom, C.F.;van Beusekom, C.F.;784;;Kessler, P.;van Beusekom, C.F.;recby_problem
263;<NA>;<NA>;;;<NA>;<NA>;recby_problem
267;Müller;Müller;904;;<NA>;Müller;recby_problem
268;Riedlé;Riedlé;;;<NA>;Riedlé;recby_problem
269;Riedlé;Riedlé;;;<NA>;Riedlé;recby_problem
279;van Beusekom, C.F.;van Beusekom, C.F.;1842;;Meade, C.;van Beusekom, C.F.;recby_problem
280;van Beusekom, C.F.;van Beusekom, C.F.;1887 A;;Meade, C.;van Beusekom, C.F.;recby_problem
281;van Beusekom, C.F.;van Beusekom, C.F.;1887 A;;<NA>;van Beusekom, C.F.;recby_problem
292;Lefèvre, E.;Lefèvre, E.;332;;Meade, C.;Lefèvre, E.;recby_problem
331;Lörzing;Lörzing;5585;;Bakhuizen van den Brink;Lörzing;recby_problem
358;Riedlé;Riedlé;;;<NA>;Riedlé;recby_problem
360;<NA>;<NA>;2735;;<NA>;<NA>;recby_problem
