recordedBy;colNum_full;detBy;detDate;colDate;region;locality;barcode;country;genus;specificEpithet;scientificName;speciesAuthor;collectorID;prefix;sufix;colDay;colMonth;colYear;detDay;detMonth;detYear;countryID;continent;coordinateID;ddlong;ddlat;institute;herbarium_code;colNum;orig_BC;ORIG_recBy;to_check
Calléry;;Meade, C.;01/01/2000 - 31/12/2000;01/01/1840 - 31/12/1840;National Capital Region (NCR);Manille Pangasinan;P00260003;Philippines;Uvaria;micrantha;0;0;0;<NA>;<NA>;1;1;1840;1;1;2000;0;0;0;121.054;14.52;0;0;nan;P00260003;Calléry;Calléry
Calléry;;<NA>;<NA>;01/01/1840 - 31/12/1840;National Capital Region (NCR);Manille. Pangasinan;P00260004;Philippines;Uvaria;micrantha;0;0;0;<NA>;<NA>;1;1;1840;;;;0;0;0;121.054;14.52;0;0;nan;P00260004;Calléry;Calléry
Fénix, E.;29992;<NA>;<NA>;01/11/1917 - 30/11/1917;Pangasinan;Philippines. Mt. San Isidro. Labrador. Prov. of Pangasinan. Luzon;P00389828;Philippines;Goniothalamus;lancifolius;0;0;0;;;1;11;1917;;;;0;0;0;120.117;15.984;0;0;29992;P00389828;Fénix, E.;Fénix, E.
<NA>;2735;<NA>;<NA>;<NA>;Rizal;Philippines. Malapadnabato. Prov. of Rizal. Luzon.;P00142682;Philippines;Uvaria;rufa;0;0;0;;;;;;;;;0;0;0;120.682;14.1;0;0;2735;P00142682;<NA>;<NA>
Calléry;6;<NA>;<NA>;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan;P00260051;Philippines;Uvaria;macrophylla;0;0;0;;;1;1;1840;;;;0;0;0;121.3149851;14.1453986;0;0;6;P00260051;Calléry;Calléry
Calléry;6;<NA>;<NA>;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P00260052;Philippines;Uvaria;cordata;0;0;0;;;1;1;1840;;;;0;0;0;121.3149851;14.1453986;0;0;6;P00260052;Calléry;Calléry
Calléry;19;<NA>;<NA>;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P00260053;Philippines;Uvaria;macrophylla;0;0;0;;;1;1;1840;;;;0;0;0;121.3149851;14.1453986;0;0;19;P00260053;Calléry;Calléry
Calléry;29;<NA>;<NA>;01/01/1840 - 31/12/1840;Laguna;Manille. Calawan.;P00260054;Philippines;Uvaria;cordata;0;0;0;;;1;1;1840;;;;0;0;0;121.315;14.1454;0;0;29;P00260054;Calléry;Calléry
Edaño, G.;26907;<NA>;<NA>;01/03/1917 - 31/03/1917;Quezon;Philippines. Province of Tayabas. Luzon;P00248446;Philippines;Uvaria;sorzogonensis;0;0;0;;;1;3;1917;;;;0;0;0;121.5918364;14.0263471;0;0;26907;P00248446;Edaño, G.;Edaño, G.
McGregor, R.C.;18547;Kessler, P.;01/06/2004 - 30/06/2004;01/06/1916 - 30/06/1916;Biliran;Philippines. Biliran;P00247907;Philippines;Sageraea;lanceolata;0;0;0;;;1;6;1916;1;6;2004;0;0;0;124.475278;11.466667;0;0;18547;P00247907;McGregor, R.C.;McGregor, R.C.
McGregor, R.C.;;van Heusden, E.C.H.;01/01/1994 - 31/12/1994;01/06/1914 - 30/06/1914;Biliran;Philippines. Biliran;P00247913;Philippines;Sageraea;lanceolata;0;0;0;<NA>;<NA>;1;6;1914;1;1;1994;0;0;0;124.475278;11.466667;0;0;nan;P00247913;McGregor, R.C.;McGregor, R.C.
McGregor, R.C.;26227;<NA>;<NA>;01/06/1915 - 31/08/1915;Laguna;Philippines. Province of Laguna. Luzon;P00248460;Philippines;Uvaria;rufa;0;0;0;;;1;6;1915;;;;0;0;0;121.33;14.17;0;0;26227;P00248460;McGregor, R.C.;McGregor, R.C.
Calléry;;Kessler, P.;05/09/1985 - 05/09/1985;01/01/1840 - 31/12/1840;National Capital Region (NCR);Manille. Pangasinan.;P00248473;Philippines;Uvaria;rufa;0;0;0;<NA>;<NA>;1;1;1840;5;9;1985;0;0;0;121.054;14.52;0;0;nan;P00248473;Calléry;Calléry
Fénix, E.;1284;<NA>;<NA>;01/07/1912 - 31/07/1912;Palawan;Philippines. Busuanga.;P00248480;Philippines;Uvaria;rufa;0;0;0;;;1;7;1912;;;;0;0;0;119.9361357;12.1332076;0;0;1284;P00248480;Fénix, E.;Fénix, E.
Edaño, G.;;<NA>;<NA>;01/10/1925 - 30/11/1925;Capiz;Philippines. Capiz Province. Panay;P00248494;Philippines;Uvaria;panayensis;0;0;0;<NA>;<NA>;1;10;1925;;;;0;0;0;122.7909577;11.5544662;0;0;nan;P00248494;Edaño, G.;Edaño, G.
Fénix, E.;;Kessler, P.;01/10/1989 - 31/10/1989;01/11/1917 - 30/11/1917;Pangasinan;Philippines. Mt. San Isidro. Labrador. Prov. of Pangasinan. Luzon;P00267942;Philippines;Neo-uvaria;sp.;0;0;0;<NA>;<NA>;1;11;1917;1;10;1989;0;0;0;120.117;15.985;0;0;nan;P00267942;Fénix, E.;Fénix, E.
McGregor, R.C.;18783;Kessler, P.;09/09/1985 - 09/09/1985;01/06/1914 - 30/06/1914;Biliran;Philippines. Biliran;P01988183;Philippines;Goniothalamus;sp.;0;0;0;;;1;6;1914;9;9;1985;0;0;0;124.48419570922853;11.585651457681356;0;0;18783;P01988183;McGregor, R.C.;McGregor, R.C.
McGregor, R.C.;;Kessler, P.;09/09/1985 - 09/09/1985;01/06/1914 - 30/06/1914;Biliran;Philippines. Biliran;P01988187;Philippines;Goniothalamus;sp.;0;0;0;<NA>;<NA>;1;6;1914;9;9;1985;0;0;0;124.49;11.6;0;0;nan;P01988187;McGregor, R.C.;McGregor, R.C.
Edaño, G.;;van Setten, A.K.;01/01/1987 - 31/12/1987;01/10/1925 - 30/11/1925;Capiz;Philippines. Capiz Province. Panay;P01986508;Philippines;Enicosanthum;grandifolium;0;0;0;<NA>;<NA>;1;10;1925;1;1;1987;0;0;0;122.7909577;11.5544662;0;0;nan;P01986508;Edaño, G.;Edaño, G.
Edaño, G.;;<NA>;<NA>;01/12/1916 - 31/12/1916;Zambales;Philippines. Mt Cabangaan, Butulan, Province de Zambales, Luzon;P01986511;Philippines;Enicosanthum;grandifolium;0;0;0;<NA>;<NA>;1;12;1916;;;;0;0;0;120.215;14.887;0;0;nan;P01986511;Edaño, G.;Edaño, G.
Fénix, E.;28413;<NA>;<NA>;01/05/1917 - 31/05/1917;Apayao;Philippines. Mt. Sulu. Apayao Subprovince. Luzon;P01986540;Philippines;Haplostichanthus;lanceolata;0;0;0;;;1;5;1917;;;;0;0;0;121.2165;18.1166;0;0;28413;P01986540;Fénix, E.;Fénix, E.
McGregor, R.C.;;<NA>;<NA>;01/06/1915 - 31/08/1915;Laguna;Philippines. Province of Laguna. Luzon;P01986109;Philippines;Friesodielsia;bakeri;0;0;0;<NA>;<NA>;1;6;1915;;;;0;0;0;121.3336;14.1696;0;0;nan;P01986109;McGregor, R.C.;McGregor, R.C.
Revel-MacDonald, N.;235;<NA>;<NA>;<NA>;Palawan;Philippines : Ile Palawan;P01984612;Philippines;Annona;muricata;0;0;0;;;;;;;;;0;0;0;118.75;10.0;0;0;235;P01984612;Revel-MacDonald, N.;Revel-MacDonald, N.
McGregor, R.C.;;Maas, P.J.M. et Westra, L.Y.T.;01/01/1984 - 31/12/1984;01/11/1910 - 31/12/1910;Laguna;Philippines. Calauan. Prov. of Laguna. Luzon;P01960550;Philippines;Anaxagorea;luzonensis;0;0;0;<NA>;<NA>;1;11;1910;1;1;1984;0;0;0;121.3149851;14.1453986;0;0;nan;P01960550;McGregor, R.C.;McGregor, R.C.
