recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby;coll_surname;huh_name;geo_col;wiki_url;genus_old;specificEpithet_old
Barthe;;Kessler, P;26/10/1989 - 26/10/1989;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P02034807;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;nan;P02034807;Barthe;Kessler, P.;Barthe;Barthe;<NA>;<NA>;Goniothalamus;0
Barthe;;Kessler, P;26/10/1989 - 26/10/1989;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P02034809;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;26;10;1989;0;0;0;120.9809674;14.5907332;0;0;nan;P02034809;Barthe;Kessler, P.;Barthe;Barthe;<NA>;<NA>;Goniothalamus;0
Barthe;;nan;<NA>;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P01964274;Philippines;Uvaria;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P01964274;Barthe;<NA>;Barthe;Barthe;<NA>;<NA>;Uvaria;0
Barthe;;nan;<NA>;01/01/1857 - 31/12/1857;National Capital Region (NCR);Manille;P01765041;Philippines;Uvaria;sp.;0;0;0;0;<NA>;<NA>;1;1;1857;;;;0;0;0;120.9809674;14.5907332;0;0;nan;P01765041;Barthe;<NA>;Barthe;Barthe;<NA>;<NA>;Uvaria;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;01/01/1834 - 31/12/1834;;Java;P01987545;Indonésie;Orophea;corymbosa;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1986;0;0;0;;;0;0;nan;P01987545;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0;Orophea;0
Blume;;Kessler, P;06/01/1985 - 06/01/1985;01/01/1834 - 31/12/1834;;Java;P01987544;Indonésie;Orophea;corymbosa;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1985;0;0;0;;;0;0;nan;P01987544;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0;Orophea;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;01/01/1834 - 31/12/1834;;Java;P00268513;Indonésie;Pseuduvaria;latifolia;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1986;0;0;0;;;0;0;nan;P00268513;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0;Pseuduvaria;0
Blume;;Kessler, P;06/01/1986 - 06/01/1986;01/01/1834 - 31/12/1834;;Java;P00268514;Indonésie;Pseuduvaria;latifolia;0;0;0;0;<NA>;<NA>;1;1;1834;6;1;1986;0;0;0;;;0;0;nan;P00268514;Blume;Kessler, P.;Blume;Blume, Carl(Karl) Ludwig von;Indonesia;0;Pseuduvaria;0
Borden, TE;;nan;<NA>;01/04/1904 - 30/04/1904;Bataan;Philippines. Lamao River. Prov. of Bataan, Luzon.;P00751131;Philippines;Cyathocalyx;globosus;0;0;0;0;<NA>;<NA>;1;4;1904;;;;0;0;0;120.578;14.502;0;0;nan;P00751131;Borden, T.E.;<NA>;Borden;Borden, Thomas E.;Philippines;0;Cyathocalyx;0
Borden, TE;;nan;<NA>;01/04/1904 - 30/04/1904;Bataan;Philippines. Lamao River. Prov. of Bataan, Luzon;P00751134;Philippines;Cyathocalyx;globosus;0;0;0;0;<NA>;<NA>;1;4;1904;;;;0;0;0;120.578;14.502;0;0;nan;P00751134;Borden, T.E.;<NA>;Borden;Borden, Thomas E.;Philippines;0;Cyathocalyx;0
