scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;orig_recby;orig_detby;country_iso3;sp_idx;status;accepted_name;ipni_species_author;ipni_no
Alphonsea borneensis I.M.Turner;Alphonsea;borneensis;0;0;Church, AC;"Church, AC; Mahyar, UW  1344 , Church, AC; Mahyar, UW  1344 ";Church;1344;;0;6;5;1994;Turner, IM, Turner, IM;<NA>;;;;ID;Indonesia;0;"Indonesia, C. Kalimantan; Sintang. HPH km 83-87; along old logging road east of camp.0.49S; 112.3E";0;112.5;-0.816667;<NA>, <NA>;Botany, Botany;L0045016, L0045017;L  0045016, L  0045017;Church;Church, Alison Cameron;Indonesia, United States of America;0;;;;IDN;Alphonsea borneensis;ACCEPTED;Alphonsea borneensis;I.M.Turner;https://ipni.org/n/77102838-1
Alphonsea borneensis I.M.Turner;Alphonsea;borneensis;0;0;Mahyar, UW;1344;;1344;;0;6;5;1994;nan;<NA>;;;;ID;Indonesia;0;"C. Kalimantan.  Sintang.  HPH Km 83-87; along old logging road east of camp.";0;112.06;-0.82;K;Herbarium;K000580481;K000580481;Mahyar;Mahyar, Uway Warsita;Indonesia, Malaysia, Papua New Guinea, Philippines, Singapore;0;0;"Mahyar, U.W.; Church, A.C.; Hamzah; Indah";<NA>;IDN;Alphonsea borneensis;ACCEPTED;Alphonsea borneensis;I.M.Turner;https://ipni.org/n/77102838-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Balgooy, MMJ van;Balgooy, MMJ van  5141 , Balgooy, MMJ van  5141 , Balgooy, MMJ van  5141 ;Balgooy;5141;;0;9;9;1985;Kessler, PJA, Kessler, PJA, Kessler, PJA;1990-01-01T00:00:00;1;1;1990;ID;Indonesia;0;Kebun Raya Bogor, W. Java.;0;106.78333300000001;-6.583333;<NA>, <NA>, <NA>;Botany, Botany, Botany;U1062132, L1753080, L0771373;U.1062132, L.1753080, L  0771373;Balgooy;Balgooy, Max Michael Josephus van;Netherlands, Papua New Guinea;0;;;;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Balgooy, MMJ van;"Balgooy, MMJ van; Setten, AK van  5648 , Balgooy, MMJ van; Setten, AK van  5648 , Balgooy, MMJ van; Setten, AK van  5648 , Balgooy, MMJ van; Setten, AK van  5648 ";Balgooy;5648;;0;4;7;1986;Kessler, PJA, Kessler, PJA, nan, nan;1990-01-01T00:00:00;1;1;1990;ID;Indonesia;0;Kebun Raya Bogor, W. Java.;0;106.783333;-6.583333;<NA>, <NA>, <NA>, <NA>;Botany, Botany, Botany, Botany;L1753079, L0772283, L0298563, U1062131;L.1753079, L  0772283, L  0298563, U.1062131;Balgooy;Balgooy, Max Michael Josephus van;Netherlands, Papua New Guinea;0;;;;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Kostermans, AJGH;"Kostermans, AJGH; Anta  1118 ";Kostermans;1118;;0;10;10;1949;Kessler, PJA;1990-01-01T00:00:00;1;1;1990;ID;Indonesia;0;Bangka, Lobok-besar.;0;106.55;-2.6;<NA>;Botany;L1753074;L.1753074;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;0;"Kostermans AJGH; Anta";Kessler PJA;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Kostermans, AJGH;"Kostermans, AJGH; Anta  1141 ";Kostermans;1141;;0;13;10;1949;Kessler, PJA;1990-01-01T00:00:00;1;1;1990;ID;Indonesia;0;Bangka, Lobok-besar.;0;106.55;-2.6;<NA>;Botany;L1753077;L.1753077;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;0;"Kostermans AJGH; Anta";Kessler PJA;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Kostermans, AJGH;"Kostermans, AJGH; Anta  221 ";Kostermans;221;;0;30;8;1949;Kessler, PJA;1990-02-01T00:00:00;1;2;1990;ID;Indonesia;0;Bangka, Lobok-besar (S.E. Bangka).;0;106.55;-2.6;<NA>;Botany;L1753071;L.1753071;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;0;"Kostermans AJGH; Anta";Kessler PJA;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Kostermans, AJGH;Kostermans, AJGH  230 , Kostermans, AJGH  230 ;Kostermans;230;;0;10;10;1949;Kessler, PJA, Kessler, PJA;1990-02-01T00:00:00;1;2;1990;ID;Indonesia;0;Bangka, Bangka, Lobok Besar;0;106.55;-2.6;<NA>, <NA>;Botany, Botany;L1753069, L0535230;L.1753069, L  0535230;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;;;;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Kostermans, AJGH;"Kostermans, AJGH; Anta  254 ";Kostermans;254;;0;1;9;1949;Kessler, PJA;1990-01-01T00:00:00;1;1;1990;ID;Indonesia;0;Bangka, Lobok-besar (S.E. Bangka).;0;106.55;-2.6;<NA>;Botany;L1753078;L.1753078;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;0;"Kostermans AJGH; Anta";Kessler PJA;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
Alphonsea elliptica Hook.f. & Thomson;Alphonsea;elliptica;0;0;Kostermans, AJGH;"Kostermans, AJGH; Anta  292 ";Kostermans;292;;0;1;9;1949;Kessler, PJA;1990-02-01T00:00:00;1;2;1990;ID;Indonesia;0;S.E. Bangka, Lobok-besar.;0;106.55;-2.6;<NA>;Botany;L1753070;L.1753070;Kostermans;Kostermans, Andre Joseph Guillaume Henri;Indonesia, Sri Lanka, Thailand;0;0;"Kostermans AJGH; Anta";Kessler PJA;IDN;Alphonsea elliptica;ACCEPTED;Alphonsea elliptica;Hook.f. & Thomson;https://ipni.org/n/71986-1
