scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;region;specificEpithet;orig_recby;orig_detby;to_check;to_check_det;country_iso3;status;accepted_name;ipni_no
0;Polyalthia;barnesii;(Merr.) B.Xue & R.M.K.Saunders;0;Adduru, M;108;;108;;01/05/1917 - 18/06/1917;1;5;1917;nan;<NA>;;;;PH;Philippines;0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.9;17.617;0;0;P01983360;P01983360;Adduru;Cagayan;0;Adduru, M.;<NA>;;;PHL;SYNONYM;Monoon barnesii;https://ipni.org/n/74503-1
0;Artabotrys;cagayanensis;Merr.;0;Adduru, M;136;;136;;01/05/1917 - 18/06/1917;1;5;1917;Merrill, ED;<NA>;;;;PH;Philippines;0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;0;121.9;17.617;0;0;P00389821;P00389821;Adduru;Cagayan;0;Adduru, M.;Merrill, E.D.;;;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1
0;Orophea;cumingiana;S.Vidal;0;Adduru, M;148;;148;;01/05/1917 - 18/06/1917;1;5;1917;nan;<NA>;;;;PH;Philippines;0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.9;17.617;0;0;P01987514;P01987514;Adduru;Cagayan;0;Adduru, M.;<NA>;;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1
0;Polyalthia;suberosa;(Roxb.) Thwaites;0;Adduru, M;38;;38;;01/05/1917 - 18/06/1917;1;5;1917;nan;<NA>;;;;PH;Philippines;0;Philippines. Alcala, Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.656;17.903;0;0;P01983819;P01983819;Adduru;Cagayan;0;Adduru, M.;<NA>;;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1
0;Mitrephora;reflexa;Merr.;0;Adduru, M;63;;63;;01/05/1917 - 18/06/1917;1;5;1917;nan;<NA>;;;;PH;Philippines;0;Philippines. Quibal. Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.7594281;17.3379754;0;0;P01967893;P01967893;Adduru;Cagayan;0;Adduru, M.;<NA>;;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1
0;Mitrephora;reflexa;Merr.;0;Adduru, M;96;;96;;01/05/1917 - 18/06/1917;1;5;1917;nan;<NA>;;;;PH;Philippines;0;Littoc. Vicinity of Peñablanca, Cagayan Province, Luzon.;0;121.9;17.6167;0;0;P01967891;P01967891;Adduru;Cagayan;0;Adduru, M.;<NA>;;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1
0;Uvaria;rufa;(Hook.f. & Thomson) Merr.;0;Ahern;3137;;3137;;01/05/1905 - 30/06/1905;1;5;1905;nan;<NA>;;;;PH;Philippines;0;Philippines. Province of Rizal, Luzon.;0;121.25;14.65;0;0;P00142681;P00142681;Ahern;Rizal;0;Ahern;<NA>;;;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1
0;Cyathocalyx;philippinensis;(C.B.Rob.) Survesw. & R.M.K.Saunders;0;Alambra, F;27414;;27414;;01/12/1918 - 31/12/1918;1;12;1918;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippines. Paracale. Camarines Province. Luzon;0;122.7873227;14.2795995;0;0;P01984327;P01984327;Alambra;Camarines Norte;0;Alambra, F.;Kessler, P.;;;PHL;SYNONYM;Drepananthus acuminatus;https://ipni.org/n/72675-1
0;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Amarillas, FL;24662;;24662;;01/11/1915 - 30/11/1915;1;11;1915;nan;<NA>;;;;PH;Philippines;0;Philippines. Province of Laguna. Luzon;0;;;0;0;P02006240;P02006240;Amarillas;Laguna;0;Amarillas, F.L.;<NA>;;;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1
0;Cyathocalyx;globosus;Merr.;0;Barnes, PT;560;;560;;01/03/1904 - 31/03/1904;1;3;1904;nan;<NA>;;;;PH;Philippines;0;Philippines. Lamao River. Prov. of Bataan, Luzon;0;120.578;14.502;0;0;P00391137;P00391137;Barnes;Bataan;0;Barnes, P.T.;<NA>;;;PHL;ACCEPTED;Cyathocalyx globosus;https://ipni.org/n/72657-1
0;Goniothalamus;lancifolius;Merr.;0;Barros, C;24844;;24844;;01/08/1915 - 31/10/1915;1;8;1915;nan;<NA>;;;;PH;Philippines;0;Philippines. Province of Cagayan. Luzon;0;121.694;18.228;0;0;P01988147;P01988147;Barros;Cagayan;0;Barros, C.;<NA>;;;PHL;ACCEPTED;Goniothalamus lancifolius;https://ipni.org/n/73208-1
0;Pseuduvaria;philippinensis;Merr.;0;Bawan, F;25305;;25305;;01/03/1916 - 31/03/1916;1;3;1916;Su, YCF;01/09/2001 - 30/09/2001;1;9;2001;PH;Philippines;0;Philippines. Province of Tayabas. Luzon;0;121.5918364;14.0263471;0;0;P00268521;P00268521;Bawan;Quezon;0;Bawan, F.;Su, Y.C.F.;;;PHL;ACCEPTED;Pseuduvaria philippinensis;https://ipni.org/n/74961-1
