scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;huh_name;geo_col;wiki_url
Mitrephora merrillii C.B.Rob.;Neo-Uvaria;acuminatissima;(Miq.) Airy Shaw;0;Agama, J;23163;;23163;;0;;;1914.0;;;;;;PH;Philippines;0;;0;125.1544;7.8181;NHMUK;BOT;BM000560223;BM000560223;;0.0;José Agama;;PHL;ACCEPTED;Neo-Uvaria acuminatissima;https://ipni.org/n/74172-1;Agama, José;Malaysia, Philippines;0
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Ahern;3316;;3316;;0;;9.0;1905.0;;;;;;PH;Philippines;0;Rizal Province, Luzon;0;121.165227;14.592146;VT;;UVMVT102133;UVMVT102133;Ahern;0.0;Ahern;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;Ahern, George Patrick;Philippines;0
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Alcasid, GL;Alcasid, GL PNH 1631 ;Alcasid;1631;;0;21.0;5.0;1946.0;Merrill, ED;;;;;PH;Philippines;0;;0;121.1643;17.5189;;Botany;L3956554;L.3956554;Alcasid;0.0;Alcasid GL;Merrill ED;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Alcasid, Godefredo L.;Philippines;0
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Alvarez, RJ;Alvarez, RJ FB 13545 ;Alvarez;13545;;0;1.0;8.0;1909.0;Weerasooriya, AD;2001-03-01T00:00:00;1.0;3.0;2001.0;PH;Philippines;0;Philippines. Luzon, Bataan Prov.;0;120.416667;14.666667;;Botany;L1757261;L.1757261;Alvarez;0.0;Alvarez RJ;Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;Alvarez, Ramon J.;Philippines;0
Cyathocalyx sumatranus Scheff.;Cyathocalyx;sumatranus;Scheff.;0;Alvarez, RJ;Alvarez, RJ FB 13549 ;Alvarez;13549;;0;1.0;8.0;1909.0;Kessler, PJA;1990-11-01T00:00:00;1.0;11.0;1990.0;PH;Philippines;0;Bataan Prov., Luzon.;0;120.416667;14.666667;;Botany;L1755587;L.1755587;Alvarez;0.0;Alvarez RJ;Kessler PJA;PHL;ACCEPTED;Cyathocalyx sumatranus;https://ipni.org/n/72686-1;Alvarez, Ramon J.;Philippines;0
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Alvarez, RJ;Alvarez, RJ FB 21441 ;Alvarez;21441;;0;1.0;5.0;1914.0;;;;;;PH;Philippines;0;Province of Camarines, Luzon.;0;123.333333;13.666667;;Botany;L1753699;L.1753699;Alvarez;0.0;Alvarez RJ;;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;Alvarez, Ramon J.;Philippines;0
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;Maingay ex Hook.f.;0;Argent, GCG;"Argent, GCG; et al. PPI 25380 ";Argent;25380;;0;20.0;1.0;1998.0;;;;;;PH;Philippines;0;Philippines: Palawan: on path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;;Botany;L1766751;L.1766751;Argent;0.0;"Argent GCG; et al.";;PHL;ACCEPTED;Orophea enterocarpa;https://ipni.org/n/74223-1;Argent, Graham Charles George;Indonesia;0
Desmos chinensis Lour.;Desmos;chinensis;Lour.;0;Argent, GCG;"Argent, GCG; et al. PPI 25407 ";Argent;25407;;0;21.0;1.0;1998.0;;;;;;PH;Philippines;0;Philippines: Palawan: On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;;Botany;L1760339;L.1760339;Argent;0.0;"Argent GCG; et al.";;PHL;ACCEPTED;Desmos chinensis;https://ipni.org/n/72771-1;Argent, Graham Charles George;Indonesia;0
Dasymaschalon oblongatum Merr.;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Argent, GCG;"Argent, GCG; Wilkie, P; Mendum, M; Fuentes, R 99/ 307 ";Argent;99;;0;17.0;11.0;1999.0;;;;;;PH;Philippines;0;Philippines. Bataan Province: Luzon Island: Barangay Banawang. Sitio Ulingan.;0;120.383333;14.616667;;Botany;L4266459;L.4266459;Argent;0.0;"Argent GCG; Wilkie P; Mendum M; Fuentes R";;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1;Argent, Graham Charles George;Indonesia;0
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;Maingay ex Hook.f.;0;Argent, GCG;25380;;25380;;0;20.0;1.0;1998.0;;;;;;PH;Philippines;0;On path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;E;E;E00210862;E00210862;;0.0;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;;PHL;ACCEPTED;Orophea enterocarpa;https://ipni.org/n/74223-1;Argent, Graham Charles George;Indonesia;0
Desmos chinensis Lour.;Desmos;chinensis;Lour.;0;Argent, GCG;25407;;25407;;0;21.0;1.0;1998.0;;;;;;PH;Philippines;0;On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;E;E;E00210855;E00210855;;0.0;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;;PHL;ACCEPTED;Desmos chinensis;https://ipni.org/n/72771-1;Argent, Graham Charles George;Indonesia;0
Polyalthia obliqua Hook.f. & Thomson;Polyalthia;obliqua;Hook.f. & Thomson;0;Añonuevo, P;Añonuevo, P PNH 13575 ;A;13575;;0;21.0;6.0;1950.0;;;;;;PH;Philippines;0;Aroman, Carmen, Cotabato Province, Mindanao;0;124.4709;7.1709;;Botany;L1767283;L.1767283;;0.0;Añonuevo P;Heusden ECH van;PHL;ACCEPTED;Polyalthia obliqua;https://ipni.org/n/74673-1;<NA>;<NA>;<NA>
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Barbon, EB;"Barbon, EB; Alvarez, RJ; Garcia, HG PPI 12314 ";Barbon;12314;;0;19.0;9.0;1993.0;;;;;;PH;Philippines;0;Quezon, Quezon, Tagkawayan, Brgy. Bagong Silang II.;0;122.529444;13.968889;;Botany;L3966276;L.3966276;Barbon;0.0;"Barbon EB; Alvarez RJ; Garcia HG";;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;Barbon, E. B.;Philippines;0
Polyalthia lanceolata S.Vidal;Haplostichanthus;lanceolata;S.Vidal;0;Barbon, EB;"Barbon, EB; Romero, EM; Fuentes, RE PPI 13103 ";Barbon;13103;;0;10.0;7.0;1994.0;Xue, B;2012-10-01T00:00:00;1.0;10.0;2012.0;PH;Philippines;0;So. Kapuntian, Brgy, San Jose, San Mariano.;0;122.05;16.983333;;Botany;L1762670;L.1762670;Barbon;0.0;"Barbon EB; Romero EM; Fuentes RE";Xue B;PHL;SYNONYM;Polyalthia lanceolata;https://ipni.org/n/979807-1;Barbon, E. B.;Philippines;0
