"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"global_id";"childData_id";"accSpecies_id";"colnum_fullprefix";"status";"accepted_name";"ipni_no";".val";".equ";".zer";".cap";".cen";".con";".gbf";".inst";".summary"
"Polyalthia subcordata (Blume) Blume";"Polyalthia";"subcordata";0;0;"Abdulhadi, R";"Abdulhadi, R  682 ";"Abdulhadi";682;"";0;1;2;1980;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Sumatera, Ketambe, Aceh Tenggara";0;97.6486;3.6831;"<NA>";"Botany";"L1768063";"L.1768063";"Abdulhadi";0;"Abdulhadi R";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Orophea corymbosa (Blume) Miq.";"Orophea";"corymbosa";0;0;"Abdulhadi, R";"Abdulhadi, R  711 ";"Abdulhadi";711;"";0;1;2;1980;"Kessler, PJA";"1985-08-01T00:00:00";1;8;1985;"ID";"Indonesia";0;"Sumatera, Ketambe, Aceh Tenggara.";0;97.6486;3.6831;"<NA>";"Botany";"L1766426";"L.1766426";"Abdulhadi";0;"Abdulhadi R";"Kessler PJA";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Pseuduvaria reticulata (Blume) Miq.";"Pseuduvaria";"reticulata";0;0;"Achmad";"Achmad  1035 ";"Achmad";1035;"";0;8;4;1919;"Su, YCF";"2001-05-01T00:00:00";1;5;2001;"ID";"Indonesia";0;"Indonesia. Eil Simaloer, Sumatra.";0;96.08;2.58;"<NA>";"Botany";"L1764277";"L.1764277";"Achmad";0;"Achmad";"Su YCF";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Stelechocarpus burahol (Blume) Hook.f. & Thomson";"Stelechocarpus";"burahol";0;0;"Achmad";"Achmad  1036 , Achmad  1036 ";"Achmad";1036;"";0;9;4;1919;"Heusden, ECH van, Heusden, ECH van";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Indonesia. Eil. Simaloer, Sumatra.";0;96.08;2.58;"<NA>, <NA>";"Botany, Botany";"L1770285, L1770286";"L.1770285, L.1770286";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Pseuduvaria reticulata (Blume) Miq.";"Pseuduvaria";"reticulata";0;0;"Achmad";"Achmad  1088 ";"Achmad";1088;"";0;5;5;1919;"Su, YCF";"2001-12-01T00:00:00";1;12;2001;"ID";"Indonesia";0;"Indonesia, Sumatra, Aceh, Eiland Simaloer";0;96.08;2.58;"<NA>";"Botany";"L1764219";"L.1764219";"Achmad";0;"Achmad";"Su YCF";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Cyathocalyx carinatus (Ridl.) J.Sinclair";"Drepananthus";"carinatus";0;0;"Achmad";"Achmad  1109 ";"Achmad";1109;"";0;13;5;1919;"Wang, R";"2004-01-01T00:00:00";1;1;2004;"ID";"Indonesia";0;"Eil. Simaloer, Sumatra";0;96.08;2.58;"<NA>";"Botany";"L1754044";"L.1754044";"Achmad";0;"Achmad";"Wang R";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Stelechocarpus burahol (Blume) Hook.f. & Thomson";"Stelechocarpus";"burahol";0;0;"Achmad";"Achmad  1289 ";"Achmad";1289;"";0;4;8;1919;"Heusden, ECH van";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Indonesia. Eil. Simaloer, Sumatra.";0;96.08;2.58;"<NA>";"Botany";"L1770289";"L.1770289";"Achmad";0;"Achmad";"Heusden ECH van";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mitrephora simeuluensis Weeras. & R.M.K.Saunders";"Mitrephora";"simeuluensis";0;0;"Achmad";"Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 , Achmad  1298 ";"Achmad";1298;"";0;9;8;1919;"Weerasooriya, AD, Weerasooriya, AD, Weerasooriya, AD, nan, nan, nan";"2001-03-01T00:00:00";1;3;2001;"ID";"Indonesia";0;"Indonesia. Eil Simaloer, Sumatra.";0;96.08;2.58;"<NA>, <NA>, <NA>, <NA>, <NA>, <NA>";"Botany, Botany, Botany, Botany, Botany, Botany";"L1762097, L1762096, L1762100, U1073735, U1073736, U1073737";"L.1762097, L.1762096, L.1762100, U.1073735, U.1073736, U.1073737";"Achmad";NA;"nan";"";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Mezzettia parviflora Becc.";"Mezzettia";"parviflora";0;0;"Achmad";"Achmad  1324 ";"Achmad";1324;"";0;21;8;1919;"Kessler, PJA";"1989-06-01T00:00:00";1;6;1989;"ID";"Indonesia";0;"Archipel. Ind. Eil. Simaloer, Sumatra.";0;96.08;2.58;"<NA>";"Botany";"L1766056";"L.1766056";"Achmad";0;"Achmad";"Kessler PJA";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"Polyalthia Blume";"Polyalthia";"nan";0;0;"Achmad";"Achmad  1436 ";"Achmad";1436;"";0;9;10;1919;"nan";"<NA>";NA;NA;NA;"ID";"Indonesia";0;"Eil. Simaloer bij Sumatra, Landschap Tapah";0;101.3;-2.05;"<NA>";"Botany";"L1764068";"L.1764068";"Achmad";0;"Achmad";"<NA>";"IDN";"<NA>";"<NA>";"<NA>";NA;"<NA>";"<NA>";"<NA>";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
