"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"huh_name";"geo_col";"wiki_url";"region";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"sp_idx";"status";"accepted_name";"ipni_species_author";"ipni_no";"geo_issues"
0;"Alphonsea";"boniana";0;0;"Bon";"2734";"";2734;"";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"VN";"Viet Nam";0;"Tonkin occidental.";0;NA;NA;"0";"0";"P00411017";"P00411017";"Bon";"Bon, Henri Francois";"Hong Kong, Vietnam";"0";"";0;"Bon";"<NA>";"VNM";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";NA
0;"Alphonsea";"boniana";0;0;"Kerr, AFG";"5068";"";5068;"";"10/03/1921 - 10/03/1921";10;3;1921;"Kessler, P";"25/10/1989 - 25/10/1989";25;10;1989;"not found";"Thaïlande";0;"Siam";0;NA;NA;"0";"0";"P01921630";"P01921630";"Kerr";"Kerr, Arthur Francis George";"France, Laos, Malaysia, Myanmar, Thailand";"0";"";0;"Kerr, A.F.G.";"Kessler, P.";"not found";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";NA
0;"Alphonsea";"havilandii";0;0;"Beccari, O";"2621";"";2621;"";"<NA>";NA;NA;NA;"Kessler, P";"09/09/1985 - 09/09/1985";9;9;1985;"not found";"<NA>";0;"Bornéo";0;NA;NA;"0";"0";"P01956350";"P01956350";"Beccari";"Beccari, Odoardo";"Ethiopia, Greece, Indonesia, Italy, Malaysia, New Zealand";"http://en.wikipedia.org/wiki/Odoardo_Beccari";"";0;"Beccari, O.";"Kessler, P.";"not found";"Alphonsea havilandii";"ACCEPTED";"Alphonsea havilandii";"Kessler";"https://ipni.org/n/988496-1";NA
0;"Alphonsea";"hortensis";0;0;"Thwaites";"3826";"";3826;"";"<NA>";NA;NA;NA;"Kessler, P";"01/02/1990 - 28/02/1990";1;2;1990;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P01956333";"P01956333";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"Kessler, P.";"LKA";"Alphonsea hortensis";"ACCEPTED";"Alphonsea hortensis";"H.Huber";"https://ipni.org/n/905635-1";NA
0;"Alphonsea";"monogyna";0;0;"Liang, HY";"64847";"";64847;"";"20/01/1934 - 20/01/1934";20;1;1934;"Kessler, P";"01/02/1990 - 28/02/1990";1;2;1990;"not found";"Chine";0;"Hainan";0;NA;NA;"0";"0";"P01956329";"P01956329";"Liang";"Liang, H. Y.";"China";"0";"Hainan(海南)";0;"Liang, H.Y.";"Kessler, P.";"not found";"Alphonsea monogyna";"ACCEPTED";"Alphonsea monogyna";"Merr. & Chun";"https://ipni.org/n/72000-1";NA
0;"Alphonsea";"zeylanica";0;0;"Thwaites";"1039";"";1039;"";"01/01/1858 - 31/12/1858";1;1;1858;"Thwaites";"<NA>";NA;NA;NA;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P02008532";"P02008532";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"Thwaites";"LKA";"Alphonsea zeylanica";"ACCEPTED";"Alphonsea zeylanica";"Hook.f. & Thomson";"https://ipni.org/n/72019-1";NA
0;"Alphonsea";"zeylanica";0;0;"Thwaites";"1039";"";1039;"";"01/01/1854 - 31/12/1854";1;1;1854;"Kessler, P";"03/09/1985 - 03/09/1985";3;9;1985;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P00432191";"P00432191";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"Kessler, P.";"LKA";"Alphonsea zeylanica";"ACCEPTED";"Alphonsea zeylanica";"Hook.f. & Thomson";"https://ipni.org/n/72019-1";NA
0;"Alphonsea";"zeylanica";0;0;"Thwaites";"2406";"";2406;"";"01/01/1858 - 31/12/1858";1;1;1858;"nan";"<NA>";NA;NA;NA;"LK";"Sri Lanka";0;"Ceylan";0;NA;NA;"0";"0";"P02008531";"P02008531";"Thwaites";"Thwaites";"<NA>";"<NA>";"";0;"Thwaites";"<NA>";"LKA";"Alphonsea zeylanica";"ACCEPTED";"Alphonsea zeylanica";"Hook.f. & Thomson";"https://ipni.org/n/72019-1";NA
0;"Anaxagorea";"javanica";0;0;"Blume";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"Blume";"<NA>";NA;NA;NA;"not found";"Indonésie";0;"Java.";0;NA;NA;"0";"0";"P00411140";"P00411140";"Blume";"Blume, Carl(Karl) Ludwig von";"Indonesia";"0";"";0;"Blume";"Blume";"not found";"Anaxagorea javanica";"ACCEPTED";"Anaxagorea javanica";"Blume";"https://ipni.org/n/72037-1";NA
0;"Annona";"asiatica";0;0;"Zollinger";"";"<NA>";NA;"<NA>";"<NA>";NA;NA;NA;"nan";"<NA>";NA;NA;NA;"not found";"Indonésie";0;"Java";0;NA;NA;"0";"0";"P01989356";"P01989356";"Zollinger";"Zollinger, Heinrich";"Indonesia";"http://en.wikipedia.org/wiki/Heinrich_Zollinger";"";0;"Zollinger";"<NA>";"not found";"Annona asiatica";"SYNONYM";"Annona squamosa";"L.";"https://ipni.org/n/72154-1";NA
