"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"huh_name";"geo_col";"wiki_url";"region";"specificEpithet";"orig_recby";"orig_detby";"country_iso3";"sp_idx";"status";"accepted_name";"ipni_species_author";"ipni_no";"geo_issues";".summary"
"Alphonsea";"boniana";0;0;"Bon, H";"3432, 3432, 3432";"";3432;"";"07/07/1887 - 07/07/1887";7;7;1887;"Kessler, P, nan, nan";"10/10/1987 - 10/10/1987";10;10;1987;"VN";"Viet Nam";0;"Tonkin. (HN) In collibus Ban Phet";0;105.8669;20.55;"0, 0, 0";"0, 0, 0";"P00411012, P00411013, P00411014";"P00411012, P00411013, P00411014";"Bon";"Bon, Henri Francois";"Hong Kong, Vietnam";"0";"";NA;"";"";"VNM";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";"";TRUE
"Alphonsea";"boniana";0;0;"Geesink, R";"6847";"";6847;"";"23/05/1974 - 23/05/1974";23;5;1974;"Kessler, P";"01/11/2003 - 30/11/2003";1;11;2003;"not found";"Thaïlande";0;"E. Thailand, prov. Chaiyaphum. Ban Nam hrom. Alt. 600 m.";0;102;15.6666666666667;"0";"0";"P01921626";"P01921626";"Geesink";"Geesink, Robert";"Netherlands";"0";"Chaiyaphum(ชัยภูมิ)";0;"Geesink, R.";"Kessler, P.";"not found";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";".con";FALSE
"Alphonsea";"boniana";0;0;"Geesink, R";"6976";"";6976;"";"25/05/1974 - 25/05/1974";25;5;1974;"Kessler, P";"01/01/1990 - 31/01/1990";1;1;1990;"not found";"Thaïlande";0;"E. Thailand, prov. Chaiyaphum, between Ban Nam Phrom and Tunkamang. Alt. 700 m.";0;102;15.6666666666667;"0";"0";"P01921627";"P01921627";"Geesink";"Geesink, Robert";"Netherlands";"0";"Chaiyaphum(ชัยภูมิ)";0;"Geesink, R.";"Kessler, P.";"not found";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";".con";FALSE
"Alphonsea";"boniana";0;0;"Phusomsaeng, S";"112";"";112;"";"11/04/1969 - 11/04/1969";11;4;1969;"Kessler, P";"01/11/2003 - 30/11/2003";1;11;2003;"not found";"Thaïlande";0;"Thailand. Pen : Trang, Khao Chong";0;99.783;7.549;"0";"0";"P01921629";"P01921629";"Phusomsaeng";"Phusomsaeng, S.";"Thailand";"0";"Trang(ตรัง)";0;"Phusomsaeng, S.";"Kessler, P.";"not found";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";".con";FALSE
"Alphonsea";"boniana";0;0;"Sangkhachand, B";"1544";"";1544;"";"14/01/1968 - 14/01/1968";14;1;1968;"Kessler, P";"01/01/1990 - 31/01/1990";1;1;1990;"not found";"Thaïlande";0;"Thailand. Peninsular : Trang, Khao Chong";0;99.75;7.667;"0";"0";"P01921625";"P01921625";"Sangkhachand";"Sangkhachand, Bunnak";"Thailand";"0";"Trang(ตรัง)";0;"Sangkhachand, B.";"Kessler, P.";"not found";"Alphonsea boniana";"ACCEPTED";"Alphonsea boniana";"Finet & Gagnep.";"https://ipni.org/n/71981-1";".con";FALSE
"Alphonsea";"curtisii";0;0;"Wiart, C";"4467";"";4467;"";"15/03/1995 - 15/03/1995";15;3;1995;"Wiart, C";"<NA>";NA;NA;NA;"not found";"Malaisie";0;"Malaysia. Lenggong.";0;100.9678905;5.1094869;"0";"0";"P01921623";"P01921623";"Wiart";"Wiart, C";"<NA>";"<NA>";"Perak";0;"Wiart, C.";"Wiart, C.";"not found";"Alphonsea curtisii";"ACCEPTED";"Alphonsea curtisii";"King";"https://ipni.org/n/71984-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Kiah";"32312";"";32312;"";"04/03/1937 - 04/03/1937";4;3;1937;"Henderson, MR";"<NA>";NA;NA;NA;"not found";"Malaisie";0;"Malay Peninsula. Sungai Kayu, Johore";0;103.9149141;1.9177592;"0";"0";"P02008530";"P02008530";"Kiah";"Sidek bin Kiah";"Malaysia";"0";"Johor";0;"Kiah";"Henderson, M.R.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Kostermans";"1118";"";1118;"";"10/10/1949 - 10/10/1949";10;10;1949;"Sinclair, J";"17/09/1954 - 17/09/1954";17;9;1954;"not found";"Indonésie";0;"Bangka, Lobok-besar. 20 m alt.";0;106.594;-2.6282;"0";"0";"P01956352";"P01956352";"Kostermans";"Kostermans, Andre Joseph Guillaume Henri";"Indonesia, Sri Lanka, Thailand";"0";"Bangka-Belitung";0;"Kostermans";"Sinclair, J.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Kostermans";"1141";"";1141;"";"13/10/1949 - 13/10/1949";13;10;1949;"Kessler, P";"01/02/1990 - 28/02/1990";1;2;1990;"not found";"Indonésie";0;"Bangka, Lobok-besar. 20 m alt.";0;106.594;-2.6282;"0";"0";"P01956356";"P01956356";"Kostermans";"Kostermans, Andre Joseph Guillaume Henri";"Indonesia, Sri Lanka, Thailand";"0";"Bangka-Belitung";0;"Kostermans";"Kessler, P.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Kostermans";"221";"";221;"";"30/08/1949 - 30/08/1949";30;8;1949;"Kessler, P";"01/02/1990 - 28/02/1990";1;2;1990;"not found";"Indonésie";0;"Bangka, Lobok-besar (S.E. Bangka). 20 m alt.";0;106.594;-2.6282;"0";"0";"P01956354";"P01956354";"Kostermans";"Kostermans, Andre Joseph Guillaume Henri";"Indonesia, Sri Lanka, Thailand";"0";"Bangka-Belitung";0;"Kostermans";"Kessler, P.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Kostermans";"254";"";254;"";"01/09/1949 - 01/09/1949";1;9;1949;"Kessler, P";"01/02/1990 - 28/02/1990";1;2;1990;"not found";"Indonésie";0;"Bangka, Lobok-besar (S.E. Bangka). 20 m alt.";0;106.594;-2.6282;"0";"0";"P01956355";"P01956355";"Kostermans";"Kostermans, Andre Joseph Guillaume Henri";"Indonesia, Sri Lanka, Thailand";"0";"Bangka-Belitung";0;"Kostermans";"Kessler, P.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Kostermans";"418";"";418;"";"05/09/1949 - 05/09/1949";5;9;1949;"Kessler, P";"01/02/1990 - 28/02/1990";1;2;1990;"not found";"Indonésie";0;"Bangka, Lobok-besar (S.E. Bangka). 20 m alt.";0;106.594;-2.6282;"0";"0";"P01956353";"P01956353";"Kostermans";"Kostermans, Andre Joseph Guillaume Henri";"Indonesia, Sri Lanka, Thailand";"0";"Bangka-Belitung";0;"Kostermans";"Kessler, P.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"elliptica";0;0;"Sinclair, J";"39820";"";39820;"";"05/07/1953 - 05/07/1953";5;7;1953;"Sinclair, J";"<NA>";NA;NA;NA;"not found";"Malaisie";0;"Malay Peninsula. Kampong Batas Bahru, Kuala Trengganu.";0;103.144;5.12;"0";"0";"P01956351";"P01956351";"Sinclair";"Sinclair, John F.";"United States of America";"0";"Terengganu";0;"Sinclair, J.";"Sinclair, J.";"not found";"Alphonsea elliptica";"ACCEPTED";"Alphonsea elliptica";"Hook.f. & Thomson";"https://ipni.org/n/71986-1";".con";FALSE
"Alphonsea";"gaudichaudiana";0;0;"Gaudichaud";"203, 203, 203";"";203;"";"01/01/1837 - 31/01/1837";1;1;1837;"Kessler, P, Kessler, P, nan";"01/02/1990 - 28/02/1990";1;2;1990;"VN";"Viet Nam";0;"Cochinchine. Tourane";0;108.212;16.068;"0, 0, 0";"0, 0, 0";"P00411011, P00411010, P00411008";"P00411011, P00411010, P00411008";"Gaudichaud";"Gaudichaud-Beaupre, Charles";"Brazil";"0";"";NA;"";"";"VNM";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
"Alphonsea";"gaudichaudiana";0;0;"Kerr, AFG";"20922";"";20922;"";"06/04/1932 - 06/04/1932";6;4;1932;"Kessler, P";"09/09/1985 - 09/09/1985";9;9;1985;"LA";"Laos, République démocratique populaire";0;"Laos. Tawieng, Chiengkwang. c. 600 m";0;103.401;19.033;"0";"0";"P01921614";"P01921614";"Kerr";"Kerr, Arthur Francis George";"France, Laos, Malaysia, Myanmar, Thailand";"0";"Xiangkhouang";0;"Kerr, A.F.G.";"Kessler, P.";"LAO";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
"Alphonsea";"gaudichaudiana";0;0;"Lecomte, H";"1337";"";1337;"";"18/11/1911 - 18/11/1911";18;11;1911;"nan";"<NA>";NA;NA;NA;"VN";"Viet Nam";0;"Indo-Chine. Thua-Luu";0;108;16.272;"0";"0";"P01921619";"P01921619";"Lecomte";"Lecomte, H";"<NA>";"<NA>";"Thừa Thiên - Huế";0;"Lecomte, H.";"Lecomte, H. et Finet, A.";"VNM";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
"Alphonsea";"gaudichaudiana";0;0;"Lecomte, H";"1357";"";1357;"";"18/11/1911 - 18/11/1911";18;11;1911;"Kessler, P";"25/10/1989 - 25/10/1989";25;10;1989;"VN";"Viet Nam";0;"Thua-Luu. Indo-Chine";0;108;16.272;"0";"0";"P01921618";"P01921618";"Lecomte";"Lecomte, H";"<NA>";"<NA>";"Thừa Thiên - Huế";0;"Lecomte, H.";"Kessler, P.";"VNM";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
"Alphonsea";"gaudichaudiana";0;0;"Nanthavong, K";"BT 145";"BT";145;"";"08/04/2005 - 08/04/2005";8;4;2005;"Kessler, PJA";"01/10/2005 - 31/10/2005";1;10;2005;"LA";"Laos, République démocratique populaire";0;"Laos, Khammouan prov., Nakai district, Oudom Souk, protected forest behind field station. Alt: 533 m";0;105.140027777778;17.7101666666667;"0";"0";"P00888737";"P00888737";"Nanthavong";"Nanthavong, K.";"Laos";"0";"Khammouan";0;"Nanthavong, K.";"Kessler, P.J.A.";"LAO";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
"Alphonsea";"gaudichaudiana";0;0;"Nanthavong, K";"BT 147";"BT";147;"";"08/04/2005 - 08/04/2005";8;4;2005;"Kessler, PJA";"01/10/2005 - 31/10/2005";1;10;2005;"LA";"Laos, République démocratique populaire";0;"Laos, Khammouan, Nakai district, Oudom Souk, protected forest behind field station. Alt: 533 m";0;105.133333333333;17.7;"0";"0";"P00888740";"P00888740";"Nanthavong";"Nanthavong, K.";"Laos";"0";"Khammouan";0;"Nanthavong, K.";"Kessler, P.J.A.";"LAO";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
"Alphonsea";"gaudichaudiana";0;0;"Nanthavong, K";"BT 681, BT 681";"BT";681;"";"08/10/2006 - 08/10/2006";8;10;2006;"Nanthavong, K, Nanthavong, K";"01/10/2006 - 31/10/2006";1;10;2006;"LA";"Laos, République démocratique populaire";0;"Laos, Khammouan privince, Nakai district, ban (village) Sop Ma. Alt: 539 m";0;105.052777777778;17.8022222222222;"0, 0";"0, 0";"P00888738, P00888741";"P00888738, P00888741";"Nanthavong";"Nanthavong, K.";"Laos";"0";"";NA;"";"";"LAO";"Alphonsea gaudichaudiana";"ACCEPTED";"Alphonsea gaudichaudiana";"(Baill.) Finet & Gagnep.";"https://ipni.org/n/77070651-1";"";TRUE
