"scientific_name";"genus";"specific_epithet";"species_author";"collector_id";"recorded_by";"colnum_full";"prefix";"colnum";"sufix";"col_date";"col_day";"col_month";"col_year";"det_by";"det_date";"det_day";"det_month";"det_year";"country_id";"country";"continent";"locality";"coordinate_id";"ddlong";"ddlat";"institute";"herbarium_code";"barcode";"orig_bc";"coll_surname";"huh_name";"geo_col";"wiki_url";"tmp_det_date";"expert_det";"orig_recby";"orig_detby";"recby_regex";"country_iso3";"sp_idx";"status";"accepted_name";"ipni_species_author";"ipni_no";"geo_issues";"summary"
"Annonaceae";"";"";"";"";"Hughes, M";"MH1712";"MH";1712;"";"";"3";"5";"2012";"";"";"";"";"";"PH";"Philippines";"";"Mt. St. Paul";"";118.91;10.16;"E";"E";"E00625168";"E00625168";"Hughes";"Hughes, M";"";"";"";"";"Hughes, Mark";"";"Hughes, M";"PHL";"";"";"";"";"";"";TRUE
"Annonaceae";"";"";"";"";"Hughes, M";"MH1730";"MH";1730;"";"";"3";"5";"2012";"";"";"";"";"";"PH";"Philippines";"";"Mt. St. Paul";"";118.91;10.16;"E";"E";"E00625165";"E00625165";"Hughes";"Hughes, M";"";"";"";"";"Hughes, Mark";"";"Hughes, M";"PHL";"";"";"";"";"";"";TRUE
"Annonaceae";"";"";"";"";"Puglisi, Carmen";"CP317";"CP";317;"";"";"29";"5";"2012";"";"";"";"";"";"PH";"Philippines";"";"Sabang, jungle trail between CPS and underground river";"";118.918056;10.198056;"E";"E";"E00625174";"E00625174";"Puglisi";"Puglisi, Carmen";"";"";"";"";"Puglisi, Carmen";"";"Puglisi, C";"PHL";"";"";"";"";"";"";TRUE
"Annonaceae";"";"";"";"";"Puglisi, Carmen";"CP323";"CP";323;"";"";"30";"5";"2012";"";"";"";"";"";"PH";"Philippines";"";"Underground river inflow";"";118.918056;10.198056;"E";"E";"E00625154";"E00625154";"Puglisi";"Puglisi, Carmen";"";"";"";"";"Puglisi, Carmen";"";"Puglisi, C";"PHL";"";"";"";"";"";"";TRUE
"Drepananthus philippinensis Merr.";"Drepananthus";"acuminatus";"";"";"Burley, John Stuart";"Collector Number: 178";"Collector";178;"";"";"28";"4";"1987";"Burley, JS";"";"";"";"";"PH";"Philippines";"";"7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan";"";120.917;13.4667;"BPBM";"BISH";"BISH620170";"620170";"Burley";"Burley, John Stuart";"Indonesia, United States of America";"";"";"";"Burley, J.S.";"J.S.Burley";"Burley, JS";"PHL";"Drepananthus acuminatus";"ACCEPTED";"Drepananthus acuminatus";"(C.B.Rob.) Survesw. & R.M.K.Saunders";"https://ipni.org/n/77109466-1";"";TRUE
"Friesodielsia auriculata (Elmer) Steenis";"Friesodielsia";"auriculata";"";"";"Ramos, Maximo";"43245";"";43245;"";"";"";"";"";"";"";"";"";"";"PH";"Philippines";"";"Bohol";"";124.17;9.83;"K";"Herbarium";"K000691758";"K000691758";"Ramos";"Ramos, Maximo";"Malaysia, Philippines";"";"";"";"Ramos, M.";"";"Ramos, M";"PHL";"Friesodielsia auriculata";"ACCEPTED";"Friesodielsia auriculata";"(Elmer) Steenis";"https://ipni.org/n/73092-1";"";TRUE
"Oncodostigma mindorense (Merr.) Bân";"Meiogyne";"mindorensis";"";"";"Mabesa, Calixto";"25388";"";25388;"";"";"";"";"";"";"";"";"";"";"PH";"Philippines";"";"Province of Laguna, Luzon";"";121.33;14.17;"K";"Herbarium";"K000691920";"K000691920";"Mabesa";"Mabesa, Calixto";"Philippines";"";"";"";"Mabesa, C.";"";"Mabesa, C";"PHL";"Meiogyne mindorensis";"ACCEPTED";"Meiogyne mindorensis";"(Merr.) Heusden";"https://ipni.org/n/977588-1";"";TRUE
"Meiogyne mindorensis (Merr.) Heusden";"Meiogyne";"mindorensis";"";"";"Ramos, Maximo";"35026";"";35026;"";"";"";"6";"1918";"";"";"";"";"";"PH";"Philippines";"";"Nearest Named Place: Siargao Island";"";126.04586;9.84829;"NHMUK";"BOT";"BM0-00632901";"BM0-00632901";"Ramos";"Ramos, Maximo";"Malaysia, Philippines";"";"";"";"M. Ramos & J. Pascasio";"";"Ramos, M ";"PHL";"Meiogyne mindorensis";"ACCEPTED";"Meiogyne mindorensis";"(Merr.) Heusden";"https://ipni.org/n/977588-1";"";TRUE
"Oncodostigma mindorense (Merr.) Bân";"Meiogyne";"mindorensis";"";"";"Williams, Robert Stratham";"512";"";512;"";"";"24";"1";"1904";"";"";"";"";"";"PH";"Philippines";"";"Lamao R., Mt. Mariveles, prov. Bataan Central Luzon";"";120.48;14.53;"K";"Herbarium";"K000691918";"K000691918";"Williams";"Williams, Robert Stratham";"Bolivia, Canada, Panama, Peru, Philippines, United States of America";"";"";"";"Williams, R.S.";"";"Williams, RS";"PHL";"Meiogyne mindorensis";"ACCEPTED";"Meiogyne mindorensis";"(Merr.) Heusden";"https://ipni.org/n/977588-1";"";TRUE
"Mitrephora pictiflora Elmer";"Mitrephora";"pictiflora";"";"";"Ramos, Maximo";"41501";"";41501;"";"";"";"";"";"";"";"";"";"";"PH";"Philippines";"";"Cabalian, Leyte";"";125.22;10.28;"K";"Herbarium";"K000691986";"K000691986";"Ramos";"Ramos, Maximo";"Malaysia, Philippines";"";"";"";"Ramos, M.";"";"Ramos, M";"PHL";"Mitrephora pictiflora";"ACCEPTED";"Mitrephora pictiflora";"Elmer";"https://ipni.org/n/74034-1";"";TRUE
"Orophea cumingiana S.Vidal";"Orophea";"cumingiana";"";"";"Elmer, Adolph Daniel Edward";"6434";"";6434;"";"";"";"";"";"";"";"";"";"";"PH";"Philippines";"";"Prov Benguet. Kias  Luzon";"";120.57;16.33;"K";"Herbarium";"K000574845";"K000574845";"Elmer";"Elmer, Adolph Daniel Edward";"Indonesia, Philippines, United States of America";"";"";"";"Elmer, A.D.E.";"";"Elmer, ADE";"PHL";"Orophea cumingiana";"ACCEPTED";"Orophea cumingiana";"S.Vidal";"https://ipni.org/n/74213-1";"";TRUE
"Phaeanthus ebracteolatus (C.Presl) Merr.";"Phaeanthus";"ophthalmicus";"";"";"Burley, John Stuart";"Collector Number: 181";"Collector";181;"";"";"28";"4";"1987";"Burley, JS";"";"";"";"";"PH";"Philippines";"";"7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan";"";120.917;13.4667;"BPBM";"BISH";"BISH620167";"620167";"Burley";"Burley, John Stuart";"Indonesia, United States of America";"";"";"";"Burley, J.S.";"J.S.Burley";"Burley, JS";"PHL";"Phaeanthus ophthalmicus";"ACCEPTED";"Phaeanthus ophthalmicus";"(Roxb. ex G.Don) J.Sinclair";"https://ipni.org/n/74450-1";"";TRUE
"Polyalthia mindorensis Merr.";"Polyalthia";"mindorensis";"";"";"Burley, John Stuart";"Collector Number: 179";"Collector";179;"";"";"28";"4";"1987";"Burley, JS";"";"";"";"";"PH";"Philippines";"";"7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan";"";120.917;13.4667;"BPBM";"BISH";"BISH620169";"620169";"Burley";"Burley, John Stuart";"Indonesia, United States of America";"";"";"";"Burley, J.S.";"J.S.Burley";"Burley, JS";"PHL";"Polyalthia mindorensis";"ACCEPTED";"Polyalthia mindorensis";"Merr.";"https://ipni.org/n/77070439-1";"";TRUE
"Orophea luzoniensis Merr.";"Pseuduvaria";"luzoniensis";"";"";"Ramos, Maximo";"43211";"";43211;"";"";"";"";"";"";"";"";"";"";"PH";"Philippines";"";"Bohol";"";124.17;9.83;"K";"Herbarium";"K000574830";"K000574830";"Ramos";"Ramos, Maximo";"Malaysia, Philippines";"";"";"";"Ramos, M.";"";"Ramos, M";"PHL";"Pseuduvaria luzoniensis";"ACCEPTED";"Pseuduvaria luzoniensis";"(Merr.) Y.C.F.Su & R.M.K.Saunders";"https://ipni.org/n/20002930-1";"";TRUE
"Uvaria nudistellata Elmer";"Uvaria";"concava";"";"";"Elmer, Adolph Daniel Edward";"13015, 13015";"";13015;"";"";"";"4";"1911";"Turner, IM, Turner, IM";"";"";"";"";"PH";"Philippines";"";"Puerto Princesa (Mount Pulgar)";"";119.200154;10.2204165;"NHMUK, NHMUK";"BOT, BOT";"BM0-00885795, BM0-00885795";"BM0-00885795, BM0-00885795";"Elmer";"Elmer, Adolph Daniel Edward";"Indonesia, Philippines, United States of America";"";"";"";"";"";"";"PHL";"Uvaria concava";"ACCEPTED";"Uvaria concava";"Teijsm. & Binn.";"https://ipni.org/n/75624-1";"";TRUE
