scientific_name;genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;specificEpithet;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;global_id;childData_id;accSpecies_id;colnum_fullprefix;region;to_check;to_check_det;.val;.equ;.zer;.cap;.cen;.con;.gbf;.inst;.summary
0;Polyalthia;barnesii;(Merr.) B.Xue & R.M.K.Saunders;0;Adduru, M;108;nan;108;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.9;17.617;0;0;P01983360;P01983360;Adduru;0.0;Adduru, M.;;PHL;SYNONYM;Monoon barnesii;https://ipni.org/n/74503-1;nan;nan;nan;;Cagayan;;;True;True;True;True;True;True;True;True;True
0;Artabotrys;cagayanensis;Merr.;0;Adduru, M;136;nan;136;nan;01/05/1917 - 18/06/1917;1;5;1917;Merrill, ED;nan;;;;PH;Philippines;0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;0;121.9;17.617;0;0;P00389821;P00389821;Adduru;0.0;Adduru, M.;Merrill, E.D.;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1;nan;nan;nan;;Cagayan;;;True;True;True;True;True;True;True;True;True
0;Orophea;cumingiana;S.Vidal;0;Adduru, M;148;nan;148;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.9;17.617;0;0;P01987514;P01987514;Adduru;0.0;Adduru, M.;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;nan;nan;nan;;Cagayan;;;True;True;True;True;True;True;True;True;True
0;Polyalthia;suberosa;(Roxb.) Thwaites;0;Adduru, M;38;nan;38;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0;Philippines. Alcala, Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.656;17.903;0;0;P01983819;P01983819;Adduru;0.0;Adduru, M.;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1;nan;nan;nan;;Cagayan;;;True;True;True;True;True;True;True;True;True
0;Mitrephora;reflexa;Merr.;0;Adduru, M;63;nan;63;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0;Philippines. Quibal. Vicinity of Peñablanca. Cagayan Province. Luzon;0;121.7594281;17.3379754;0;0;P01967893;P01967893;Adduru;0.0;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;nan;nan;nan;;Cagayan;;;True;True;True;True;True;True;True;True;True
0;Mitrephora;reflexa;Merr.;0;Adduru, M;96;nan;96;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0;Littoc. Vicinity of Peñablanca, Cagayan Province, Luzon.;0;121.9;17.6167;0;0;P01967891;P01967891;Adduru;0.0;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;nan;nan;nan;;Cagayan;;;True;True;True;True;True;True;True;True;True
0;Neo-uvaria;acuminatissima;(Miq.) Airy Shaw;0;Agama, J;nan;nan;nan;nan;01/10/1914 - 30/11/1914;1;10;1914;nan;nan;;;;PH;Philippines;0;Philippines. Lanao District, Mindanao;0;124.113;7.912;0;0;P00267950;P00267950;Agama;0.0;Agama, J.;;PHL;ACCEPTED;Neo-uvaria acuminatissima;https://ipni.org/n/74172-1;nan;nan;nan;;Lanao del Norte;;;True;True;True;True;True;True;True;True;True
0;Uvaria;rufa;(Hook.f. & Thomson) Merr.;0;Ahern;3137;nan;3137;nan;01/05/1905 - 30/06/1905;1;5;1905;nan;nan;;;;PH;Philippines;0;Philippines. Province of Rizal, Luzon.;0;121.25;14.65;0;0;P00142681;P00142681;Ahern;0.0;Ahern;;PHL;SYNONYM;Pyramidanthe prismatica;https://ipni.org/n/75912-1;nan;nan;nan;;Rizal;;;True;True;True;True;True;True;True;True;True
Anaxagorea luzonensis A.Gray;Anaxagorea;luzonensis;A.Gray;0;Ahern;3316;nan;3316;nan;0;;9;1905;nan;nan;;;;PH;Philippines;0;Rizal Province, Luzon;0;121.165227;14.592146;VT;nan;UVMVT102133;UVMVT102133;Ahern;0.0;Ahern;;PHL;ACCEPTED;Anaxagorea luzonensis;https://ipni.org/n/72039-1;0;0;0;0;;;;;;;;;;;;
0;Mitrephora;reflexa;Merr.;0;Ahern;nan;nan;nan;nan;01/03/1905 - 31/03/1905;1;3;1905;nan;nan;;;;PH;Philippines;0;Philippines. Province of Rizal, Luzon.;0;121.25;14.65;0;0;P00389822;P00389822;Ahern;0.0;Ahern;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;nan;nan;nan;;Rizal;;;True;True;True;True;True;True;True;True;True
0;Miliusa;vidalii;J.Sinclair;0;Ahern;nan, nan;nan;nan;nan;01/04/1904 - 30/04/1904;1;4;1904;Mols, JB, nan;01/03/2004 - 31/03/2004;1;3;2004;PH;Philippines;0;Philippine Forest. Antipolo, Province of Rizal, Luzon;0;121.20768055;14.6130131;0, 0;0, 0;P00160920, P00372684;P00160920, P00372684;Ahern;;;;;;;;;;;;;;;;;;;;;;;
0;Cyathocalyx;philippinensis;(C.B.Rob.) Survesw. & R.M.K.Saunders;0;Alambra, F;27414;nan;27414;nan;01/12/1918 - 31/12/1918;1;12;1918;Kessler, P;01/11/2003 - 30/11/2003;1;11;2003;PH;Philippines;0;Philippines. Paracale. Camarines Province. Luzon;0;122.7873227;14.2795995;0;0;P01984327;P01984327;Alambra;0.0;Alambra, F.;Kessler, P.;PHL;SYNONYM;Drepananthus acuminatus;https://ipni.org/n/72675-1;nan;nan;nan;;Camarines Norte;;;True;True;True;True;True;False;True;True;False
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Alcasid, GL;Alcasid, GL PNH 1631 ;Alcasid;1631;nan;0;21;5;1946;Merrill, ED;nan;;;;PH;Philippines;0;nan;0;121.1643;17.5189;nan;Botany;L3956554;L.3956554;Alcasid;0.0;Alcasid GL;Merrill ED;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;0;0;0;0;;;;;;;;;;;;
Mitrephora lanotan (Blanco) Merr.;Mitrephora;lanotan;(Blanco) Merr.;0;Alvarez, RJ;Alvarez, RJ FB 13545 ;Alvarez;13545;nan;0;1;8;1909;Weerasooriya, AD;2001-03-01T00:00:00;1;3;2001;PH;Philippines;0;Philippines. Luzon, Bataan Prov.;0;120.416667;14.666667;nan;Botany;L1757261;L.1757261;Alvarez;0.0;Alvarez RJ;Weerasooriya AD;PHL;ACCEPTED;Mitrephora lanotan;https://ipni.org/n/74010-1;0;0;0;0;;;;;;;;;;;;
Cyathocalyx sumatranus Scheff.;Cyathocalyx;sumatranus;Scheff.;0;Alvarez, RJ;Alvarez, RJ FB 13549 ;Alvarez;13549;nan;0;1;8;1909;Kessler, PJA;1990-11-01T00:00:00;1;11;1990;PH;Philippines;0;Bataan Prov., Luzon.;0;120.416667;14.666667;nan;Botany;L1755587;L.1755587;Alvarez;0.0;Alvarez RJ;Kessler PJA;PHL;ACCEPTED;Cyathocalyx sumatranus;https://ipni.org/n/72686-1;0;0;0;0;;;;;;;;;;;;
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;odorata;(Lam.) Hook.f. & Thomson;0;Alvarez, RJ;Alvarez, RJ FB 21441 ;Alvarez;21441;nan;0;1;5;1914;nan;nan;;;;PH;Philippines;0;Province of Camarines, Luzon.;0;123.333333;13.666667;nan;Botany;L1753699;L.1753699;Alvarez;0.0;Alvarez RJ;;PHL;ACCEPTED;Cananga odorata;https://ipni.org/n/72580-1;0;0;0;0;;;;;;;;;;;;
0;Cyathocalyx;globosus;Merr.;0;Alvarez, RJ;nan;nan;nan;nan;01/08/1909 - 31/08/1909;1;8;1909;nan;nan;;;;PH;Philippines;0;Philippines. Bataan Prov., Luzon.;0;120.417;14.667;0;0;P01981673;P01981673;Alvarez;0.0;Alvarez, R.J.;;PHL;ACCEPTED;Cyathocalyx globosus;https://ipni.org/n/72657-1;nan;nan;nan;;Bataan;;;True;True;True;True;True;True;True;True;True
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;Maingay ex Hook.f.;0;Argent, GCG;"Argent, GCG; et al. PPI 25380 ";Argent;25380;nan;0;20;1;1998;nan;nan;;;;PH;Philippines;0;Philippines: Palawan: on path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;nan;Botany;L1766751;L.1766751;Argent;0.0;"Argent GCG; et al.";;PHL;ACCEPTED;Orophea enterocarpa;https://ipni.org/n/74223-1;0;0;0;0;;;;;;;;;;;;
Desmos chinensis Lour.;Desmos;chinensis;Lour.;0;Argent, GCG;"Argent, GCG; et al. PPI 25407 ";Argent;25407;nan;0;21;1;1998;nan;nan;;;;PH;Philippines;0;Philippines: Palawan: On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;nan;Botany;L1760339;L.1760339;Argent;0.0;"Argent GCG; et al.";;PHL;ACCEPTED;Desmos chinensis;https://ipni.org/n/72771-1;0;0;0;0;;;;;;;;;;;;
Dasymaschalon oblongatum Merr.;Dasymaschalon;clusiflorum;(Merr.) Merr.;0;Argent, GCG;"Argent, GCG; Wilkie, P; Mendum, M; Fuentes, R 99/ 307 ";Argent;99;nan;0;17;11;1999;nan;nan;;;;PH;Philippines;0;Philippines. Bataan Province: Luzon Island: Barangay Banawang. Sitio Ulingan.;0;120.383333;14.616667;nan;Botany;L4266459;L.4266459;Argent;0.0;"Argent GCG; Wilkie P; Mendum M; Fuentes R";;PHL;ACCEPTED;Dasymaschalon clusiflorum;https://ipni.org/n/72729-1;0;0;0;0;;;;;;;;;;;;
Goniothalamus elmeri Merr.;Goniothalamus;elmeri;Merr.;0;Barbon, EB;"Barbon, EB; Alvarez, RJ; Garcia, HG PPI 12314 ";Barbon;12314;nan;0;19;9;1993;nan;nan;;;;PH;Philippines;0;Quezon, Quezon, Tagkawayan, Brgy. Bagong Silang II.;0;122.529444;13.968889;nan;Botany;L3966276;L.3966276;Barbon;0.0;"Barbon EB; Alvarez RJ; Garcia HG";;PHL;ACCEPTED;Goniothalamus elmeri;https://ipni.org/n/73186-1;0;0;0;0;;;;;;;;;;;;
