scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx
0.0;Artabotrys;cagayanensis;Merr.;Adduru, M;136.0;nan;136.0;nan;01/05/1917 - 18/06/1917;1;5;1917;Merrill, ED;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;0.0;121.9;17.617;0;0.0;P00389821;P00389821;Adduru;Adduru, M.;Merrill, E.D.;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Orophea;cumingiana;S.Vidal;Adduru, M;148.0;nan;148.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0;0.0;P01987514;P01987514;Adduru;Adduru, M.;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Polyalthia;suberosa;(Roxb.) Thwaites;Adduru, M;38.0;nan;38.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Alcala, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.656;17.903;0;0.0;P01983819;P01983819;Adduru;Adduru, M.;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Mitrephora;reflexa;Merr.;Adduru, M;63.0;nan;63.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Quibal. Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.7594281;17.3379754;0;0.0;P01967893;P01967893;Adduru;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;;Cagayan;nan;;;nan;;nan;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Polyalthia;nan;nan;Adduru, M;108;nan;108.0;nan;01/05/1917 - 18/06/1917;1;5;1917;nan;nan;;;;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0;0;P01983360;P01983360;Adduru;Adduru, M.;;PHL;SYNONYM;Monoon barnesii;https://ipni.org/n/74503-1;;Cagayan;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Polyalthia;mindorensis;nan;nan;Burley, John Stuart;Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179;Collector;179.0;nan;nan;28;4;1987;Burley, JS, Burley, JS, Burley, JS, Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM, BPBM, BPBM, BPBM;BISH, BISH, BISH, BISH;BISH620169;620169, 620169, 620169, 620169;Burley;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Phaeanthus;ophthalmicus;nan;nan;Burley, John Stuart;Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181;Collector;181.0;nan;nan;28;4;1987;Burley, JS, Burley, JS, Burley, JS, Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM, BPBM, BPBM, BPBM;BISH, BISH, BISH, BISH;BISH62016911111, BISH620167;620167, 620167, 620167, 620167;Burley;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Drepathus;acuminatus;nan;nan;Burley, John Stuart;Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178;Collector;178.0;nan;nan;28;4;1987;Burley, JS, Burley, JS, Burley, JS, Burley, JS;nan;;;;PH;Philippines;nan;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;nan;120.917;13.4667;BPBM, BPBM, BPBM, BPBM;BISH, BISH, BISH, BISH;BISH620170;620170, 620170, 620170, 620170;Burley;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Meiogyne;mindorensis;nan;nan;Ramos, Maximo;35026, 35026, 35026, 35026;nan;35026.0;nan;nan;;6;1918;, , , ;nan;;;;PH;Philippines;nan;Nearest Named Place: Siargao Island;nan;126.04586;9.84829;NHMUK, NHMUK, NHMUK, NHMUK;BOT, BOT, BOT, BOT;BM0-00632901;BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Uvaria;concava;nan;nan;Elmer, Adolph Daniel Edward;13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015;nan;13015.0;nan;nan;;4;1911;Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM;nan;;;;PH;Philippines;nan;Puerto Princesa (Mount Pulgar);nan;119.200154;10.2204165;NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK;BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT;BM0-00885795, BM0-00885795;BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795;Elmer;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
nan;nan;nan;nan;Puglisi, Carmen;CP323, CP323, CP323;CP;323.0;nan;nan;30;5;2012;, , ;nan;;;;PH;Philippines;nan;Underground river inflow;nan;118.918056;10.198056;E, E, E;E, E, E;E00625154;E00625154, E00625154, E00625154;Puglisi;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Puglisi, Carmen;nan;nan;nan;;;
nan;nan;nan;nan;Hughes, M;MH1730, MH1730, MH1730;MH;1730.0;nan;nan;3;5;2012;, , ;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E, E, E;E, E, E;E00625165;E00625165, E00625165, E00625165;Hughes;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Hughes, M;nan;nan;nan;;;
nan;nan;nan;nan;Hughes, M;MH1712, MH1712, MH1712;MH;1712.0;nan;nan;3;5;2012;, , ;nan;;;;PH;Philippines;nan;Mt. St. Paul;nan;118.91;10.16;E, E, E;E, E, E;E00625168;E00625168, E00625168, E00625168;Hughes;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Hughes, M;nan;nan;nan;;;
nan;nan;nan;nan;Puglisi, Carmen;CP317, CP317, CP317;CP;317.0;nan;nan;29;5;2012;, , ;nan;;;;PH;Philippines;nan;Sabang, jungle trail between CPS and underground river;nan;118.918056;10.198056;E, E, E;E, E, E;E00625174;E00625174, E00625174, E00625174;Puglisi;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;Puglisi, Carmen;nan;nan;nan;;;
Pseuduvaria;luzoniensis;nan;nan;Ramos, Maximo;43211, 43211, 43211, 43211;nan;43211.0;nan;nan;;;;, , , ;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium;K000574830;K000574830, K000574830, K000574830, K000574830;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Orophea;cumingiana;nan;nan;Elmer, Adolph Daniel Edward;6434, 6434, 6434, 6434;nan;6434.0;nan;nan;;;;, , , ;nan;;;;PH;Philippines;nan;Prov Benguet. Kias  Luzon;nan;120.57;16.33;K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium;K000574845;K000574845, K000574845, K000574845, K000574845;Elmer;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Friesodielsia;auriculata;nan;nan;Ramos, Maximo;43245, 43245, 43245, 43245;nan;43245.0;nan;nan;;;;, , , ;nan;;;;PH;Philippines;nan;Bohol;nan;124.17;9.83;K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium;K000691758;K000691758, K000691758, K000691758, K000691758;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Meiogyne;mindorensis;nan;nan;Williams, Robert Stratham;512, 512, 512, 512;nan;512.0;nan;nan;24;1;1904;, , , ;nan;;;;PH;Philippines;nan;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;nan;120.48;14.53;K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium;K000691918;K000691918, K000691918, K000691918, K000691918;Williams;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Meiogyne;mindorensis;nan;nan;Mabesa, Calixto;25388, 25388, 25388, 25388;nan;25388.0;nan;nan;;;;, , , ;nan;;;;PH;Philippines;nan;Province of Laguna, Luzon;nan;121.33;14.17;K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium;K000691920;K000691920, K000691920, K000691920, K000691920;Mabesa;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
Mitrephora;pictiflora;nan;nan;Ramos, Maximo;41501, 41501, 41501, 41501;nan;41501.0;nan;nan;;;;, , , ;nan;;;;PH;Philippines;nan;Cabalian, Leyte;nan;125.22;10.28;K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium;K000691986;K000691986, K000691986, K000691986, K000691986;Ramos;nan;;;nan;nan;nan;;;nan;;;nan;;nan;;;;nan;nan;nan;nan;nan;;;
