scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx
0.0;Artabotrys;cagayanensis;Merr.;Adduru, M;136.0;;136.0;;01/05/1917 - 18/06/1917;1;5;1917;Merrill, ED;;<NA>;<NA>;<NA>;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province;0.0;121.9;17.617;0;0.0;P00389821;P00389821;Adduru;Adduru, M.;Merrill, E.D.;PHL;ACCEPTED;Artabotrys cagayanensis;https://ipni.org/n/72363-1;;Cagayan;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Orophea;cumingiana;S.Vidal;Adduru, M;148.0;;148.0;;01/05/1917 - 18/06/1917;1;5;1917;;;<NA>;<NA>;<NA>;PH;Philippines;0.0;Philippines. Littoc, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.9;17.617;0;0.0;P01987514;P01987514;Adduru;Adduru, M.;;PHL;ACCEPTED;Orophea cumingiana;https://ipni.org/n/74213-1;;Cagayan;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Polyalthia;suberosa;(Roxb.) Thwaites;Adduru, M;38.0;;38.0;;01/05/1917 - 18/06/1917;1;5;1917;;;<NA>;<NA>;<NA>;PH;Philippines;0.0;Philippines. Alcala, Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.656;17.903;0;0.0;P01983819;P01983819;Adduru;Adduru, M.;;PHL;ACCEPTED;Polyalthia suberosa;https://ipni.org/n/74734-1;;Cagayan;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;
0.0;Mitrephora;reflexa;Merr.;Adduru, M;63.0;;63.0;;01/05/1917 - 18/06/1917;1;5;1917;;;<NA>;<NA>;<NA>;PH;Philippines;0.0;Philippines. Quibal. Vicinity of Peñablanca. Cagayan Province. Luzon;0.0;121.7594281;17.3379754;0;0.0;P01967893;P01967893;Adduru;Adduru, M.;;PHL;ACCEPTED;Mitrephora reflexa;https://ipni.org/n/74037-1;;Cagayan;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;;;
;;;;Puglisi, Carmen;CP323, CP323, CP323, CP323, CP323, CP323, CP323;CP;323.0;;;30;5;2012;, , , , , , ;;<NA>;<NA>;<NA>;PH;Philippines;;Underground river inflow;;118.918056;10.198056;E, E, E, E, E, E, E;E, E, E, E, E, E, E;E00625154;E00625154, E00625154, E00625154, E00625154, E00625154, E00625154, E00625154;Puglisi;;;;;;;;;;;;;;;;;;;Puglisi, Carmen;;;;;;
;;;;Hughes, M;MH1730, MH1730, MH1730, MH1730, MH1730, MH1730, MH1730;MH;1730.0;;;3;5;2012;, , , , , , ;;<NA>;<NA>;<NA>;PH;Philippines;;Mt. St. Paul;;118.91;10.16;E, E, E, E, E, E, E;E, E, E, E, E, E, E;E00625165;E00625165, E00625165, E00625165, E00625165, E00625165, E00625165, E00625165;Hughes;;;;;;;;;;;;;;;;;;;Hughes, M;;;;;;
;;;;Hughes, M;MH1712, MH1712, MH1712, MH1712, MH1712, MH1712, MH1712;MH;1712.0;;;3;5;2012;, , , , , , ;;<NA>;<NA>;<NA>;PH;Philippines;;Mt. St. Paul;;118.91;10.16;E, E, E, E, E, E, E;E, E, E, E, E, E, E;E00625168;E00625168, E00625168, E00625168, E00625168, E00625168, E00625168, E00625168;Hughes;;;;;;;;;;;;;;;;;;;Hughes, M;;;;;;
;;;;Puglisi, Carmen;CP317, CP317, CP317, CP317, CP317, CP317, CP317;CP;317.0;;;29;5;2012;, , , , , , ;;<NA>;<NA>;<NA>;PH;Philippines;;Sabang, jungle trail between CPS and underground river;;118.918056;10.198056;E, E, E, E, E, E, E;E, E, E, E, E, E, E;E00625174;E00625174, E00625174, E00625174, E00625174, E00625174, E00625174, E00625174;Puglisi;;;;;;;;;;;;;;;;;;;Puglisi, Carmen;;;;;;
Polyalthia;mindorensis;;;Burley, John Stuart;Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179, Collector Number: 179;Collector;179.0;;;28;4;1987;Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS;;<NA>;<NA>;<NA>;PH;Philippines;;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;;120.917;13.4667;BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM;BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH;BISH620169;620169, 620169, 620169, 620169, 620169, 620169, 620169, 620169, 620169, 620169, 620169;Burley;;;;;;;;;;;;;;;;;;;;;;;;;
Phaeanthus;ophthalmicus;;;Burley, John Stuart;Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181, Collector Number: 181;Collector;181.0;;;28;4;1987;Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS;;<NA>;<NA>;<NA>;PH;Philippines;;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;;120.917;13.4667;BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM;BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH;BISH62016911111, BISH620167;620167, 620167, 620167, 620167, 620167, 620167, 620167, 620167, 620167, 620167, 620167;Burley;;;;;;;;;;;;;;;;;;;;;;;;;
Drepathus;acuminatus;;;Burley, John Stuart;Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178, Collector Number: 178;Collector;178.0;;;28;4;1987;Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS, Burley, JS;;<NA>;<NA>;<NA>;PH;Philippines;;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipa;;120.917;13.4667;BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM, BPBM;BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH, BISH;BISH620170;620170, 620170, 620170, 620170, 620170, 620170, 620170, 620170, 620170, 620170, 620170;Burley;;;;;;;;;;;;;;;;;;;;;;;;;
Meiogyne;mindorensis;;;Ramos, Maximo;35026, 35026, 35026, 35026, 35026, 35026, 35026, 35026, 35026, 35026, 35026;;35026.0;;;<NA>;6;1918;, , , , , , , , <NA>, <NA>, <NA>;;<NA>;<NA>;<NA>;PH;Philippines;;Nearest Named Place: Siargao Island;;126.04586;9.84829;NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK;BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT;BM0-00632901;BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901, BM0-00632901;Ramos;;;;;;;;;;;;;;;;;;;;;;;;;
Uvaria;concava;;;Elmer, Adolph Daniel Edward;13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015, 13015;;13015.0;;;<NA>;4;1911;Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM, Turner, IM;;<NA>;<NA>;<NA>;PH;Philippines;;Puerto Princesa (Mount Pulgar);;119.200154;10.2204165;NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK, NHMUK;BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT, BOT;BM0-00885795, BM0-00885795;BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795, BM0-00885795;Elmer;;;;;;;;;;;;;;;;;;;;;;;;;
Pseuduvaria;luzoniensis;;;Ramos, Maximo;43211, 43211, 43211, 43211, 43211, 43211, 43211, 43211, 43211, 43211, 43211;;43211.0;;;<NA>;<NA>;<NA>;, , , , , , , , <NA>, <NA>, <NA>;;<NA>;<NA>;<NA>;PH;Philippines;;Bohol;;124.17;9.83;K, K, K, K, K, K, K, K, K, K, K;Herbarium, Herbarium, Herbarium, Herbarium, Herbarium, Herbarium, Herbarium, Herbarium, Herbarium, Herbarium, Herbarium;K000574830;K000574830, K000574830, K000574830, K000574830, K000574830, K000574830, K000574830, K000574830, K000574830, K000574830, K000574830;Ramos;;;;;;;;;;;;;;;;;;;;;;;;;
