scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;colNum_full;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;orig_BC;coll_surname;ORIG_recBy;globalID;childDataID;accSpeciesID;colNum_fullprefix;status;accepted_name;ipni_no
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;0;0;Argent, G C G;25380;;25380;;0;20;1;1998;nan;nan;0;0;0;PH;0;0;On path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;E;E;E00210862;E00210862;Argent;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Desmos chinensis Lour.;Desmos;chinensis;0;0;Argent, G C G;25407;;25407;;0;21;1;1998;nan;nan;0;0;0;PH;0;0;On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;E;E;E00210855/2;E-EYT-00210855/2;Argent;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Annonaceae;nan;nan;0;0;Argent, G C G;99307;;99307;;0;17;11;1999;nan;nan;0;0;0;PH;0;0;Barangay Banawang. Sitio Ulingan;0;120.383333;14.616667;E;E;E00271066;E00271066;Argent;Argent, G.C.G., Wilkie, P., Mendum, M., Fuentes, R.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Drepananthus philippinensis Merr.;Drepananthus;acuminatus;0;0;Burley, J S;Collector Number: 178;Collector;178;;0;28;4;1987;J.S.Burley;nan;0;0;0;PH;0;0;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;0;120.917;13.4667;BPBM;BISH;BISH620170;620170;Burley;Burley, J.S.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Polyalthia mindorensis Merr.;Polyalthia;mindorensis;0;0;Burley, J S;Collector Number: 179;Collector;179;;0;28;4;1987;J.S.Burley;nan;0;0;0;PH;0;0;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;0;120.917;13.4667;BPBM;BISH;BISH620169;620169;Burley;Burley, J.S.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ophthalmicus;0;0;Burley, J S;Collector Number: 181;Collector;181;;0;28;4;1987;J.S.Burley;nan;0;0;0;PH;0;0;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;0;120.917;13.4667;BPBM;BISH;BISH620167;620167;Burley;Burley, J.S.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Uvaria nudistellata Elmer;Uvaria;concava;0;0;Elmer, A D E;13015, 13015;;13015;;0;;4;1911;Ian Mark Turner, Ian Mark Turner;nan;0;0;0;PH;0;0;Puerto Princesa (Mount Pulgar);0;119.200154;10.2204165;NHMUK, NHMUK;BOT, BOT;BM000885795, BM000885795;BM000885795, BM000885795;Elmer;nan;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Orophea cumingiana S.Vidal;Orophea;cumingiana;0;0;Elmer, A D E;6434;;6434;;0;;;;nan;nan;0;0;0;PH;0;0;Prov Benguet. Kias  Luzon;0;120.57;16.33;K;Herbarium;K000574845;K000574845;Elmer;Elmer, A.D.E.;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Annonaceae;nan;nan;0;0;Hughes, M;MH1712;MH;1712;;0;3;5;2012;nan;nan;0;0;0;PH;0;0;Mt. St. Paul;0;118.91;10.16;E;E;E00625168;E00625168;Hughes;Hughes, Mark;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
Annonaceae;nan;nan;0;0;Hughes, M;MH1730;MH;1730;;0;3;5;2012;nan;nan;0;0;0;PH;0;0;Mt. St. Paul;0;118.91;10.16;E;E;E00625165;E00625165;Hughes;Hughes, Mark;<NA>;<NA>;<NA>;;<NA>;<NA>;<NA>
