genus;specific_epithet;species_author;collector_id;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;huh_name;geo_col;wiki_url;specificEpithet;tmp_det_date;expert_det;orig_recby;orig_detby;recby_regex;country_iso3;sp_idx;status;accepted_name;ipni_species_author;ipni_no;geo_issues;.summary;tmp_det_date.1;expert_det.1;recby_regex.1;modified;scientific_name;colnum_fullprefix;region;Unnamed: 0
Neo-Uvaria;sp.;0.0;0.0;Achacoso, I;26807;nan;26807;nan;01/04/1917 - 30/04/1917;1;4;1917;Kessler, P;01/01/1989 - 31/12/1989;1;1;1989;PH;Philippines;0.0;Philippines. Province of Antique. Panay;0.0;122.08;11.17;0;0;P00267940;P00267940;Achacoso;Achacoso, I.;Philippines;0;0.0;;nan;Achacoso, I.;Kessler, P.;;PHL;Neo-Uvaria sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Antique;
nan;indet.;0.0;0.0;Agama;7653;nan;7653;nan;29/07/1937 - 29/07/1937;29;7;1937;nan;nan;;;;not found;Malaisie;0.0;British North Borneo. Timbun Mata Is. F.R. Alt. 500';0.0;118.47;4.64;0;0;P02001246;P02001246;Agama;Agama, José;Malaysia, Philippines;0;0.0;;nan;Agama;;;not found;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Sabah;
Polyalthia;sp.;0.0;0.0;Agama, J;nan;nan;nan;nan;01/05/1914 - 31/05/1914;1;5;1914;nan;nan;;;;PH;Philippines;0.0;Philippines. Palawan;0.0;118.75;10.0;0;0;P01983407;P01983407;Agama;Agama, José;Malaysia, Philippines;0;0.0;;nan;Agama, J.;;;PHL;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Palawan;
nan;indet.;0.0;0.0;Alleizette;292;nan;292;nan;01/02/1909 - 28/02/1909;1;2;1909;nan;nan;;;;VN;Viet Nam;0.0;Hanoï. Tonkin;0.0;105.8544441;21.0294498;0;0;P04447058;P04447058;Alleizette;Alleizette, Aymar Charles d';Algeria, France, Madagascar, Martinique, New Caledonia, Seychelles;0;0.0;;nan;Alleizette;;;VNM;<NA> indet.;nan;nan;nan;nan;nan;;;;;nan;0.0;;Hà Nội;
Xylopia;sp.;0.0;0.0;Ambri;W 1007;W;1007;nan;29/01/1992 - 29/01/1992;29;1;1992;Kessler;nan;;;;not found;Indonésie;0.0;Borneo, Kalimantan Timur. Wanariset, Rintis Baru, Plot Matthijs. Alt. 50 m.;0.0;117.0;-1.0;0;0;P02006094;P02006094;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Kessler;;not found;Xylopia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Popowia;sp.;0.0;0.0;Ambri;1270;nan;1270;nan;04/07/1995 - 04/07/1995;4;7;1995;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan. 200 H. Inhutani area, Km 35 Bpp.-Samd. Alt. 50 m.;0.0;117.0;-1.0;0;0;P01960399;P01960399;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Ambri;1387;nan;1387;nan;17/10/1995 - 17/10/1995;17;10;1995;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan. ITTO area, Km 6 to Semoi road.;0.0;117.0;-1.0;0;0;P01982991;P01982991;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Artabotrys;sp.;0.0;0.0;Ambri;1498;nan;1498;nan;13/04/1996 - 13/04/1996;13;4;1996;nan;nan;;;;not found;Indonésie;0.0;Indonesia, East Kalimantan, KPC area Bengalon, Kuari area, near tower. Alt. 70 m.;0.0;117.63806666666666;0.80535;0;0;P01984471;P01984471;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Popowia;sp.;0.0;0.0;Ambri;W 297;W;297;nan;15/08/1990 - 15/08/1990;15;8;1990;Kessler;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, Wanariset research area, Rintis Aren. Alt. 50 m.;0.0;117.0;-1.0;0;0;P01960342;P01960342;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Kessler;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Popowia;sp.;0.0;0.0;Ambri;W 326;W;326;nan;27/08/1990 - 27/08/1990;27;8;1990;Kessler;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, Wanariset research area, Rintis Wartono Kadri. Alt. 50 m.;0.0;117.0;-1.0;0;0;P01960343;P01960343;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Kessler;;not found;Popowia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Artabotrys;sp.;0.0;0.0;Ambri;349;nan;349;nan;04/01/1992 - 04/01/1992;4;1;1992;Kessler;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, Wanariset research area. Road Samboja - Semoi, km 1.9. Alt. 50 m.;0.0;117.0;-1.0;0;0;P01984436;P01984436;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Kessler;;not found;Artabotrys sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Alphonsea;sp.;0.0;0.0;Ambri;398;nan;398;nan;30/01/1992 - 30/01/1992;30;1;1992;Kessler;nan;;;;not found;Indonésie;0.0;Indonesia. Kalimantan Timur, Road Balikpapan Samarinda, km 40, Bukit Soeharto, right side. Alt. 50 m.;0.0;117.01195;-0.8671;0;0;P01921659;P01921659;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Kessler;;not found;Alphonsea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Polyalthia;sp.;0.0;0.0;Ambri;W 440;W;440;nan;10/10/1990 - 10/10/1990;10;10;1990;nan;nan;;;;not found;Indonésie;0.0;E. Kalimantan, Wanariset research I area, off km 3,2 m. Wanariset-semoi road. Alt. 70 m m.;0.0;116.834;-0.933;0;0;P02132575;P02132575;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;;;not found;Polyalthia sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
Alphonsea;sp.;0.0;0.0;Ambri;504;nan;504;nan;07/04/1992 - 07/04/1992;7;4;1992;nan;nan;;;;not found;Indonésie;0.0;Kalimantan Timur, Wanariset research area, Km. 40 Balikpapan-Samarinda. Alt. 50 m.;0.0;117.01195;-0.8671;0;0;P01921651;P01921651;Ambri;Ambri;Indonesia;0;0.0;;nan;Ambri;Ambri & Arifin;;not found;Alphonsea sp.;nan;nan;nan;nan;nan;;;;;nan;0.0;;East Kalimantan;
