scientific_name;genus;specific_epithet;species_author;recorded_by;colnum_full;prefix;colnum;sufix;col_date;col_day;col_month;col_year;det_by;det_date;det_day;det_month;det_year;country_id;country;continent;locality;coordinate_id;ddlong;ddlat;institute;herbarium_code;barcode;orig_bc;coll_surname;orig_recby;orig_detby;country_iso3;status;accepted_name;ipni_no;colnum_fullprefix;region;geo_issues;.summary;tmp_det_date.1;expert_det;recby_regex;modified;scientific_name.1;colnum_fullprefix.1;region.1;collector_id;huh_name;geo_col;wiki_url;ipni_species_author;specificEpithet;tmp_det_date;sp_idx;summary
Alphonsea javanica Scheff.;Alphonsea;javanica;<NA>;Ramos, Maximo;"Ramos, M; Edaño, GE BS 36671 ";Ramos;36671;<NA>;<NA>;1;10;1919;Kessler, PJA;1990-01-01T00:00:00;1;1;1990;PH;Philippines;<NA>;Philippines, Mindanao, Zamboanga District, Mt. Tubuan.;<NA>;124.001389;7.001388;<NA>;Botany;L1744417;L.1744417;Ramos;"Ramos M; Edaño GE";Kessler PJA;PHL;ACCEPTED;Alphonsea javanica;https://ipni.org/n/71989-1;;;<NA>;;;<NA>;Ramos, M;serafin_2023-05-10_09-01-44;;;;<NA>;Ramos, Maximo;Malaysia, Philippines;<NA>;Scheff.;;;Alphonsea javanica;True
Alphonsea javanica Scheff.;Alphonsea;javanica;<NA>;Ridsdale, Colin Ernest;"Ridsdale, CE; Dejan, V; Baquiran, N ISU 275 ";Ridsdale;275;<NA>;<NA>;27;4;1991;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Diguyo.;<NA>;122.5;16.916667;<NA>;Botany;L1744413;L.1744413;Ridsdale;"Ridsdale CE; Dejan V; Baquiran N";;PHL;ACCEPTED;Alphonsea javanica;https://ipni.org/n/71989-1;;;.con;;;<NA>;Ridsdale, CE;serafin_2023-05-10_09-01-44;;;;<NA>;Ridsdale, Colin Ernest;Papua New Guinea, Philippines;<NA>;Scheff.;;;Alphonsea javanica;False
Alphonsea javanica Scheff.;Alphonsea;javanica;<NA>;Ridsdale, Colin Ernest;"Ridsdale, CE; Dejan, V; Baquiran, N ISU 275 ";Ridsdale;275;<NA>;<NA>;27;4;1991;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Diguyo.;<NA>;122.5;16.916667;<NA>;Botany;L1744414;L.1744414;Ridsdale;"Ridsdale CE; Dejan V; Baquiran N";;PHL;ACCEPTED;Alphonsea javanica;https://ipni.org/n/71989-1;;;.con;;;<NA>;Ridsdale, CE;serafin_2023-05-10_09-01-44;;;;<NA>;Ridsdale, Colin Ernest;Papua New Guinea, Philippines;<NA>;Scheff.;;;Alphonsea javanica;False
Alphonsea javanica Scheff.;Alphonsea;javanica;<NA>;Ridsdale, Colin Ernest;"Ridsdale, CE; Dejan, V; Baquiran, N ISU 275 ";Ridsdale;275;<NA>;<NA>;27;4;1991;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Diguyo.;<NA>;122.5;16.916667;<NA>;Botany;L1744415;L.1744415;Ridsdale;"Ridsdale CE; Dejan V; Baquiran N";;PHL;ACCEPTED;Alphonsea javanica;https://ipni.org/n/71989-1;;;.con;;;<NA>;Ridsdale, CE;serafin_2023-05-10_09-01-44;;;;<NA>;Ridsdale, Colin Ernest;Papua New Guinea, Philippines;<NA>;Scheff.;;;Alphonsea javanica;False
Polyalthia williamsii C.B.Rob.;Anaxagorea;javanica;<NA>;Ramos, Maximo;"Ramos, M; Edaño, GE BS 37440 ";Ramos;37440;<NA>;<NA>;1;10;1919;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, Mindanao, Zamboanga District, Malangas.;<NA>;123.0255;7.619237;<NA>;Botany;L1768000;L.1768000;Ramos;"Ramos M; Edaño GE";;PHL;ACCEPTED;Anaxagorea javanica;https://ipni.org/n/72037-1;;;<NA>;;;<NA>;Ramos, M;serafin_2023-05-10_09-01-44;;;;<NA>;Ramos, Maximo;Malaysia, Philippines;<NA>;Blume;;;Anaxagorea javanica;True
Anaxagorea radiata C.B.Rob.;Anaxagorea;javanica;<NA>;Santos, José Vera;Santos, JV  4152 ;Santos;4152;<NA>;<NA>;8;5;1948;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, District of Lamitan, Basilan City, Zamboanga Province. Bureau of Animal Husbandry Breeding Station, Barrio Malsong bordering N. East side of;<NA>;121.966667;6.7;<NA>;Botany;L1744472;L.1744472;Santos;Santos JV;;PHL;ACCEPTED;Anaxagorea javanica;https://ipni.org/n/72037-1;;;.con;;;<NA>;Santos, JV;serafin_2023-05-10_09-01-44;;;;<NA>;Santos, José Vera;Mexico, Philippines;<NA>;Blume;;;Anaxagorea javanica;False
Anaxagorea radiata C.B.Rob.;Anaxagorea;javanica;<NA>;Santos, José Vera;Santos, JV  4152 ;Santos;4152;<NA>;<NA>;8;5;1948;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, District of Lamitan, Basilan City, Zamboanga Province. Bureau of Animal Husbandry Breeding Station, Barrio Malsong bordering N. East side of;<NA>;121.966667;6.7;<NA>;Botany;L1092821;L.1092821;Santos;Santos JV;;PHL;ACCEPTED;Anaxagorea javanica;https://ipni.org/n/72037-1;;;.con;;;<NA>;Santos, JV;serafin_2023-05-10_09-01-44;;;;<NA>;Santos, José Vera;Mexico, Philippines;<NA>;Blume;;;Anaxagorea javanica;False
Anaxagorea radiata C.B.Rob.;Anaxagorea;javanica;<NA>;Santos, José Vera;Santos, JV  4152 ;Santos;4152;<NA>;<NA>;8;5;1948;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, District of Lamitan, Basilan City, Zamboanga Province. Bureau of Animal Husbandry Breeding Station, Barrio Malsong bordering N. East side of;<NA>;121.966667;6.7;<NA>;Botany;L1092820;L.1092820;Santos;Santos JV;;PHL;ACCEPTED;Anaxagorea javanica;https://ipni.org/n/72037-1;;;.con;;;<NA>;Santos, JV;serafin_2023-05-10_09-01-44;;;;<NA>;Santos, José Vera;Mexico, Philippines;<NA>;Blume;;;Anaxagorea javanica;False
Anaxagorea radiata C.B.Rob.;Anaxagorea;javanica;<NA>;Santos, José Vera;Santos, JV  4152 ;Santos;4152;<NA>;<NA>;8;5;1948;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, District of Lamitan, Basilan City, Zamboanga Province. Bureau of Animal Husbandry Breeding Station, Barrio Malsong bordering N. East side of;<NA>;121.966667;6.7;<NA>;Botany;L1092822;L.1092822;Santos;Santos JV;;PHL;ACCEPTED;Anaxagorea javanica;https://ipni.org/n/72037-1;;;.con;;;<NA>;Santos, JV;serafin_2023-05-10_09-01-44;;;;<NA>;Santos, José Vera;Mexico, Philippines;<NA>;Blume;;;Anaxagorea javanica;False
Anaxagorea radiata C.B.Rob.;Anaxagorea;javanica;<NA>;Santos, José Vera;Santos, JV  4152 ;Santos;4152;<NA>;<NA>;8;5;1948;<NA>;<NA>;<NA>;<NA>;<NA>;PH;Philippines;<NA>;Philippines, District of Lamitan, Basilan City, Zamboanga Province. Bureau of Animal Husbandry Breeding Station, Barrio Malsong bordering N. East side of;<NA>;121.966667;6.7;<NA>;Botany;L1092823;L.1092823;Santos;Santos JV;;PHL;ACCEPTED;Anaxagorea javanica;https://ipni.org/n/72037-1;;;.con;;;<NA>;Santos, JV;serafin_2023-05-10_09-01-44;;;;<NA>;Santos, José Vera;Mexico, Philippines;<NA>;Blume;;;Anaxagorea javanica;False
